Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.246305,0.267383,0.245460,0.260331,0.260331,752289
2022-11-11,0.260323,0.260323,0.238358,0.242775,0.242775,765758
2022-11-12,0.242682,0.243532,0.226337,0.226561,0.226561,578342
2022-11-13,0.226552,0.228592,0.214437,0.215622,0.215622,655852
2022-11-14,0.215663,0.215663,0.194776,0.200738,0.200738,947203
2022-11-15,0.200749,0.208314,0.197216,0.201782,0.201782,931437
2022-11-16,0.201608,0.201627,0.185670,0.191030,0.191030,879357
2022-11-17,0.191026,0.193655,0.189403,0.190358,0.190358,656562
2022-11-18,0.190353,0.195501,0.186182,0.189597,0.189597,705336
2022-11-19,0.189589,0.190628,0.183192,0.186576,0.186576,626167
2022-11-20,0.186532,0.189044,0.180805,0.181281,0.181281,564310
2022-11-21,0.181241,0.186186,0.167239,0.184120,0.184120,879118
2022-11-22,0.184108,0.237070,0.183644,0.217634,0.217634,1503532
2022-11-23,0.217589,0.225004,0.213815,0.222572,0.222572,566688
2022-11-24,0.222665,0.245362,0.221784,0.244682,0.244682,815977
2022-11-25,0.244839,0.246325,0.240625,0.241630,0.241630,553288
2022-11-26,0.241740,0.247444,0.240871,0.246787,0.246787,503087
2022-11-27,0.246843,0.251545,0.245426,0.250019,0.250019,578192
2022-11-28,0.250007,0.260993,0.231336,0.255796,0.255796,1073812
2022-11-29,0.258087,0.266414,0.257512,0.263611,0.263611,686578
2022-11-30,0.263559,0.270119,0.258737,0.260084,0.260084,655832
2022-12-01,0.260088,0.260984,0.251876,0.253010,0.253010,565662
2022-12-02,0.252945,0.254824,0.234537,0.240702,0.240702,516124
2022-12-03,0.240731,0.241251,0.226999,0.227969,0.227969,778308
2022-12-04,0.227834,0.230670,0.225506,0.230502,0.230502,457781
2022-12-05,0.230474,0.234999,0.220793,0.222265,0.222265,576150
2022-12-06,0.222281,0.223907,0.207919,0.212519,0.212519,494880
