Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.001947,0.001948,0.001929,0.001930,0.001930,1714
2022-11-11,0.001930,0.001932,0.001917,0.001918,0.001918,635
2022-11-12,0.001918,0.001918,0.001909,0.001910,0.001910,647
2022-11-13,0.001910,0.001911,0.001876,0.001876,0.001876,1250
2022-11-14,0.001876,0.001877,0.001733,0.001827,0.001827,2072
2022-11-15,0.001827,0.001855,0.001766,0.001844,0.001844,8372
2022-11-16,0.001844,0.001844,0.001824,0.001824,0.001824,1403
2022-11-17,0.001825,0.001856,0.001821,0.001822,0.001822,7938
2022-11-18,0.001822,0.001822,0.001809,0.001809,0.001809,378
2022-11-19,0.001809,0.001810,0.001676,0.001714,0.001714,4363
2022-11-20,0.001714,0.001714,0.001672,0.001673,0.001673,2526
2022-11-21,0.001673,0.001673,0.001659,0.001660,0.001660,180
2022-11-22,0.001660,0.001661,0.001636,0.001639,0.001639,3025
2022-11-23,0.001639,0.001639,0.001567,0.001567,0.001567,2297
2022-11-24,0.001567,0.001570,0.001563,0.001563,0.001563,271
2022-11-25,0.001563,0.001563,0.001534,0.001534,0.001534,1988
2022-11-26,0.001534,0.001535,0.001527,0.001527,0.001527,607
2022-11-27,0.001527,0.001527,0.001488,0.001495,0.001495,3142
2022-11-28,0.001495,0.001496,0.001485,0.001487,0.001487,353
2022-11-29,0.001488,0.001488,0.001484,0.001484,0.001484,63
2022-11-30,0.001484,0.001489,0.001481,0.001484,0.001484,177
2022-12-01,0.001484,0.001490,0.001475,0.001475,0.001475,801
2022-12-02,0.001475,0.001477,0.001472,0.001472,0.001472,213
2022-12-03,0.001472,0.001472,0.001471,0.001472,0.001472,7
2022-12-04,0.001472,0.001473,0.001470,0.001472,0.001472,1
2022-12-05,0.001472,0.001473,0.001471,0.001471,0.001471,100
2022-12-06,0.001471,0.001471,0.001470,0.001470,0.001470,0
2022-12-07,0.001470,0.001472,0.001470,0.001470,0.001470,30
2022-12-08,0.001470,0.001470,0.001469,0.001469,0.001469,74
2022-12-09,0.001469,0.001469,0.001468,0.001469,0.001469,36
2022-12-10,0.001469,0.001469,0.001468,0.001468,0.001468,23
2022-12-11,0.001468,0.001469,0.001462,0.001465,0.001465,204
2022-12-12,0.001465,0.001467,0.001465,0.001465,0.001465,1
2022-12-13,0.001465,0.001466,0.001461,0.001465,0.001465,27
2022-12-14,0.001465,0.001465,0.001460,0.001460,0.001460,22
2022-12-15,0.001460,0.001462,0.001457,0.001462,0.001462,75
2022-12-16,0.001462,0.001462,0.001443,0.001444,0.001444,552
2022-12-17,0.001444,0.001452,0.001443,0.001443,0.001443,34
2022-12-18,0.001443,0.001443,0.001440,0.001440,0.001440,182
2022-12-19,0.001440,0.001441,0.001435,0.001436,0.001436,278
2022-12-20,0.001436,0.001438,0.001416,0.001417,0.001417,672
2022-12-21,0.001417,0.001429,0.001415,0.001415,0.001415,91
2022-12-22,0.001415,0.001415,0.001414,0.001415,0.001415,17
2022-12-23,0.001415,0.001419,0.001414,0.001419,0.001419,46
2022-12-24,0.001419,0.001420,0.001415,0.001419,0.001419,21
2022-12-25,0.001419,0.001471,0.001413,0.001415,0.001415,20
2022-12-26,0.001415,0.001417,0.001402,0.001403,0.001403,911
2022-12-27,0.001403,0.001409,0.001402,0.001409,0.001409,18
2022-12-28,0.001409,0.001409,0.001396,0.001396,0.001396,576
2022-12-29,0.001396,0.001405,0.001396,0.001396,0.001396,3
2022-12-30,0.001396,0.001396,0.001379,0.001382,0.001382,1372
2022-12-31,0.001382,0.001382,0.001376,0.001378,0.001378,298
2023-01-01,0.001378,0.001378,0.001376,0.001376,0.001376,61
2023-01-02,0.001376,0.001376,0.001375,0.001375,0.001375,38
2023-01-03,0.001375,0.001375,0.001371,0.001371,0.001371,178
2023-01-04,0.001371,0.001371,0.001366,0.001367,0.001367,533
2023-01-05,0.001367,0.001367,0.001366,0.001367,0.001367,43
2023-01-06,0.001367,0.001369,0.001366,0.001368,0.001368,18
2023-01-07,0.001368,0.001369,0.001367,0.001368,0.001368,160
2023-01-08,0.001367,0.001373,0.001357,0.001357,0.001357,339
2023-01-09,0.001357,0.001357,0.001343,0.001344,0.001344,494
2023-01-10,0.001344,0.001354,0.001342,0.001354,0.001354,581
2023-01-11,0.001354,0.001354,0.001339,0.001339,0.001339,579
2023-01-12,0.001340,0.001340,0.001331,0.001332,0.001332,263
2023-01-13,0.001332,0.001334,0.001327,0.001332,0.001332,346
2023-01-14,0.001332,0.001351,0.001329,0.001350,0.001350,1691
2023-01-15,0.001350,0.001352,0.001347,0.001351,0.001351,66
2023-01-16,0.001351,0.001352,0.001336,0.001343,0.001343,3894
2023-01-17,0.001343,0.001348,0.001343,0.001347,0.001347,207
2023-01-18,0.001347,0.001347,0.001336,0.001337,0.001337,370
2023-01-19,0.001336,0.001344,0.001336,0.001342,0.001342,234
2023-01-20,0.001342,0.001343,0.001338,0.001342,0.001342,18
2023-01-21,0.001342,0.001342,0.001337,0.001341,0.001341,6
2023-01-22,0.001342,0.001342,0.001334,0.001342,0.001342,14
2023-01-23,0.001342,0.001342,0.001334,0.001337,0.001337,3
2023-01-24,0.001337,0.001342,0.001286,0.001288,0.001288,1877
2023-01-25,0.001288,0.001291,0.001286,0.001287,0.001287,364
2023-01-26,0.001287,0.001288,0.001284,0.001285,0.001285,52
2023-01-27,0.001285,0.001291,0.001284,0.001289,0.001289,82
2023-01-28,0.001289,0.001292,0.001287,0.001292,0.001292,134
2023-01-29,0.001292,0.001298,0.001291,0.001294,0.001294,324
2023-01-30,0.001294,0.001297,0.001286,0.001287,0.001287,881
2023-01-31,0.001287,0.001294,0.001285,0.001291,0.001291,272
2023-02-01,0.001291,0.001296,0.001283,0.001285,0.001285,125
2023-02-02,0.001285,0.001323,0.001284,0.001285,0.001285,6784
2023-02-03,0.001286,0.001294,0.001285,0.001294,0.001294,467
2023-02-04,0.001294,0.001300,0.001294,0.001299,0.001299,212
2023-02-05,0.001299,0.001304,0.001289,0.001290,0.001290,1108
2023-02-06,0.001290,0.001293,0.001288,0.001292,0.001292,70
2023-02-07,0.001292,0.001294,0.001238,0.001242,0.001242,4153
2023-02-08,0.001242,0.001255,0.001242,0.001251,0.001251,896
2023-02-09,0.001251,0.001251,0.001245,0.001247,0.001247,57
2023-02-10,0.001247,0.001250,0.001246,0.001247,0.001247,68
2023-02-11,0.001247,0.001252,0.001247,0.001252,0.001252,20
2023-02-12,0.001252,0.001252,0.001244,0.001246,0.001246,21
2023-02-13,0.001246,0.001248,0.001246,0.001248,0.001248,22
2023-02-14,0.001248,0.001249,0.001247,0.001249,0.001249,110
2023-02-15,0.001249,0.001249,0.001248,0.001248,0.001248,141
2023-02-16,0.001248,0.001256,0.001193,0.001237,0.001237,7137
2023-02-17,0.001237,0.001332,0.001228,0.001325,0.001325,4241
2023-02-18,0.001325,0.001325,0.001311,0.001313,0.001313,4326
2023-02-19,0.001313,0.001314,0.001249,0.001250,0.001250,3245
2023-02-20,0.001250,0.001251,0.001218,0.001219,0.001219,2270
2023-02-21,0.001219,0.001219,0.001192,0.001193,0.001193,2296
2023-02-22,0.001193,0.001194,0.001186,0.001186,0.001186,1046
2023-02-23,0.001186,0.001186,0.001021,0.001026,0.001026,27882
2023-02-24,0.001026,0.001026,0.001020,0.001020,0.001020,279
2023-02-25,0.001020,0.001020,0.001019,0.001019,0.001019,233
2023-02-26,0.001019,0.001037,0.001018,0.001020,0.001020,105
2023-02-27,0.001020,0.001099,0.001019,0.001092,0.001092,6384
2023-02-28,0.001092,0.001092,0.001072,0.001073,0.001073,1545
2023-03-01,0.001073,0.001073,0.001040,0.001040,0.001040,2577
2023-03-02,0.001040,0.001049,0.001040,0.001049,0.001049,489
2023-03-03,0.001049,0.001049,0.001001,0.001001,0.001001,3707
2023-03-04,0.001001,0.001003,0.000987,0.000987,0.000987,1820
2023-03-05,0.000987,0.000988,0.000986,0.000988,0.000988,127
2023-03-06,0.000988,0.000990,0.000988,0.000990,0.000990,101
2023-03-07,0.000990,0.000990,0.000986,0.000987,0.000987,148
2023-03-08,0.000987,0.000987,0.000986,0.000986,0.000986,24
2023-03-09,0.000986,0.000986,0.000985,0.000986,0.000986,1
2023-03-10,0.000986,0.000986,0.000928,0.000929,0.000929,2549
2023-03-11,0.000929,0.000962,0.000863,0.000953,0.000953,4829
2023-03-12,0.000953,0.000984,0.000928,0.000981,0.000981,4310
