Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,6.035885,7.534870,5.961882,7.353959,7.353959,164345311
2022-11-11,7.352937,7.395162,6.657803,6.977592,6.977592,92899230
2022-11-12,6.977659,7.006167,6.471493,6.501993,6.501993,47639885
2022-11-13,6.502694,10.613968,6.254223,7.035096,7.035096,494020043
2022-11-14,7.033610,7.569657,6.940023,7.248949,7.248949,270712873
2022-11-15,7.250907,7.410967,7.098810,7.227207,7.227207,87745532
2022-11-16,7.227882,7.322842,6.919743,7.078134,7.078134,61095475
2022-11-17,7.077730,7.247706,6.960209,7.181575,7.181575,59029642
2022-11-18,7.182301,7.284169,7.020966,7.192066,7.192066,41329955
2022-11-19,7.191964,7.191964,6.965651,7.143840,7.143840,31384009
2022-11-20,7.143983,7.168100,6.543237,6.564593,6.564593,46249584
2022-11-21,6.563767,6.565225,6.117746,6.278628,6.278628,55291944
2022-11-22,6.275583,6.995910,6.129107,6.840491,6.840491,84263793
2022-11-23,6.842155,6.965224,6.727065,6.950639,6.950639,49370884
2022-11-24,6.950755,6.953233,6.651720,6.781056,6.781056,35668974
2022-11-25,6.780819,6.780823,6.561621,6.649896,6.649896,26269296
2022-11-26,6.649349,6.767714,6.604260,6.649493,6.649493,36336543
2022-11-27,6.649258,6.912747,6.600521,6.669701,6.669701,48678097
2022-11-28,6.669599,6.813373,6.398088,6.571256,6.571256,44381917
2022-11-29,6.570934,6.887343,6.509586,6.771223,6.771223,42076138
2022-11-30,6.771631,7.040197,6.723638,7.016405,7.016405,56943192
2022-12-01,7.016619,7.024169,6.790631,6.822932,6.822932,37041729
2022-12-02,6.823933,7.036372,6.758927,7.036372,7.036372,43452137
2022-12-03,7.036206,7.043501,6.700303,6.731260,6.731260,40561087
2022-12-04,6.731418,6.895776,6.730139,6.888837,6.888837,35849717
2022-12-05,6.887292,9.434110,6.882643,8.772617,8.772617,578489593
2022-12-06,8.754428,9.543416,8.317750,8.798006,8.798006,526353000
2022-12-07,8.793414,9.154790,8.327605,8.430530,8.430530,270634744
2022-12-08,8.433683,8.442632,7.977278,8.259428,8.259428,148498049
2022-12-09,8.260534,8.287795,7.938131,8.014021,8.014021,95571530
2022-12-10,8.014319,8.642487,7.881492,8.302954,8.302954,180178708
2022-12-11,8.303225,8.338387,7.964636,8.061357,8.061357,76693881
2022-12-12,8.060586,8.060586,7.581662,7.713511,7.713511,65975048
2022-12-13,7.714559,7.782524,7.298326,7.685259,7.685259,78392016
2022-12-14,7.687461,8.125693,7.603680,7.719617,7.719617,102742126
2022-12-15,7.720631,7.767043,7.469566,7.490663,7.490663,50940533
2022-12-16,7.491460,7.631038,6.572677,6.676953,6.676953,67109165
2022-12-17,6.676401,6.981290,6.569079,6.948653,6.948653,56636559
2022-12-18,6.948773,6.951076,6.776819,6.850380,6.850380,24763019
2022-12-19,6.850873,7.115632,6.482090,6.525585,6.525585,68513123
2022-12-20,6.528703,7.001830,6.528703,6.975087,6.975087,64981526
2022-12-21,6.973802,6.981181,6.742468,6.837172,6.837172,41517563
2022-12-22,6.838417,7.207800,6.704703,7.060549,7.060549,97319412
2022-12-23,7.058956,7.122723,6.973516,7.082010,7.082010,53454197
2022-12-24,7.082449,7.112694,6.969892,6.988192,6.988192,33026403
2022-12-25,6.988443,7.032791,6.803195,6.892915,6.892915,33016829
2022-12-26,6.892986,6.955963,6.771212,6.898086,6.898086,48406357
2022-12-27,6.897216,6.909748,6.614222,6.711637,6.711637,35966939
2022-12-28,6.711200,6.719884,6.235207,6.284947,6.284947,53900192
2022-12-29,6.285469,6.326740,5.896948,6.176821,6.176821,52703969
2022-12-30,6.175417,6.175417,5.859069,5.979893,5.979893,51545550
2022-12-31,5.979982,6.086664,5.947943,6.041958,6.041958,34211948
2023-01-01,6.042063,6.479946,5.949029,6.313912,6.313912,50346487
2023-01-02,6.315268,6.447836,6.139576,6.391840,6.391840,54460391
2023-01-03,6.392982,6.524519,6.343502,6.511687,6.511687,65070700
2023-01-04,6.512133,6.757921,6.496257,6.651639,6.651639,68408741
2023-01-05,6.650575,7.090077,6.624990,6.764762,6.764762,102902900
2023-01-06,6.764801,6.843897,6.474645,6.814990,6.814990,54852486
2023-01-07,6.816586,7.090409,6.796108,6.882875,6.882875,74801000
2023-01-08,6.883472,7.237113,6.765196,7.196572,7.196572,52179289
2023-01-09,7.198418,7.824070,7.198418,7.331281,7.331281,114664039
2023-01-10,7.331365,7.571058,7.185807,7.492781,7.492781,74970969
2023-01-11,7.491727,7.524005,7.140065,7.524005,7.524005,54205672
2023-01-12,7.841740,8.095487,7.612760,7.978806,7.978806,175920502
2023-01-13,7.978605,9.261248,7.835793,9.088521,9.088521,174792118
2023-01-14,9.087742,10.122639,8.959543,9.381663,9.381663,307360877
2023-01-15,9.382888,9.440621,8.758953,9.322073,9.322073,150447727
2023-01-16,9.312041,9.519534,8.627376,8.961735,8.961735,130859116
2023-01-17,8.962714,9.169630,8.727556,8.826655,8.826655,96573431
2023-01-18,8.826426,8.985012,7.973051,8.048253,8.048253,123519794
2023-01-19,8.043759,8.485919,8.036030,8.323157,8.323157,76473725
2023-01-20,8.321433,9.127963,8.198680,9.114154,9.114154,78004777
2023-01-21,9.112398,9.578044,8.954462,8.957145,8.957145,154203583
2023-01-22,8.960569,12.462000,8.960286,12.462000,12.462000,844304041
2023-01-23,12.473876,13.826246,12.109621,12.220542,12.220542,991742554
2023-01-24,12.213593,12.405826,10.960869,11.118587,11.118587,385470049
2023-01-25,11.118069,12.224279,10.901231,11.755320,11.755320,357781804
2023-01-26,11.751025,12.424770,11.519142,11.867141,11.867141,360253265
2023-01-27,11.866545,11.932282,11.133980,11.501626,11.501626,159837012
2023-01-28,11.504178,12.271709,11.268076,11.422910,11.422910,238059452
2023-01-29,11.422682,12.310411,11.295493,12.167980,12.167980,241516417
2023-01-30,12.182313,12.282962,10.610478,10.844339,10.844339,197278076
2023-01-31,10.847300,11.004793,10.525206,10.900343,10.900343,136640853
2023-02-01,10.898797,11.456569,10.280289,11.417533,11.417533,142820570
2023-02-02,11.416516,11.951142,11.170213,11.176038,11.176038,155961448
2023-02-03,11.174175,11.597117,11.081869,11.469302,11.469302,114743307
2023-02-04,11.469432,11.717633,11.210918,11.392791,11.392791,91494991
2023-02-05,11.391988,11.812714,10.671418,10.914838,10.914838,128767174
2023-02-06,10.914478,11.142566,10.607693,10.665769,10.665769,84001460
2023-02-07,10.666791,11.705164,10.661438,11.671457,11.671457,129516647
2023-02-08,11.666872,12.283162,11.411971,11.939338,11.939338,275683010
2023-02-09,11.940712,12.371279,10.109230,10.222312,10.222312,248507538
2023-02-10,10.225194,10.323858,9.975992,10.120499,10.120499,124474377
2023-02-11,10.122142,10.433131,10.071493,10.355883,10.355883,71017953
2023-02-12,10.354544,10.359305,9.773081,9.898435,9.898435,66832800
2023-02-13,9.898847,9.943330,9.227618,9.600710,9.600710,118054230
2023-02-14,9.598003,9.971945,9.407249,9.960705,9.960705,96958840
2023-02-15,9.962700,10.806740,9.802502,10.789004,10.789004,111446726
2023-02-16,10.788740,11.148330,10.138927,10.148866,10.148866,162760306
2023-02-17,10.148426,10.790737,10.114227,10.680011,10.680011,105224924
2023-02-18,10.681027,11.306132,10.658728,10.921344,10.921344,124306326
2023-02-19,10.921120,11.160434,10.688409,10.911486,10.911486,115314644
2023-02-20,10.917099,11.352957,10.575240,11.223482,11.223482,138254115
2023-02-21,11.225334,11.542613,10.592334,10.810670,10.810670,141615402
2023-02-22,10.810374,10.834113,10.133531,10.570945,10.570945,89459639
2023-02-23,10.570224,10.772566,10.349788,10.526061,10.526061,77861890
2023-02-24,10.525389,10.625343,9.830217,10.027330,10.027330,79654374
2023-02-25,10.027157,10.138836,9.514143,9.820553,9.820553,67523684
2023-02-26,9.818793,10.035154,9.731526,10.016447,10.016447,46166252
2023-02-27,10.016915,10.185543,9.777876,9.969105,9.969105,69475409
2023-02-28,9.969908,9.993366,9.578085,9.607596,9.607596,47590740
2023-03-01,9.607857,10.042772,9.546007,9.992407,9.992407,51203652
2023-03-02,9.992199,10.024806,9.566740,9.743911,9.743911,48844548
2023-03-03,9.743662,9.747413,8.863248,9.106602,9.106602,75461749
2023-03-04,9.107866,9.251506,8.588880,8.791821,8.791821,51484132
2023-03-05,8.792656,8.966101,8.750855,8.780794,8.780794,38420802
2023-03-06,8.779377,8.966598,8.527635,8.891215,8.891215,55836067
2023-03-07,8.891470,8.991885,8.448511,8.622091,8.622091,51959424
2023-03-08,8.622160,8.653420,7.819692,7.906845,7.906845,68692180
2023-03-09,7.907983,8.212227,7.279299,7.350945,7.350945,73012198
2023-03-10,7.352492,7.446011,6.915758,7.404813,7.404813,83341608
2023-03-11,7.404584,7.630755,7.059764,7.352901,7.352901,61310220
2023-03-12,7.352652,7.927355,7.173478,7.916669,7.916669,51470469
2023-03-13,7.918428,8.417565,7.735081,8.342344,8.342344,94210583
2023-03-14,8.342673,9.014670,8.100958,8.617983,8.617983,111387174
2023-03-15,8.619800,8.805881,7.677360,7.834024,7.834024,91670841
2023-03-16,7.836493,8.103454,7.765414,8.025985,8.025985,50016323
2023-03-17,8.026820,8.939079,7.921537,8.929400,8.929400,77197190
2023-03-18,8.928595,9.426710,8.713623,8.727280,8.727280,113837574
2023-03-19,8.728565,9.798103,8.728565,9.101328,9.101328,207799609
2023-03-20,9.100823,9.266028,8.551334,8.622869,8.622869,90719911
2023-03-21,8.624691,8.878088,8.287348,8.867169,8.867169,78827730
2023-03-22,8.865552,8.867524,8.166742,8.358848,8.358848,63865186
2023-03-23,8.358065,8.794176,8.250806,8.708540,8.708540,50965967
2023-03-24,8.708791,8.710984,8.133036,8.328863,8.328863,54553225
2023-03-25,8.327457,8.617038,8.158699,8.270519,8.270519,63317647
2023-03-26,8.271066,8.492397,8.221780,8.423338,8.423338,35050979
2023-03-27,8.423950,8.427770,7.858573,8.034515,8.034515,43484707
2023-03-28,8.034030,8.299578,7.926703,8.247819,8.247819,36266748
2023-03-29,8.247267,8.573351,8.221410,8.502411,8.502411,51545167
2023-03-30,8.503037,8.606970,8.141448,8.252324,8.252324,51253396
2023-03-31,8.253707,8.416654,8.099332,8.388087,8.388087,38534493
2023-04-01,8.388150,8.516855,8.307637,8.408143,8.408143,37106836
2023-04-02,8.515629,8.586773,8.187913,8.305988,8.305988,38954171
2023-04-03,8.307086,8.423249,8.092544,8.263815,8.263815,43147896
2023-04-04,8.264161,8.493136,8.184350,8.418063,8.418063,38611977
2023-04-05,8.418381,8.739966,8.373993,8.734021,8.734021,53254868
2023-04-06,8.734880,8.755592,8.403243,8.548765,8.548765,46921919
2023-04-07,8.548764,8.900120,8.494532,8.796655,8.796655,116086293
2023-04-08,8.796510,8.807712,8.461348,8.508119,8.508119,48239417
2023-04-09,8.508233,8.578544,8.371048,8.477392,8.477392,35329512
2023-04-10,8.477871,8.678941,8.380386,8.663820,8.663820,40515037
2023-04-11,8.664516,8.808105,8.606219,8.692813,8.692813,48222759
2023-04-12,8.692150,8.726184,8.308603,8.556307,8.556307,45076870
2023-04-13,8.607453,8.815801,8.511211,8.789162,8.789162,43329287
2023-04-14,8.790297,9.230427,8.790297,9.046415,9.046415,94121758
2023-04-15,9.046820,9.136815,8.992394,9.039614,9.039614,53839466
2023-04-16,9.038622,9.332866,8.898496,9.250033,9.250033,63837305
2023-04-17,9.250300,9.368415,9.024742,9.361836,9.361836,69149950
2023-04-18,9.364394,9.576963,9.243727,9.400011,9.400011,72850746
2023-04-19,9.399429,9.399950,8.364938,8.456922,8.456922,73804358
2023-04-20,8.453473,8.511555,8.142000,8.209094,8.209094,50043379
2023-04-21,8.209010,8.291144,7.810886,7.918438,7.918438,44207239
2023-04-22,7.919834,8.078419,7.831761,8.078419,8.078419,29615464
2023-04-23,8.078747,8.081409,7.733512,7.934937,7.934937,27597011
2023-04-24,7.934078,8.023562,7.699482,7.869472,7.869472,34799448
2023-04-25,7.870489,8.033627,7.637174,8.012796,8.012796,33558703
2023-04-26,8.012223,8.289668,7.524144,7.808095,7.808095,48338119
2023-04-27,7.808946,8.030532,7.789233,7.951751,7.951751,31575043
2023-04-28,7.952995,8.021075,7.831314,7.981719,7.981719,37936456
2023-04-29,7.981420,8.065319,7.947394,8.005813,8.005813,22310605
2023-04-30,8.005589,8.120402,7.883116,7.936606,7.936606,26370154
2023-05-01,7.934560,7.935843,7.504629,7.607255,7.607255,27483080
2023-05-02,7.607374,7.658047,7.541183,7.621995,7.621995,22617631
2023-05-03,7.622225,7.765987,7.410570,7.717358,7.717358,29670395
2023-05-04,7.717134,7.728978,7.520257,7.567164,7.567164,21972127
2023-05-05,7.567180,7.804381,7.538682,7.728518,7.728518,23233530
2023-05-06,7.728615,7.759583,7.334011,7.397843,7.397843,28780552
2023-05-07,7.397553,7.448172,7.287908,7.293370,7.293370,21557802
2023-05-08,7.292965,7.307470,6.592769,6.824371,6.824371,40502467
