Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,3.811864,4.422969,3.781529,4.315785,4.315785,86266978
2022-11-11,4.316445,4.316445,3.988236,4.101925,4.101925,49382605
2022-11-12,4.099881,4.184906,3.889989,3.989089,3.989089,48746159
2022-11-13,3.988388,4.085806,3.960939,4.000188,4.000188,49602611
2022-11-14,4.000120,4.130315,3.824720,3.961985,3.961985,47984894
2022-11-15,3.961868,4.016348,3.906160,3.941794,3.941794,33252689
2022-11-16,3.941983,3.977387,3.824562,3.846376,3.846376,28883407
2022-11-17,3.845820,3.867295,3.738901,3.776220,3.776220,22012540
2022-11-18,3.776146,3.856308,3.776137,3.833207,3.833207,20846559
2022-11-19,3.833769,3.837435,3.777825,3.820916,3.820916,14865161
2022-11-20,3.821233,3.923323,3.794713,3.804591,3.804591,28817964
2022-11-21,3.804032,3.804309,3.610279,3.625982,3.625982,31633213
2022-11-22,3.626423,3.742294,3.578473,3.733809,3.733809,24416318
2022-11-23,3.733226,4.065770,3.731212,3.945650,3.945650,49323004
2022-11-24,3.945856,4.024154,3.917429,4.013591,4.013591,26332117
2022-11-25,4.013139,4.052748,3.929012,3.949976,3.949976,24556332
2022-11-26,3.950069,4.111493,3.944101,4.012011,4.012011,23222692
2022-11-27,4.012827,4.052411,3.979114,3.983228,3.983228,20669972
2022-11-28,3.983402,4.000715,3.829851,3.875864,3.875864,24592563
2022-11-29,3.875823,4.024679,3.869405,3.893702,3.893702,24194016
2022-11-30,3.893788,4.009329,3.889638,3.974455,3.974455,29669677
2022-12-01,3.974990,3.978402,3.897895,3.923142,3.923142,29243214
2022-12-02,3.922255,4.044299,3.873552,4.025304,4.025304,28053003
2022-12-03,4.024459,4.039130,3.999130,4.003945,4.003945,22453038
2022-12-04,4.002074,4.013532,3.954053,3.996116,3.996116,21487752
2022-12-05,3.996108,4.080870,3.935637,3.960837,3.960837,21222828
2022-12-06,3.960859,3.990323,3.924293,3.966406,3.966406,18265340
2022-12-07,3.966881,3.977627,3.866867,3.889523,3.889523,21669075
2022-12-08,3.889644,3.981362,3.876525,3.979317,3.979317,17170212
2022-12-09,3.979292,4.005401,3.939773,3.950450,3.950450,26206366
2022-12-10,3.950665,4.009497,3.949627,3.983423,3.983423,16286432
2022-12-11,3.983071,4.008772,3.935119,3.939378,3.939378,14396327
2022-12-12,3.938615,3.993137,3.818136,3.866388,3.866388,31975144
2022-12-13,3.866024,3.868545,3.622755,3.767439,3.767439,50541392
