Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.221658,0.235618,0.207398,0.232181,0.232181,341727
2022-11-11,0.232165,0.232438,0.212856,0.217758,0.217758,251207
2022-11-12,0.217625,0.227637,0.209915,0.220076,0.220076,244851
2022-11-13,0.219985,0.220577,0.205486,0.209995,0.209995,314895
2022-11-14,0.209867,0.214603,0.199414,0.206333,0.206333,259087
2022-11-15,0.206543,0.251237,0.205709,0.228553,0.228553,263096
2022-11-16,0.228224,0.238681,0.208385,0.215153,0.215153,247811
2022-11-17,0.215005,0.226866,0.212816,0.217511,0.217511,251809
2022-11-18,0.217443,0.238341,0.216296,0.225436,0.225436,268012
2022-11-19,0.225671,0.237840,0.216444,0.220107,0.220107,241878
2022-11-20,0.220184,0.231355,0.214577,0.217110,0.217110,242860
2022-11-21,0.216459,0.227674,0.209159,0.210262,0.210262,246076
2022-11-22,0.210426,0.218832,0.206624,0.211090,0.211090,232569
2022-11-23,0.210994,0.222598,0.208959,0.220901,0.220901,245678
2022-11-24,0.221203,0.222059,0.187458,0.190670,0.190670,248845
2022-11-25,0.190576,0.220719,0.182800,0.214078,0.214078,236557
2022-11-26,0.214087,0.220571,0.211793,0.214583,0.214583,259928
2022-11-27,0.214621,0.216464,0.208741,0.212652,0.212652,245600
2022-11-28,0.212744,0.218307,0.210793,0.212038,0.212038,251395
2022-11-29,0.212186,0.222537,0.212186,0.222060,0.222060,264119
2022-11-30,0.222080,0.226107,0.214852,0.223737,0.223737,234377
2022-12-01,0.223826,0.225097,0.214079,0.218728,0.218728,242589
2022-12-02,0.218732,0.222216,0.213111,0.221859,0.221859,273046
2022-12-03,0.221811,0.222232,0.215184,0.216202,0.216202,277264
2022-12-04,0.216397,0.220937,0.215636,0.216671,0.216671,292250
2022-12-05,0.216669,0.217915,0.211793,0.212943,0.212943,255437
2022-12-06,0.213021,0.214236,0.205215,0.207183,0.207183,261423
2022-12-07,0.207232,0.207571,0.197224,0.198691,0.198691,212831
2022-12-08,0.198738,0.201933,0.196352,0.198569,0.198569,237454
2022-12-09,0.198410,0.203403,0.194659,0.198659,0.198659,186308
2022-12-10,0.198223,0.202198,0.196498,0.200310,0.200310,231097
2022-12-11,0.200514,0.203950,0.195263,0.196327,0.196327,265981
2022-12-12,0.196257,0.197943,0.190614,0.191609,0.191609,219514
2022-12-13,0.191579,0.197119,0.189041,0.192437,0.192437,226892
2022-12-14,0.192447,0.194638,0.188477,0.193100,0.193100,269011
2022-12-15,0.193185,0.220824,0.191418,0.199422,0.199422,1457219
2022-12-16,0.199449,0.201862,0.190038,0.190038,0.190038,458867
2022-12-17,0.190047,0.191937,0.183496,0.185328,0.185328,260727
2022-12-18,0.185385,0.187267,0.181576,0.183940,0.183940,106273
2022-12-19,0.183786,0.184430,0.175960,0.177390,0.177390,315464
2022-12-20,0.177415,0.184368,0.175957,0.184031,0.184031,253113
2022-12-21,0.184153,0.184847,0.177211,0.177218,0.177218,395518
2022-12-22,0.177180,0.177583,0.170618,0.172399,0.172399,340027
2022-12-23,0.172730,0.173216,0.167876,0.169866,0.169866,315396
2022-12-24,0.169716,0.171388,0.168125,0.169212,0.169212,297174
2022-12-25,0.168807,0.169731,0.165135,0.166757,0.166757,168565
2022-12-26,0.166990,0.170172,0.165547,0.168767,0.168767,248509
2022-12-27,0.168755,0.169596,0.164305,0.165804,0.165804,252337
2022-12-28,0.165741,0.165875,0.161710,0.163285,0.163285,249672
2022-12-29,0.163289,0.163289,0.157381,0.159149,0.159149,288959
2022-12-30,0.159022,0.160350,0.150013,0.150537,0.150537,192580
2022-12-31,0.150543,0.152781,0.147770,0.149192,0.149192,140194
2023-01-01,0.149175,0.149510,0.140454,0.144806,0.144806,126332
2023-01-02,0.144967,0.148802,0.143193,0.146789,0.146789,174928
2023-01-03,0.146779,0.151761,0.144124,0.145086,0.145086,108182
2023-01-04,0.145089,0.149904,0.140948,0.143563,0.143563,277121
2023-01-05,0.143469,0.148816,0.142273,0.148280,0.148280,181786
2023-01-06,0.148184,0.159158,0.146652,0.152653,0.152653,217558
2023-01-07,0.152626,0.157042,0.151323,0.154486,0.154486,187917
2023-01-08,0.154462,0.159502,0.151732,0.154899,0.154899,273655
2023-01-09,0.154851,0.173264,0.152987,0.171149,0.171149,538210
2023-01-10,0.171242,0.171272,0.161592,0.165373,0.165373,390009
2023-01-11,0.165415,0.224183,0.160990,0.207573,0.207573,839300
2023-01-12,0.214568,0.251844,0.203182,0.249220,0.249220,466470
2023-01-13,0.249296,0.264541,0.238779,0.257982,0.257982,304324
2023-01-14,0.258355,0.258355,0.236371,0.246392,0.246392,243832
2023-01-15,0.245667,0.247575,0.233905,0.235731,0.235731,193170
2023-01-16,0.235737,0.240289,0.229413,0.235300,0.235300,189808
2023-01-17,0.235444,0.238150,0.227051,0.232867,0.232867,313327
2023-01-18,0.232775,0.234301,0.216469,0.218099,0.218099,495362
2023-01-19,0.218067,0.218835,0.207516,0.217598,0.217598,241517
2023-01-20,0.217508,0.224664,0.209580,0.224375,0.224375,228258
2023-01-21,0.224368,0.265238,0.222096,0.246675,0.246675,729636
2023-01-22,0.246519,0.328854,0.246147,0.285420,0.285420,916116
2023-01-23,0.285471,0.312882,0.273577,0.275760,0.275760,840413
2023-01-24,0.275600,0.283536,0.255372,0.259035,0.259035,369548
2023-01-25,0.258962,0.267623,0.252656,0.267623,0.267623,257403
2023-01-26,0.267603,0.267673,0.252442,0.255990,0.255990,281084
2023-01-27,0.255695,0.267922,0.254162,0.266837,0.266837,215616
2023-01-28,0.266953,0.274891,0.266528,0.271215,0.271215,145247
2023-01-29,0.271291,0.278482,0.269653,0.276680,0.276680,227859
2023-01-30,0.276957,0.280899,0.271654,0.271849,0.271849,313231
2023-01-31,0.272059,0.272059,0.261088,0.265775,0.265775,275756
2023-02-01,0.265984,0.287326,0.258410,0.285104,0.285104,454554
2023-02-02,0.285050,0.292710,0.278598,0.288346,0.288346,294729
2023-02-03,0.288232,0.366263,0.286228,0.312516,0.312516,464424
