Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.154465,0.214660,0.151718,0.212687,0.212687,1087561167
2022-11-11,0.212773,0.234714,0.203041,0.226449,0.226449,1298669511
2022-11-12,0.226435,0.228203,0.205222,0.213772,0.213772,507046319
2022-11-13,0.213805,0.217206,0.192861,0.200454,0.200454,417555329
2022-11-14,0.200435,0.209735,0.179380,0.197813,0.197813,674641015
2022-11-15,0.197812,0.225650,0.193872,0.219896,0.219896,657222430
2022-11-16,0.219887,0.238278,0.217500,0.229578,0.229578,827361098
2022-11-17,0.229640,0.238372,0.221298,0.233812,0.233812,524148303
2022-11-18,0.233809,0.269137,0.233506,0.268178,0.268178,885090924
2022-11-19,0.268137,0.271414,0.243877,0.244877,0.244877,854411149
2022-11-20,0.244938,0.245475,0.193584,0.197668,0.197668,1083890167
2022-11-21,0.197656,0.201420,0.180101,0.185841,0.185841,702815187
2022-11-22,0.185770,0.188314,0.170147,0.182140,0.182140,531216955
2022-11-23,0.182167,0.186512,0.176391,0.184376,0.184376,354285287
2022-11-24,0.184373,0.184373,0.174500,0.177323,0.177323,231932422
2022-11-25,0.177308,0.177308,0.169168,0.176436,0.176436,206310106
2022-11-26,0.176410,0.179156,0.170486,0.172745,0.172745,192710935
2022-11-27,0.172736,0.175870,0.169575,0.169873,0.169873,154443301
2022-11-28,0.169850,0.170230,0.157198,0.164671,0.164671,332587926
2022-11-29,0.164638,0.167376,0.161401,0.163342,0.163342,169368650
2022-11-30,0.163352,0.167617,0.157548,0.165576,0.165576,204855134
2022-12-01,0.165573,0.165997,0.159432,0.160228,0.160228,135234737
2022-12-02,0.160231,0.172120,0.155514,0.169900,0.169900,298966835
2022-12-03,0.169929,0.170157,0.164037,0.164645,0.164645,149148794
2022-12-04,0.164640,0.169251,0.164640,0.166415,0.166415,102386894
2022-12-05,0.166393,0.169945,0.159374,0.162262,0.162262,189153587
2022-12-06,0.162212,0.162629,0.158758,0.160314,0.160314,110453365
2022-12-07,0.160323,0.161454,0.149889,0.151860,0.151860,133865363
2022-12-08,0.151862,0.154339,0.148297,0.153104,0.153104,119224993
2022-12-09,0.153127,0.153913,0.148883,0.150142,0.150142,86970406
2022-12-10,0.150146,0.151543,0.148507,0.148854,0.148854,73029197
2022-12-11,0.148848,0.150878,0.142590,0.143722,0.143722,99922981
2022-12-12,0.143716,0.143716,0.134734,0.138062,0.138062,142862567
2022-12-13,0.138063,0.142918,0.132296,0.140376,0.140376,145523661
2022-12-14,0.140394,0.141742,0.134722,0.136326,0.136326,129516542
2022-12-15,0.136320,0.146664,0.132510,0.142184,0.142184,249992549
2022-12-16,0.142186,0.144802,0.119494,0.121057,0.121057,218522395
2022-12-17,0.121058,0.121795,0.112876,0.120107,0.120107,154325452
2022-12-18,0.120107,0.126438,0.116193,0.117981,0.117981,176341887
2022-12-19,0.117993,0.119699,0.104910,0.106460,0.106460,105999223
2022-12-20,0.106469,0.115218,0.106469,0.113154,0.113154,91711409
2022-12-21,0.113157,0.113157,0.108704,0.111032,0.111032,66545214
2022-12-22,0.111031,0.112393,0.107545,0.111313,0.111313,59711061
2022-12-23,0.111319,0.112407,0.110263,0.111677,0.111677,47201367
2022-12-24,0.111678,0.112305,0.111143,0.111693,0.111693,28200035
2022-12-25,0.111688,0.112115,0.109714,0.110617,0.110617,36301961
2022-12-26,0.110615,0.111523,0.108636,0.110413,0.110413,43779307
2022-12-27,0.110392,0.110680,0.105793,0.107318,0.107318,50424102
2022-12-28,0.107319,0.107509,0.102314,0.102314,0.102314,70430469
2022-12-29,0.102317,0.104507,0.100190,0.102061,0.102061,76802719
2022-12-30,0.102055,0.102333,0.097724,0.100078,0.100078,60688498
2022-12-31,0.100083,0.101969,0.099612,0.100226,0.100226,36834059
2023-01-01,0.100230,0.101358,0.099664,0.101065,0.101065,30846644
2023-01-02,0.101066,0.103363,0.098933,0.101890,0.101890,59691201
2023-01-03,0.101886,0.103096,0.100339,0.102697,0.102697,64006964
2023-01-04,0.102703,0.106235,0.101848,0.104474,0.104474,85184737
2023-01-05,0.104471,0.117555,0.104440,0.111890,0.111890,229121494
2023-01-06,0.111899,0.112083,0.105510,0.109809,0.109809,84925666
2023-01-07,0.109807,0.110429,0.107761,0.108720,0.108720,38104343
2023-01-08,0.108713,0.111968,0.107425,0.111951,0.111951,62818772
2023-01-09,0.111947,0.117403,0.111079,0.114768,0.114768,138064570
2023-01-10,0.114673,0.124855,0.114130,0.120154,0.120154,209858540
2023-01-11,0.120141,0.121052,0.115148,0.120853,0.120853,91066463
2023-01-12,0.123290,0.128824,0.120379,0.128009,0.128009,194831336
2023-01-13,0.127934,0.131965,0.124989,0.131741,0.131741,130177981
2023-01-14,0.131745,0.142083,0.131745,0.138164,0.138164,237084690
2023-01-15,0.138176,0.140253,0.132554,0.140253,0.140253,138867690
2023-01-16,0.140259,0.143006,0.132395,0.135623,0.135623,134451605
2023-01-17,0.135642,0.137789,0.133289,0.135257,0.135257,84491080
2023-01-18,0.135248,0.138994,0.122832,0.123444,0.123444,154832013
2023-01-19,0.123443,0.128784,0.123197,0.127755,0.127755,76033145
2023-01-20,0.127751,0.137208,0.126177,0.137183,0.137183,101058876
2023-01-21,0.137187,0.138604,0.134245,0.134309,0.134309,126737602
2023-01-22,0.134315,0.140572,0.132732,0.135856,0.135856,111622023
2023-01-23,0.135865,0.142437,0.135727,0.140364,0.140364,152777464
2023-01-24,0.140342,0.153371,0.132465,0.133611,0.133611,303940209
2023-01-25,0.133612,0.140620,0.128844,0.137221,0.137221,167646169
2023-01-26,0.137203,0.139857,0.134927,0.137026,0.137026,111013547
2023-01-27,0.137020,0.139001,0.132732,0.138456,0.138456,103268217
2023-01-28,0.138482,0.141888,0.135463,0.137081,0.137081,92648988
2023-01-29,0.137073,0.142486,0.136017,0.142486,0.142486,85342952
2023-01-30,0.142534,0.146321,0.129900,0.131060,0.131060,151137329
2023-01-31,0.131068,0.134259,0.130251,0.132949,0.132949,85557587
2023-02-01,0.132920,0.139132,0.128670,0.138830,0.138830,110967255
2023-02-02,0.138814,0.149767,0.138424,0.139686,0.139686,234828331
2023-02-03,0.139664,0.146001,0.139528,0.145342,0.145342,114814994
2023-02-04,0.145340,0.149021,0.142969,0.144989,0.144989,117862553
2023-02-05,0.145007,0.146787,0.137376,0.139750,0.139750,112794051
2023-02-06,0.139752,0.141577,0.136465,0.137198,0.137198,75360503
2023-02-07,0.137192,0.169141,0.137059,0.161525,0.161525,541047753
2023-02-08,0.161514,0.177893,0.153724,0.157663,0.157663,538870985
2023-02-09,0.157695,0.157846,0.134815,0.137876,0.137876,255082304
2023-02-10,0.137908,0.140256,0.133710,0.135696,0.135696,151633733
2023-02-11,0.135709,0.138764,0.134670,0.138058,0.138058,72374638
2023-02-12,0.138056,0.139394,0.131930,0.132671,0.132671,94038767
2023-02-13,0.132674,0.133668,0.125390,0.129508,0.129508,122361189
2023-02-14,0.129502,0.134760,0.126946,0.134444,0.134444,106791426
2023-02-15,0.134443,0.142887,0.131901,0.142774,0.142774,120352219
2023-02-16,0.142773,0.144295,0.133186,0.133558,0.133558,149916246
2023-02-17,0.133561,0.141898,0.133128,0.140439,0.140439,90274065
2023-02-18,0.140439,0.142203,0.139094,0.140364,0.140364,64745161
2023-02-19,0.140357,0.143765,0.138279,0.141605,0.141605,99641700
2023-02-20,0.141630,0.147036,0.137725,0.145495,0.145495,127952883
2023-02-21,0.145503,0.146879,0.138671,0.141218,0.141218,126984273
2023-02-22,0.141213,0.141501,0.134682,0.138331,0.138331,95334534
2023-02-23,0.138368,0.141113,0.136411,0.138243,0.138243,67853694
2023-02-24,0.138240,0.143348,0.132700,0.134820,0.134820,129283155
2023-02-25,0.134839,0.135470,0.130558,0.133895,0.133895,70444488
2023-02-26,0.133893,0.136376,0.133219,0.135818,0.135818,38688160
2023-02-27,0.135823,0.136308,0.131946,0.134011,0.134011,49036321
2023-02-28,0.134003,0.135320,0.130312,0.131011,0.131011,49890606
2023-03-01,0.131011,0.144605,0.130574,0.136422,0.136422,158614625
2023-03-02,0.136425,0.137706,0.132486,0.134132,0.134132,69086554
2023-03-03,0.134140,0.134184,0.121119,0.126919,0.126919,84224255
2023-03-04,0.126915,0.127281,0.119771,0.122357,0.122357,41717779
2023-03-05,0.122358,0.124447,0.121684,0.121938,0.121938,34568421
2023-03-06,0.121935,0.124175,0.119494,0.123134,0.123134,46116211
2023-03-07,0.123130,0.123966,0.118936,0.120911,0.120911,51091303
2023-03-08,0.120911,0.121288,0.111207,0.111907,0.111907,66948870
2023-03-09,0.111915,0.114971,0.103691,0.105552,0.105552,71047037
2023-03-10,0.105554,0.110608,0.100697,0.110107,0.110107,80320042
2023-03-11,0.110106,0.111549,0.105801,0.109881,0.109881,59463868
2023-03-12,0.109876,0.115239,0.107850,0.115239,0.115239,51424742
2023-03-13,0.115245,0.120260,0.112020,0.118577,0.118577,97690061
2023-03-14,0.118578,0.125741,0.116547,0.122525,0.122525,109770273
2023-03-15,0.122528,0.123908,0.112319,0.114175,0.114175,83429054
2023-03-16,0.114189,0.118289,0.113104,0.116954,0.116954,55251803
2023-03-17,0.116949,0.124090,0.116037,0.123955,0.123955,64890829
2023-03-18,0.123944,0.126317,0.118197,0.118811,0.118811,87126976
2023-03-19,0.118805,0.123424,0.118805,0.121204,0.121204,57532740
2023-03-20,0.121228,0.123464,0.117055,0.117787,0.117787,74663935
2023-03-21,0.117819,0.123025,0.115893,0.121990,0.121990,62295848
2023-03-22,0.121989,0.124126,0.116090,0.118499,0.118499,90540481
2023-03-23,0.118492,0.123796,0.118186,0.122091,0.122091,51518000
2023-03-24,0.122097,0.122400,0.117181,0.118304,0.118304,45362335
2023-03-25,0.118298,0.120576,0.117073,0.118560,0.118560,40758613
2023-03-26,0.118561,0.120951,0.118491,0.120446,0.120446,31453310
2023-03-27,0.120447,0.120510,0.111873,0.113283,0.113283,52882230
2023-03-28,0.113281,0.116242,0.111951,0.115202,0.115202,47950897
2023-03-29,0.115197,0.119616,0.114661,0.118882,0.118882,57554090
2023-03-30,0.118872,0.120369,0.115180,0.116588,0.116588,78038360
2023-03-31,0.116592,0.120899,0.115620,0.120248,0.120248,59174711
2023-04-01,0.120244,0.123029,0.119168,0.121754,0.121754,47435629
2023-04-02,0.121916,0.122645,0.117199,0.118333,0.118333,46451305
2023-04-03,0.118332,0.122460,0.115913,0.121950,0.121950,74227618
2023-04-04,0.121952,0.127099,0.121889,0.124296,0.124296,103739480
2023-04-05,0.124297,0.132228,0.123913,0.129213,0.129213,118500039
2023-04-06,0.129218,0.132079,0.124560,0.129188,0.129188,108684780
2023-04-07,0.129202,0.130840,0.124658,0.130471,0.130471,84045571
2023-04-08,0.130504,0.141028,0.129675,0.132638,0.132638,325410160
2023-04-09,0.132655,0.136379,0.129280,0.131104,0.131104,124535272
2023-04-10,0.131103,0.133798,0.127585,0.133160,0.133160,84796145
2023-04-11,0.133191,0.136557,0.130888,0.131082,0.131082,111435750
2023-04-12,0.131079,0.131408,0.125961,0.128495,0.128495,60793449
2023-04-13,0.127891,0.131970,0.127403,0.131641,0.131641,50804381
2023-04-14,0.131646,0.134902,0.130189,0.134127,0.134127,79577876
2023-04-15,0.134127,0.134127,0.131669,0.133416,0.133416,42817964
2023-04-16,0.133414,0.138532,0.132254,0.138526,0.138526,65855309
2023-04-17,0.138520,0.139131,0.134270,0.135578,0.135578,92434238
2023-04-18,0.135591,0.138750,0.135045,0.138080,0.138080,60344159
2023-04-19,0.138078,0.142241,0.129206,0.130492,0.130492,197465147
2023-04-20,0.130480,0.132859,0.126962,0.127904,0.127904,78920928
2023-04-21,0.127901,0.128639,0.118308,0.119586,0.119586,76040460
2023-04-22,0.119585,0.122693,0.118812,0.122311,0.122311,39838014
2023-04-23,0.122311,0.122789,0.117546,0.119849,0.119849,42508448
2023-04-24,0.119846,0.124874,0.118376,0.123342,0.123342,59062144
2023-04-25,0.123319,0.128629,0.123055,0.128527,0.128527,104798421
2023-04-26,0.128523,0.131165,0.120737,0.127358,0.127358,84502873
2023-04-27,0.127349,0.129612,0.126268,0.128395,0.128395,48123891
2023-04-28,0.128393,0.130323,0.126415,0.127621,0.127621,44727532
2023-04-29,0.127623,0.128422,0.126773,0.127371,0.127371,23732878
2023-04-30,0.127373,0.128595,0.125843,0.126611,0.126611,37531462
2023-05-01,0.126577,0.129251,0.123213,0.127700,0.127700,76797492
2023-05-02,0.127691,0.128143,0.124392,0.126877,0.126877,40465724
2023-05-03,0.126874,0.130692,0.124143,0.130002,0.130002,60731128
2023-05-04,0.129990,0.130947,0.127175,0.129379,0.129379,40814591
2023-05-05,0.129380,0.131479,0.126973,0.130631,0.130631,42130278
2023-05-06,0.130625,0.131636,0.123694,0.125165,0.125165,40244774
2023-05-07,0.125158,0.127984,0.124334,0.125277,0.125277,27111862
2023-05-08,0.125255,0.125255,0.112393,0.113403,0.113403,71491513
2023-05-09,0.113394,0.115628,0.111801,0.112653,0.112653,49696720
2023-05-10,0.112651,0.113591,0.107450,0.110657,0.110657,98086151
2023-05-11,0.110661,0.110661,0.105011,0.106909,0.106909,50548688
2023-05-12,0.106911,0.107647,0.103712,0.107647,0.107647,41387077
2023-05-13,0.107651,0.107669,0.105032,0.106083,0.106083,23045041
2023-05-14,0.106077,0.108638,0.105120,0.106995,0.106995,20202165
2023-05-15,0.106996,0.108654,0.105689,0.107624,0.107624,25533457
2023-05-16,0.107627,0.109286,0.106732,0.107604,0.107604,30436474
2023-05-17,0.107601,0.110890,0.105768,0.108419,0.108419,38372783
2023-05-18,0.108421,0.108636,0.104591,0.107163,0.107163,31697059
2023-05-19,0.107159,0.108166,0.105800,0.107650,0.107650,22210220
2023-05-20,0.107650,0.107675,0.106403,0.106932,0.106932,16381459
2023-05-21,0.106930,0.107372,0.103788,0.104497,0.104497,19737267
2023-05-22,0.104499,0.105968,0.102827,0.104897,0.104897,24406718
2023-05-23,0.104899,0.106328,0.104118,0.104837,0.104837,22143006
2023-05-24,0.104839,0.104839,0.099405,0.100970,0.100970,33363200
2023-05-25,0.100966,0.101312,0.098753,0.099147,0.099147,28170954
2023-05-26,0.099149,0.100410,0.098308,0.099664,0.099664,27720159
2023-05-27,0.099662,0.100944,0.099017,0.100571,0.100571,17922874
2023-05-28,0.100572,0.103149,0.100434,0.102790,0.102790,25118954
2023-05-29,0.102799,0.103885,0.100249,0.100747,0.100747,31277417
2023-05-30,0.100739,0.101114,0.099858,0.100472,0.100472,23444991
2023-05-31,0.100471,0.100621,0.097660,0.098680,0.098680,28806694
2023-06-01,0.098677,0.102142,0.097486,0.100010,0.100010,35457692
2023-06-02,0.100011,0.102257,0.099568,0.100458,0.100458,31815688
2023-06-03,0.100461,0.101857,0.099855,0.101846,0.101846,22107336
2023-06-04,0.101847,0.103238,0.100846,0.100856,0.100856,22745978
2023-06-05,0.100860,0.100860,0.087082,0.093817,0.093817,64253750
2023-06-06,0.093818,0.095654,0.091488,0.094701,0.094701,36647881
2023-06-07,0.094702,0.094729,0.085612,0.086807,0.086807,42556169
2023-06-08,0.086809,0.088298,0.085490,0.087555,0.087555,26955062
2023-06-09,0.087554,0.088627,0.086307,0.088084,0.088084,20561138
