Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.031415,0.036683,0.031289,0.035836,0.035836,15792381
2022-11-11,0.035817,0.036517,0.033631,0.034868,0.034868,12473945
2022-11-12,0.034871,0.034941,0.032343,0.033886,0.033886,8961531
2022-11-13,0.033885,0.034115,0.030039,0.030299,0.030299,11727606
2022-11-14,0.030294,0.030759,0.027433,0.029137,0.029137,15579044
2022-11-15,0.029137,0.030365,0.028284,0.029109,0.029109,11558449
2022-11-16,0.029100,0.029269,0.027560,0.028146,0.028146,10228626
2022-11-17,0.028142,0.028284,0.026743,0.027316,0.027316,11712740
2022-11-18,0.027313,0.028840,0.027086,0.027430,0.027430,9312621
2022-11-19,0.027430,0.028628,0.027264,0.028195,0.028195,6455035
2022-11-20,0.028200,0.028758,0.027011,0.027352,0.027352,6900149
2022-11-21,0.027353,0.028897,0.026966,0.027767,0.027767,8989554
2022-11-22,0.027759,0.028357,0.026866,0.028339,0.028339,7717357
2022-11-23,0.028347,0.030183,0.028040,0.030024,0.030024,12209190
2022-11-24,0.030027,0.030896,0.028542,0.029481,0.029481,8257445
2022-11-25,0.029483,0.030837,0.028856,0.030745,0.030745,7849755
2022-11-26,0.030741,0.031361,0.030363,0.030758,0.030758,6722741
2022-11-27,0.030762,0.031641,0.030664,0.031217,0.031217,5261152
2022-11-28,0.031212,0.031305,0.029584,0.030160,0.030160,6264247
2022-11-29,0.030159,0.030556,0.029665,0.030170,0.030170,6142970
2022-11-30,0.030174,0.030866,0.029912,0.030582,0.030582,7410222
2022-12-01,0.030578,0.030722,0.029170,0.029417,0.029417,5433164
2022-12-02,0.029418,0.030009,0.029408,0.029982,0.029982,4537247
2022-12-03,0.029975,0.030364,0.029656,0.030081,0.030081,4491214
2022-12-04,0.030078,0.030552,0.029988,0.030361,0.030361,4800600
2022-12-05,0.030353,0.030577,0.029766,0.029947,0.029947,4946228
2022-12-06,0.029958,0.030114,0.029667,0.029789,0.029789,3736587
2022-12-07,0.029791,0.029829,0.028439,0.029474,0.029474,4131783
2022-12-08,0.029494,0.029676,0.028900,0.029530,0.029530,4701811
2022-12-09,0.029528,0.029708,0.029150,0.029664,0.029664,3898317
2022-12-10,0.029663,0.030150,0.029493,0.029838,0.029838,3657507
2022-12-11,0.029848,0.030471,0.029848,0.029930,0.029930,4688679
2022-12-12,0.029917,0.029981,0.029376,0.029722,0.029722,3784249
2022-12-13,0.029719,0.030431,0.029066,0.029912,0.029912,5000554
2022-12-14,0.029916,0.030434,0.029249,0.029288,0.029288,4617495
2022-12-15,0.029286,0.029750,0.028447,0.028486,0.028486,3978399
2022-12-16,0.028487,0.029003,0.026969,0.027036,0.027036,4624740
2022-12-17,0.027039,0.027864,0.026998,0.027490,0.027490,3938445
2022-12-18,0.027489,0.027870,0.027380,0.027829,0.027829,3086227
2022-12-19,0.027830,0.027830,0.026545,0.026824,0.026824,5340374
2022-12-20,0.026832,0.026862,0.026005,0.026474,0.026474,5046116
2022-12-21,0.026463,0.026704,0.026043,0.026485,0.026485,4740455
2022-12-22,0.026496,0.026810,0.026039,0.026542,0.026542,4008250
2022-12-23,0.026537,0.027367,0.026516,0.026898,0.026898,3465424
2022-12-24,0.026903,0.027285,0.026846,0.027047,0.027047,2946556
2022-12-25,0.027047,0.027718,0.026976,0.027627,0.027627,3376230
2022-12-26,0.027627,0.028865,0.027570,0.028699,0.028699,3280784
2022-12-27,0.028700,0.028923,0.028135,0.028921,0.028921,3681545
2022-12-28,0.028923,0.028923,0.027056,0.027330,0.027330,3613776
2022-12-29,0.027326,0.028648,0.027036,0.027495,0.027495,4076170
2022-12-30,0.027493,0.027855,0.026637,0.027451,0.027451,3862665
2022-12-31,0.027444,0.028170,0.026942,0.027599,0.027599,4196607
2023-01-01,0.027605,0.028189,0.027533,0.028125,0.028125,3151805
2023-01-02,0.028127,0.029417,0.028053,0.029051,0.029051,3749006
2023-01-03,0.029054,0.029219,0.028556,0.028767,0.028767,3638070
2023-01-04,0.028768,0.030411,0.028743,0.030143,0.030143,3812244
2023-01-05,0.030144,0.030322,0.028311,0.028412,0.028412,3741328
2023-01-06,0.028407,0.028526,0.027248,0.028315,0.028315,4682711
2023-01-07,0.028315,0.028521,0.027820,0.028236,0.028236,3922231
2023-01-08,0.028235,0.029202,0.028114,0.029078,0.029078,4146877
2023-01-09,0.029070,0.029729,0.029069,0.029095,0.029095,4552645
2023-01-10,0.029090,0.029503,0.029039,0.029403,0.029403,4589583
2023-01-11,0.029408,0.030290,0.029045,0.030141,0.030141,5123563
2023-01-12,0.030550,0.030700,0.030043,0.030492,0.030492,5476343
2023-01-13,0.030498,0.033390,0.030416,0.032956,0.032956,8515954
2023-01-14,0.032954,0.035241,0.032884,0.034783,0.034783,8109891
2023-01-15,0.034779,0.034779,0.032343,0.033939,0.033939,6057770
2023-01-16,0.033936,0.034202,0.031834,0.033934,0.033934,8233528
2023-01-17,0.033925,0.039683,0.033738,0.038311,0.038311,17823874
2023-01-18,0.038307,0.040745,0.034678,0.034953,0.034953,15802394
2023-01-19,0.034952,0.037679,0.034818,0.036625,0.036625,7811548
2023-01-20,0.036628,0.038580,0.035451,0.038413,0.038413,8720766
2023-01-21,0.038415,0.038594,0.036427,0.036427,0.036427,8460770
2023-01-22,0.036423,0.036834,0.034662,0.036383,0.036383,8884069
2023-01-23,0.036385,0.036385,0.034829,0.035689,0.035689,7836184
2023-01-24,0.035687,0.036261,0.034244,0.034500,0.034500,6369563
2023-01-25,0.034504,0.035400,0.032591,0.035157,0.035157,11090324
2023-01-26,0.035152,0.035981,0.033473,0.034074,0.034074,9110446
2023-01-27,0.034072,0.038948,0.033305,0.036152,0.036152,16650257
2023-01-28,0.036150,0.036586,0.034735,0.035172,0.035172,8728350
2023-01-29,0.035172,0.037212,0.035151,0.036685,0.036685,9679986
2023-01-30,0.036685,0.037224,0.034869,0.035737,0.035737,10928541
2023-01-31,0.035740,0.037177,0.035069,0.036161,0.036161,8305702
2023-02-01,0.036146,0.036981,0.033876,0.036707,0.036707,9783360
2023-02-02,0.036706,0.037903,0.035922,0.035933,0.035933,8361839
2023-02-03,0.035923,0.037714,0.035914,0.037526,0.037526,6076808
2023-02-04,0.037534,0.041564,0.037416,0.040685,0.040685,11254365
2023-02-05,0.040689,0.041357,0.037112,0.038968,0.038968,9837647
2023-02-06,0.038965,0.039902,0.038097,0.039659,0.039659,9708792
2023-02-07,0.039669,0.045441,0.039669,0.044236,0.044236,25826821
2023-02-08,0.044228,0.045699,0.041719,0.043218,0.043218,13684234
2023-02-09,0.043215,0.043259,0.038178,0.039682,0.039682,13989020
2023-02-10,0.039680,0.039905,0.037710,0.038008,0.038008,13365182
2023-02-11,0.038015,0.040094,0.037701,0.039953,0.039953,6426423
2023-02-12,0.039954,0.040056,0.038003,0.038364,0.038364,8030381
2023-02-13,0.038362,0.038736,0.035427,0.036909,0.036909,9150057
2023-02-14,0.036910,0.037574,0.035963,0.036501,0.036501,10042340
2023-02-15,0.036507,0.039435,0.036290,0.039365,0.039365,8979896
2023-02-16,0.039360,0.040477,0.036841,0.036874,0.036874,12807014
2023-02-17,0.036901,0.038673,0.036836,0.038503,0.038503,9468659
2023-02-18,0.038490,0.039463,0.038331,0.039305,0.039305,7579055
2023-02-19,0.039308,0.040761,0.038296,0.038818,0.038818,9794139
2023-02-20,0.038835,0.040332,0.038393,0.039286,0.039286,8330522
2023-02-21,0.039288,0.041156,0.038045,0.039228,0.039228,15894868
2023-02-22,0.039233,0.039867,0.037730,0.039665,0.039665,10158227
2023-02-23,0.039671,0.040260,0.037975,0.038493,0.038493,8243784
2023-02-24,0.038491,0.039123,0.036930,0.037636,0.037636,9252532
2023-02-25,0.037650,0.038532,0.036875,0.038187,0.038187,7865408
2023-02-26,0.038188,0.039208,0.037940,0.038825,0.038825,6460840
2023-02-27,0.038827,0.039684,0.038219,0.039229,0.039229,8979495
2023-02-28,0.039221,0.041839,0.038927,0.039470,0.039470,20104516
2023-03-01,0.039488,0.041942,0.039118,0.040786,0.040786,12001963
2023-03-02,0.040789,0.044837,0.040618,0.044133,0.044133,21399312
2023-03-03,0.044141,0.046344,0.039941,0.043019,0.043019,24368763
2023-03-04,0.043018,0.043408,0.039912,0.041152,0.041152,12301880
2023-03-05,0.041149,0.041960,0.040361,0.040477,0.040477,8269921
2023-03-06,0.040471,0.041333,0.040107,0.040446,0.040446,8591452
2023-03-07,0.040440,0.040862,0.038167,0.039168,0.039168,9777623
2023-03-08,0.039167,0.039367,0.035960,0.035960,0.035960,8983286
2023-03-09,0.035972,0.037200,0.033986,0.034838,0.034838,8994450
2023-03-10,0.034839,0.035752,0.033449,0.035566,0.035566,8843030
2023-03-11,0.035563,0.036251,0.033430,0.034717,0.034717,8159299
2023-03-12,0.034711,0.036941,0.034382,0.036941,0.036941,5896506
2023-03-13,0.036942,0.037807,0.035412,0.037087,0.037087,8583277
2023-03-14,0.037098,0.039123,0.036375,0.037260,0.037260,9590662
2023-03-15,0.037271,0.037959,0.035322,0.035480,0.035480,7946018
2023-03-16,0.035478,0.036268,0.034986,0.035827,0.035827,5916213
2023-03-17,0.035825,0.038172,0.035435,0.038023,0.038023,6773682
2023-03-18,0.038021,0.038567,0.036540,0.036611,0.036611,6408178
2023-03-19,0.036614,0.038309,0.036496,0.037396,0.037396,7752493
2023-03-20,0.037394,0.037568,0.036002,0.036108,0.036108,8805425
2023-03-21,0.036122,0.037383,0.035574,0.037302,0.037302,9110394
2023-03-22,0.037299,0.037976,0.035736,0.036270,0.036270,8790578
2023-03-23,0.036269,0.037261,0.035950,0.037118,0.037118,7715001
2023-03-24,0.037116,0.037196,0.034595,0.035128,0.035128,7913779
2023-03-25,0.035128,0.035701,0.034344,0.034938,0.034938,6150181
2023-03-26,0.034938,0.035656,0.034823,0.035375,0.035375,5777676
2023-03-27,0.035375,0.035577,0.033729,0.034270,0.034270,6417431
2023-03-28,0.034271,0.037286,0.033502,0.036638,0.036638,8806273
2023-03-29,0.036642,0.038169,0.036483,0.037011,0.037011,9250265
2023-03-30,0.037013,0.037515,0.036186,0.036732,0.036732,7900075
2023-03-31,0.036730,0.040848,0.036565,0.040648,0.040648,10716953
2023-04-01,0.040649,0.041462,0.039554,0.040088,0.040088,7177188
2023-04-02,0.040079,0.040426,0.038283,0.038851,0.038851,6560915
