Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,4.350544,4.723434,4.319361,4.711614,4.711614,477197
2022-11-11,4.711009,4.734562,4.379666,4.523653,4.523653,326838
2022-11-12,4.524030,4.534821,4.344301,4.460088,4.460088,228289
2022-11-13,4.459939,4.533214,4.319289,4.369757,4.369757,250419
2022-11-14,4.373358,4.451555,3.939555,4.055263,4.055263,342151
2022-11-15,4.051121,4.136224,3.933093,4.057178,4.057178,255626
2022-11-16,4.058390,4.132459,3.951701,4.061136,4.061136,168707
2022-11-17,4.056436,4.116585,3.973192,4.112393,4.112393,159544
2022-11-18,4.106413,4.137836,4.043609,4.115455,4.115455,126421
2022-11-19,4.108330,4.120390,4.011573,4.062113,4.062113,69184
2022-11-20,4.054417,4.089807,3.863091,3.901610,3.901610,130854
2022-11-21,3.901393,3.959118,3.799368,3.883061,3.883061,122335
2022-11-22,3.881359,3.956772,3.808478,3.920396,3.920396,89966
2022-11-23,3.922103,4.002818,3.891330,3.922115,3.922115,99069
2022-11-24,3.922270,3.972852,3.864718,3.897666,3.897666,74772
2022-11-25,3.895483,3.937918,3.856010,3.874928,3.874928,88214
2022-11-26,3.874576,3.921143,3.804622,3.833879,3.833879,114844
2022-11-27,3.836035,3.955217,3.818032,3.848007,3.848007,129921
2022-11-28,3.847148,3.863676,3.741733,3.802056,3.802056,107676
2022-11-29,3.801990,3.844376,3.757418,3.837529,3.837529,85613
2022-11-30,3.838683,4.004121,3.828816,3.986579,3.986579,117672
2022-12-01,3.985640,4.090411,3.982848,4.011159,4.011159,158520
2022-12-02,4.011250,4.059979,3.978411,4.011782,4.011782,132391
2022-12-03,4.009741,4.063487,3.992357,4.020231,4.020231,72806
2022-12-04,4.020168,4.063352,3.968023,4.041766,4.041766,100513
2022-12-05,4.013238,4.091845,3.966921,3.985334,3.985334,70186
2022-12-06,3.988387,4.002142,3.877532,3.905849,3.905849,54053
2022-12-07,3.907032,3.915903,3.773099,3.802920,3.802920,69869
2022-12-08,3.802155,3.900864,3.802155,3.886513,3.886513,95509
2022-12-09,3.884759,3.932385,3.829877,3.830090,3.830090,73803
2022-12-10,3.832086,3.859283,3.785113,3.807111,3.807111,86224
2022-12-11,3.805633,3.838716,3.770506,3.792522,3.792522,69420
2022-12-12,3.793308,3.822822,3.742628,3.784872,3.784872,78785
2022-12-13,3.788921,3.907971,3.756473,3.831126,3.831126,100849
2022-12-14,3.829504,3.910011,3.779321,3.873414,3.873414,92371
2022-12-15,3.873298,3.898448,3.769351,3.849762,3.849762,72788
2022-12-16,3.845904,3.897365,3.754477,3.763214,3.763214,99277
2022-12-17,3.759530,3.774284,3.688850,3.764377,3.764377,71474
2022-12-18,3.764309,3.777959,3.693547,3.727668,3.727668,49153
2022-12-19,3.724779,3.786077,3.633169,3.644298,3.644298,66054
2022-12-20,3.645738,3.774815,3.639141,3.703487,3.703487,55146
2022-12-21,3.709081,3.741962,3.631344,3.659141,3.659141,88884
2022-12-22,3.657865,3.680574,3.569008,3.617409,3.617409,44904
2022-12-23,3.614879,3.665970,3.568000,3.660738,3.660738,60771
2022-12-24,3.660558,3.670076,3.564935,3.593139,3.593139,61167
2022-12-25,3.596889,3.602910,3.519786,3.557672,3.557672,74804
2022-12-26,3.553830,3.741566,3.545444,3.713500,3.713500,71105
2022-12-27,3.717925,3.731310,3.634086,3.696000,3.696000,54974
2022-12-28,3.695486,3.718901,3.581014,3.610103,3.610103,67486
2022-12-29,3.609720,3.750118,3.604543,3.746230,3.746230,102090
2022-12-30,3.746592,3.867695,3.709274,3.845660,3.845660,133830
2022-12-31,3.845484,3.907832,3.763614,3.853671,3.853671,88210
2023-01-01,3.854946,4.010143,3.837971,3.972364,3.972364,100967
2023-01-02,3.975709,4.027033,3.921974,3.957465,3.957465,97617
2023-01-03,3.956921,4.037149,3.904051,3.989913,3.989913,84392
2023-01-04,3.989953,4.055882,3.979130,4.001297,4.001297,91460
2023-01-05,3.997501,4.042147,3.921225,3.962999,3.962999,51096
2023-01-06,3.965886,3.967631,3.868476,3.929142,3.929142,73587
2023-01-07,3.929144,3.964794,3.814977,3.825252,3.825252,129891
2023-01-08,3.823454,3.900526,3.815325,3.886066,3.886066,68539
2023-01-09,3.884380,4.000375,3.878948,3.959750,3.959750,70690
2023-01-10,3.962866,3.964794,3.898630,3.959026,3.959026,75443
2023-01-11,3.962379,4.045099,3.910564,4.045099,4.045099,102244
2023-01-12,4.060347,4.244386,4.012616,4.208477,4.208477,241270
2023-01-13,4.211474,4.604206,4.149094,4.549870,4.549870,200381
2023-01-14,4.550084,4.877580,4.550084,4.755613,4.755613,203871
2023-01-15,4.755919,4.849436,4.625083,4.732958,4.732958,128092
2023-01-16,4.727505,4.773621,4.626110,4.714046,4.714046,168926
2023-01-17,4.719062,4.809482,4.655214,4.658513,4.658513,117140
2023-01-18,4.657365,4.782709,4.480261,4.503913,4.503913,151917
2023-01-19,4.503291,4.609412,4.478541,4.547211,4.547211,66635
2023-01-20,4.549675,4.893215,4.499875,4.892882,4.892882,131886
2023-01-21,4.893279,5.022555,4.836557,4.916431,4.916431,93032
2023-01-22,4.913998,4.999369,4.840595,4.963726,4.963726,188910
2023-01-23,4.964917,5.082022,4.934925,5.031138,5.031138,128099
2023-01-24,5.025552,5.070836,4.902838,4.902838,4.902838,161329
2023-01-25,4.909093,5.039450,4.877028,4.944507,4.944507,96737
2023-01-26,4.943027,4.991339,4.842125,4.861281,4.861281,140578
2023-01-27,4.859775,5.053444,4.801768,4.987009,4.987009,108187
2023-01-28,4.987702,5.048206,4.944949,4.959214,4.959214,59362
2023-01-29,4.961880,5.029138,4.915223,4.955191,4.955191,92440
2023-01-30,4.948229,5.047665,4.776718,4.823983,4.823983,81587
2023-01-31,4.829118,4.928054,4.819287,4.897246,4.897246,106516
2023-02-01,4.899601,4.949137,4.778169,4.887428,4.887428,168684
2023-02-02,4.883111,4.984313,4.778850,4.782073,4.782073,155532
2023-02-03,4.784872,4.868674,4.741647,4.764860,4.764860,110024
2023-02-04,4.768448,4.793149,4.696723,4.770977,4.770977,66945
2023-02-05,4.767921,4.789015,4.615409,4.695770,4.695770,90538
2023-02-06,4.692523,4.785706,4.575818,4.618157,4.618157,159377
2023-02-07,4.617073,4.722153,4.588917,4.650671,4.650671,117776
2023-02-08,4.659303,4.709855,4.552015,4.581551,4.581551,167917
2023-02-09,4.584307,4.602942,4.369549,4.534223,4.534223,152627
2023-02-10,4.535490,4.545885,4.359749,4.376387,4.376387,73976
2023-02-11,4.380523,4.467720,4.368378,4.450576,4.450576,71829
2023-02-12,4.452535,4.582875,4.442199,4.512107,4.512107,124796
2023-02-13,4.511595,4.522474,4.313679,4.381078,4.381078,130897
2023-02-14,4.379158,4.481393,4.305128,4.398280,4.398280,137033
2023-02-15,4.400967,4.616158,4.336213,4.596869,4.596869,189009
2023-02-16,4.598494,4.757410,4.583566,4.602061,4.602061,201419
2023-02-17,4.598153,4.628226,4.485560,4.585588,4.585588,162992
2023-02-18,4.585760,4.637566,4.446138,4.537514,4.537514,84497
2023-02-19,4.539397,4.628765,4.435662,4.454545,4.454545,93482
2023-02-20,4.454477,4.628438,4.412174,4.514587,4.514587,84417
2023-02-21,4.505202,4.590963,4.405271,4.515375,4.515375,75757
2023-02-22,4.518338,4.518338,4.326966,4.411854,4.411854,104167
2023-02-23,4.411952,4.460716,4.313463,4.368547,4.368547,82248
2023-02-24,4.363503,4.402035,4.233306,4.275108,4.275108,138584
2023-02-25,4.275114,4.349835,4.175529,4.314163,4.314163,82304
2023-02-26,4.316845,4.426613,4.244982,4.417915,4.417915,73723
2023-02-27,4.417867,4.423649,4.177822,4.226032,4.226032,115791
2023-02-28,4.235049,4.326571,4.172098,4.200558,4.200558,117757
2023-03-01,4.205247,4.323252,4.171013,4.263442,4.263442,79501
2023-03-02,4.264390,4.334437,4.171425,4.247899,4.247899,68228
2023-03-03,4.248306,4.338565,4.092240,4.145422,4.145422,123516
2023-03-04,4.139567,4.253921,4.092207,4.128205,4.128205,57344
2023-03-05,4.127944,4.261753,4.093288,4.206186,4.206186,60327
2023-03-06,4.206527,4.320322,3.996247,4.156852,4.156852,106601
2023-03-07,4.153574,4.272816,4.085051,4.180437,4.180437,90047
2023-03-08,4.182419,4.226745,4.013251,4.125772,4.125772,74510
2023-03-09,4.117733,4.128920,3.799115,4.036294,4.036294,216739
2023-03-10,4.023868,4.023868,3.775679,3.977170,3.977170,199707
2023-03-11,3.972115,4.273605,3.892067,4.264545,4.264545,198614
2023-03-12,4.260479,4.366699,3.928900,4.366145,4.366145,250665
2023-03-13,4.365469,4.469243,4.105524,4.280475,4.280475,286952
2023-03-14,4.283137,4.542402,4.209834,4.374016,4.374016,167977
2023-03-15,4.372639,4.463642,4.155354,4.209758,4.209758,80848
2023-03-16,4.217893,4.353288,4.210255,4.341830,4.341830,83914
2023-03-17,4.343905,4.456859,4.230741,4.256023,4.256023,138478
2023-03-18,4.257680,4.800062,4.221236,4.533192,4.533192,170905
2023-03-19,4.537986,5.141927,4.517445,5.087076,5.087076,128792
2023-03-20,5.086814,6.589044,5.086814,5.899363,5.899363,1043111
2023-03-21,5.899136,6.004166,5.644188,6.000938,6.000938,430521
2023-03-22,6.001032,6.580240,5.989023,6.211362,6.211362,375977
2023-03-23,6.198495,6.565809,6.166884,6.554802,6.554802,249742
2023-03-24,6.554500,7.517309,6.443797,7.383306,7.383306,456570
2023-03-25,7.382788,7.390178,6.666535,6.691700,6.691700,340141
2023-03-26,6.708061,7.013102,6.521447,6.890675,6.890675,258951
2023-03-27,6.898400,7.162116,6.812636,6.954039,6.954039,297724
2023-03-28,6.956209,7.586910,6.955302,7.186643,7.186643,261532
2023-03-29,7.181000,8.715264,7.076202,8.673844,8.673844,1280446
2023-03-30,8.675676,8.924040,8.243425,8.744760,8.744760,996148
2023-03-31,8.749618,9.085025,8.729761,8.806018,8.806018,600749
2023-04-01,8.803546,8.806297,8.570432,8.677194,8.677194,275111
2023-04-02,8.611820,8.749581,8.313885,8.332782,8.332782,292389
2023-04-03,8.342508,8.432160,7.819322,7.901151,7.901151,462684
2023-04-04,7.900900,8.081020,7.830186,7.988973,7.988973,175876
2023-04-05,7.990732,8.372702,7.971098,8.329218,8.329218,264711
2023-04-06,8.329358,8.702663,8.012299,8.507224,8.507224,478628
2023-04-07,8.501758,8.519855,8.343605,8.407844,8.407844,371116
2023-04-08,8.404342,8.491221,8.324586,8.383859,8.383859,151305
2023-04-09,8.389225,8.603558,8.260642,8.429066,8.429066,320780
2023-04-10,8.429462,8.510523,8.216665,8.500864,8.500864,255698
2023-04-11,8.496325,9.082733,8.470620,9.009979,9.009979,386320
2023-04-12,9.009480,9.074869,8.617761,8.739699,8.739699,207552
2023-04-13,8.646146,8.944778,8.634656,8.834774,8.834774,299787
2023-04-14,8.832552,9.123547,8.729369,8.828735,8.828735,330017
2023-04-15,8.838513,8.882551,8.600812,8.614841,8.614841,268535
2023-04-16,8.617473,8.729840,8.138362,8.690049,8.690049,251706
2023-04-17,8.691600,8.696799,8.268742,8.375073,8.375073,350627
2023-04-18,8.375021,8.483135,8.040913,8.103463,8.103463,268727
2023-04-19,8.105906,8.387356,7.656539,7.664707,7.664707,362464
2023-04-20,7.664707,7.789037,7.253043,7.343791,7.343791,390698
2023-04-21,7.347084,7.358299,6.854450,7.002669,7.002669,381191
2023-04-22,7.002726,7.827539,6.904261,7.686329,7.686329,238271
2023-04-23,7.687534,7.886296,7.131395,7.407256,7.407256,279978
2023-04-24,7.407274,7.536799,7.042396,7.431116,7.431116,245763
2023-04-25,7.429935,7.445256,7.023348,7.223744,7.223744,266812
2023-04-26,7.224761,7.595947,7.073869,7.595265,7.595265,432618
2023-04-27,7.594034,7.805790,7.385138,7.669455,7.669455,194473
2023-04-28,7.670943,7.803190,7.379858,7.485154,7.485154,203369
2023-04-29,7.490886,7.524996,7.381450,7.397538,7.397538,150144
2023-04-30,7.397538,7.424080,7.247388,7.304064,7.304064,208803
2023-05-01,7.309220,7.388035,6.816552,6.889528,6.889528,318479
2023-05-02,6.889606,7.798944,6.610295,7.326513,7.326513,739091
2023-05-03,7.320215,7.744139,7.012319,7.294101,7.294101,325866
2023-05-04,7.301359,7.427756,7.060550,7.123954,7.123954,198375
2023-05-05,7.124575,7.126345,6.830767,6.982301,6.982301,263728
2023-05-06,6.985279,7.195306,6.629675,6.814691,6.814691,254718
2023-05-07,6.815968,6.820621,6.416131,6.642585,6.642585,597292
2023-05-08,6.638236,6.647997,6.176865,6.235776,6.235776,333008
2023-05-09,6.234650,6.357850,6.167386,6.317113,6.317113,179320
2023-05-10,6.322100,6.667497,6.202638,6.388648,6.388648,279288
2023-05-11,6.391885,6.427170,6.018779,6.036466,6.036466,234458
2023-05-12,6.035991,6.075612,5.825405,5.957227,5.957227,165487
2023-05-13,5.959846,6.041935,5.936308,6.017137,6.017137,185445
2023-05-14,6.014179,6.029333,5.933223,5.980383,5.980383,109278
2023-05-15,5.976190,6.296019,5.955411,6.154407,6.154407,135551
2023-05-16,6.152654,6.176996,6.048766,6.114328,6.114328,153168
2023-05-17,6.110034,6.174015,5.985809,6.107365,6.107365,122131
2023-05-18,6.107628,6.211619,5.831799,5.908208,5.908208,172537
2023-05-19,5.908716,6.103218,5.885911,5.998231,5.998231,185695
2023-05-20,5.997851,6.293559,5.971486,6.023934,6.023934,117654
2023-05-21,6.026235,6.121069,5.802315,5.828815,5.828815,194849
2023-05-22,5.829640,5.910661,5.762551,5.765514,5.765514,109250
2023-05-23,5.765112,5.901607,5.698621,5.747158,5.747158,233920
2023-05-24,5.751384,5.757077,5.526628,5.549266,5.549266,181396
2023-05-25,5.548912,5.636627,5.487806,5.595346,5.595346,152931
2023-05-26,5.593259,5.779129,5.520460,5.663244,5.663244,143208
2023-05-27,5.662891,6.228985,5.608151,6.171180,6.171180,250469
2023-05-28,6.170926,6.655275,6.154743,6.627670,6.627670,280549
2023-05-29,6.628935,6.704539,6.401423,6.564758,6.564758,160713
2023-05-30,6.567842,6.575812,5.972547,6.007289,6.007289,322547
2023-05-31,6.005244,6.032286,5.803873,5.840241,5.840241,219703
2023-06-01,5.845219,5.857921,5.643159,5.700610,5.700610,165826
2023-06-02,5.698889,5.787310,5.575648,5.618135,5.618135,179328
2023-06-03,5.619743,5.712181,5.538428,5.596984,5.596984,66040
2023-06-04,5.590346,5.621739,5.523627,5.546557,5.546557,89681
2023-06-05,5.560189,5.591849,5.291374,5.354691,5.354691,115756
2023-06-06,5.349881,5.633778,5.258775,5.600249,5.600249,87083
2023-06-07,5.603268,5.627547,5.287784,5.327267,5.327267,103406
2023-06-08,5.328913,5.458442,5.268830,5.381015,5.381015,69826
2023-06-09,5.382120,5.399022,5.328425,5.388607,5.388607,31690
