Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,8.787929,11.777957,8.626230,10.160849,10.160849,1577710
2022-11-11,10.150290,10.178839,9.092565,9.529455,9.529455,1115303
2022-11-12,9.515249,9.904471,9.258732,9.840487,9.840487,368373
2022-11-13,9.841940,9.934937,9.121925,9.188955,9.188955,678775
2022-11-14,9.198819,13.867967,9.102719,12.061268,12.061268,3048791
2022-11-15,12.064554,12.064554,10.413597,10.755506,10.755506,1151443
2022-11-16,10.726088,11.049330,10.469426,10.668905,10.668905,370042
2022-11-17,10.672284,10.885490,10.305522,10.340988,10.340988,275916
2022-11-18,10.341511,10.852410,9.578231,9.739319,9.739319,447787
2022-11-19,9.735139,10.153475,9.658759,9.763951,9.763951,795542
2022-11-20,9.761020,9.866144,9.392337,9.392337,9.392337,587691
2022-11-21,9.386381,9.498413,8.515059,8.900422,8.900422,1182878
2022-11-22,8.877628,9.149756,8.612632,8.867339,8.867339,483760
2022-11-23,8.866990,9.271222,8.778917,8.874421,8.874421,325547
2022-11-24,8.874033,9.305056,8.872028,9.003952,9.003952,301595
2022-11-25,9.007424,9.039883,8.832167,8.859944,8.859944,155796
2022-11-26,8.861711,9.285225,8.838942,9.021587,9.021587,171112
2022-11-27,9.007328,9.240676,8.924765,8.976887,8.976887,133051
2022-11-28,8.985863,8.990876,8.469198,8.607820,8.607820,237351
2022-11-29,8.599833,8.937760,8.554266,8.624301,8.624301,175857
2022-11-30,8.620150,9.376914,8.613109,9.157165,9.157165,338877
2022-12-01,9.151910,9.971499,9.061951,9.496171,9.496171,345901
2022-12-02,9.496382,9.837921,9.247450,9.436306,9.436306,355422
2022-12-03,9.426879,9.499227,9.062349,9.301142,9.301142,229682
2022-12-04,9.296292,9.448420,9.243703,9.432553,9.432553,119551
2022-12-05,9.422036,9.818182,9.175258,9.212445,9.212445,99746
2022-12-06,9.222630,9.442050,9.015023,9.064077,9.064077,105803
2022-12-07,9.067332,9.142582,8.842512,8.932063,8.932063,201552
2022-12-08,8.920427,9.178975,8.884330,9.028061,9.028061,99681
2022-12-09,9.032437,10.659570,8.966275,10.292697,10.292697,928122
2022-12-10,10.312194,11.406663,9.390291,9.416150,9.416150,1219105
2022-12-11,9.425851,10.090315,9.346266,9.396890,9.396890,287992
2022-12-12,9.392851,9.547634,8.795707,8.851315,8.851315,778421
2022-12-13,8.843828,9.221806,8.830252,9.129558,9.129558,454942
2022-12-14,9.145327,9.145327,8.832318,8.902478,8.902478,151981
2022-12-15,8.902964,9.043454,8.802000,8.900986,8.900986,135921
2022-12-16,8.898756,9.055396,8.617443,8.621630,8.621630,214851
2022-12-17,8.617898,8.763173,8.536795,8.654415,8.654415,152778
2022-12-18,8.655261,8.706569,8.518399,8.606656,8.606656,113665
