Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,1.637474,1.803267,1.613327,1.768980,1.768980,1588637
2022-11-11,1.768452,1.775687,1.655212,1.735457,1.735457,963129
2022-11-12,1.734568,1.746466,1.632991,1.639759,1.639759,619193
2022-11-13,1.638933,1.651151,1.514291,1.532068,1.532068,865092
2022-11-14,1.532520,1.578746,1.490409,1.526783,1.526783,845750
2022-11-15,1.526386,1.578915,1.509822,1.525997,1.525997,805663
2022-11-16,1.526138,1.543968,1.488857,1.508636,1.508636,598283
2022-11-17,1.508677,1.529749,1.483917,1.511660,1.511660,589945
2022-11-18,1.511870,1.530617,1.493621,1.508086,1.508086,524620
2022-11-19,1.508088,1.514856,1.485965,1.509840,1.509840,518711
2022-11-20,1.511785,1.523399,1.490219,1.494278,1.494278,483020
2022-11-21,1.494646,1.494646,1.370770,1.381399,1.381399,751712
2022-11-22,1.381145,1.405990,1.340812,1.353992,1.353992,955038
2022-11-23,1.354978,1.422676,1.341389,1.409530,1.409530,620963
2022-11-24,1.409578,1.414140,1.364653,1.398737,1.398737,454554
2022-11-25,1.397964,1.397979,1.352881,1.368046,1.368046,487870
2022-11-26,1.368088,1.384782,1.353239,1.358694,1.358694,397062
2022-11-27,1.358784,1.372746,1.345184,1.361267,1.361267,453896
2022-11-28,1.360909,1.362798,1.320126,1.331211,1.331211,616737
2022-11-29,1.331170,1.362993,1.327227,1.351445,1.351445,561826
2022-11-30,1.351335,1.379220,1.340394,1.371143,1.371143,562971
2022-12-01,1.371213,1.447745,1.371172,1.444751,1.444751,491218
2022-12-02,1.445041,1.446217,1.394890,1.408248,1.408248,455441
2022-12-03,1.408554,1.411743,1.369581,1.369638,1.369638,380204
2022-12-04,1.369725,1.382126,1.353927,1.370640,1.370640,389893
2022-12-05,1.370636,1.406884,1.365598,1.393660,1.393660,484637
2022-12-06,1.401317,1.403682,1.356705,1.373637,1.373637,461768
2022-12-07,1.373554,1.393488,1.343062,1.345910,1.345910,439705
2022-12-08,1.346592,1.352350,1.332601,1.343300,1.343300,474370
2022-12-09,1.343263,1.367045,1.335905,1.358917,1.358917,460920
2022-12-10,1.358924,1.396205,1.356107,1.390159,1.390159,446435
2022-12-11,1.390344,1.392042,1.357788,1.360840,1.360840,723005
2022-12-12,1.360272,1.385928,1.351563,1.376436,1.376436,666737
2022-12-13,1.376389,1.450775,1.363799,1.408933,1.408933,953414
2022-12-14,1.409062,1.501315,1.402458,1.490124,1.490124,971253
2022-12-15,1.489998,1.514170,1.405093,1.406704,1.406704,945715
