Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,3.257153,3.918094,3.257153,3.708546,3.708546,2214879
2022-11-11,3.707501,3.711683,3.393612,3.454783,3.454783,1652882
2022-11-12,3.457128,3.470503,3.175259,3.202320,3.202320,1421880
2022-11-13,3.201684,3.202854,2.973667,3.012556,3.012556,1260105
2022-11-14,3.012154,3.282864,2.947594,3.183782,3.183782,1540223
2022-11-15,3.182848,3.387232,3.139999,3.188162,3.188162,1218034
2022-11-16,3.185522,3.550687,3.050183,3.548938,3.548938,1624795
2022-11-17,3.548684,3.751602,3.368079,3.735774,3.735774,1415839
2022-11-18,3.739661,3.960462,3.696368,3.735227,3.735227,1260797
2022-11-19,3.738389,3.888737,3.693333,3.875943,3.875943,889340
2022-11-20,3.879391,3.963008,3.737407,3.838054,3.838054,1131099
2022-11-21,3.840896,3.840896,3.496521,3.633765,3.633765,1154065
2022-11-22,3.630602,3.909231,3.529961,3.888102,3.888102,3168858
2022-11-23,3.889570,3.989671,3.763345,3.829597,3.829597,1991956
2022-11-24,3.828206,4.011026,3.814512,4.007055,4.007055,1098417
2022-11-25,4.002196,4.332649,3.931804,4.230376,4.230376,1450462
2022-11-26,4.229818,4.613914,4.225850,4.412563,4.412563,1407124
2022-11-27,4.412499,4.642554,4.185509,4.191901,4.191901,1485431
2022-11-28,4.194708,4.235829,3.924228,3.943999,3.943999,1918564
2022-11-29,3.940706,4.156126,3.899112,4.014388,4.014388,1550035
2022-11-30,4.014385,4.256815,3.819927,4.081022,4.081022,1982521
2022-12-01,4.083234,4.097790,3.963389,3.970979,3.970979,1063951
2022-12-02,3.971104,4.217753,3.959306,4.209207,4.209207,1134854
2022-12-03,4.210123,4.385816,4.115527,4.117157,4.117157,1297866
2022-12-04,4.115992,4.225691,4.095282,4.116840,4.116840,1003964
2022-12-05,4.110620,4.248484,4.051718,4.077801,4.077801,1130748
2022-12-06,4.074918,4.173068,4.014642,4.043941,4.043941,1068736
2022-12-07,4.047206,4.058894,3.727408,3.893516,3.893516,1349777
2022-12-08,3.893833,3.987539,3.778635,3.925994,3.925994,919058
2022-12-09,3.925822,3.943650,3.778162,3.814308,3.814308,969752
2022-12-10,3.816154,4.005618,3.799516,3.979435,3.979435,1173417
2022-12-11,3.983248,3.983248,3.743838,3.757774,3.757774,854249
2022-12-12,3.758439,3.839996,3.719671,3.774316,3.774316,846713
2022-12-13,3.776963,3.922472,3.727474,3.841991,3.841991,1157206
2022-12-14,3.841801,3.937655,3.742814,3.747279,3.747279,1133636
2022-12-15,3.748355,3.812456,3.615127,3.659337,3.659337,1354901
2022-12-16,3.655578,3.658940,3.163066,3.176028,3.176028,1231136
2022-12-17,3.178428,3.384961,3.168047,3.267243,3.267243,958712
2022-12-18,3.267123,3.337717,3.203868,3.333778,3.333778,792163
2022-12-19,3.336028,3.422817,3.083623,3.084411,3.084411,1179723
2022-12-20,3.085786,3.211504,3.084144,3.206169,3.206169,1230994
2022-12-21,3.205594,3.221438,3.022275,3.054398,3.054398,1081191
2022-12-22,3.054223,3.089117,2.930035,2.997779,2.997779,967987
2022-12-23,2.998610,3.112295,2.993835,3.111062,3.111062,787653
2022-12-24,3.110981,3.170204,3.104814,3.116963,3.116963,740075
2022-12-25,3.118040,3.244875,3.097255,3.188476,3.188476,907876
2022-12-26,3.189455,3.239597,3.082175,3.194652,3.194652,1104206
2022-12-27,3.194951,3.196119,2.964282,3.029359,3.029359,938378
2022-12-28,3.027591,3.035151,2.903338,2.915566,2.915566,678967
2022-12-29,2.914439,3.024865,2.911421,2.935396,2.935396,869791
2022-12-30,2.932998,3.003152,2.890619,2.957773,2.957773,913204
2022-12-31,2.956673,3.016544,2.904946,2.949468,2.949468,1420804
2023-01-01,2.950632,3.085485,2.900543,3.023059,3.023059,1369754
2023-01-02,3.022456,3.068484,2.922045,2.959899,2.959899,772743
2023-01-03,2.969841,2.972750,2.833828,2.929940,2.929940,935558
2023-01-04,2.930540,3.039490,2.894658,3.017023,3.017023,848517
2023-01-05,3.016806,3.145792,2.878464,3.033566,3.033566,1398733
2023-01-06,3.035490,3.326959,2.957166,3.049085,3.049085,1820125
2023-01-07,3.048773,3.145189,3.048677,3.124638,3.124638,1246334
2023-01-08,3.125069,3.230398,3.086036,3.224400,3.224400,767163
2023-01-09,3.227221,3.337383,3.161503,3.197654,3.197654,1059319
2023-01-10,3.196502,3.243371,3.142311,3.222929,3.222929,877870
2023-01-11,3.223140,3.289670,3.148538,3.237822,3.237822,1040023
2023-01-12,3.246620,3.279601,3.117251,3.207335,3.207335,1157574
2023-01-13,3.206792,3.351915,3.159075,3.326263,3.326263,1112381
2023-01-14,3.325933,3.495521,3.249076,3.298244,3.298244,1671629
2023-01-15,3.297347,3.390985,3.233807,3.335170,3.335170,1104989
2023-01-16,3.332583,3.435539,3.242978,3.246005,3.246005,1326855
2023-01-17,3.246066,3.264820,3.140210,3.146271,3.146271,1250122
2023-01-18,3.145231,3.235240,2.957096,3.000679,3.000679,1699131
2023-01-19,3.000144,3.150718,2.998728,3.120026,3.120026,837330
2023-01-20,3.120884,3.369411,3.054480,3.360249,3.360249,1459508
2023-01-21,3.368333,3.386375,3.271076,3.349739,3.349739,1371461
2023-01-22,3.350222,3.600106,3.303970,3.370272,3.370272,1335903
2023-01-23,3.375775,3.732384,3.374569,3.634790,3.634790,1772907
2023-01-24,3.635601,3.775720,3.348262,3.368967,3.368967,2197651
2023-01-25,3.369853,3.614499,3.324738,3.565819,3.565819,1715920
2023-01-26,3.565247,3.652149,3.483938,3.571203,3.571203,1512606
2023-01-27,3.571936,3.598523,3.435967,3.474491,3.474491,1037148
2023-01-28,3.475033,3.527962,3.417723,3.493611,3.493611,942245
2023-01-29,3.494881,3.735039,3.485267,3.627566,3.627566,1744214
2023-01-30,3.631271,3.665964,3.334722,3.434461,3.434461,1363655
2023-01-31,3.434880,3.484013,3.354020,3.456073,3.456073,1040152
