Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,4.149857,4.764116,4.104853,4.635340,4.635340,271575549
2022-11-11,4.635694,4.668534,4.256701,4.469414,4.469414,161573271
2022-11-12,4.469967,4.481635,4.235298,4.268034,4.268034,99920426
2022-11-13,4.268186,4.429925,4.222209,4.293976,4.293976,119578514
2022-11-14,4.294374,4.389970,4.106500,4.316591,4.316591,161268566
2022-11-15,4.316776,4.491105,4.292059,4.389140,4.389140,114251131
2022-11-16,4.388834,4.534030,4.274555,4.337914,4.337914,147278408
2022-11-17,4.337083,4.383936,4.246141,4.314888,4.314888,94580126
2022-11-18,4.314935,4.403637,4.288629,4.345103,4.345103,81097677
2022-11-19,4.344709,4.421739,4.267161,4.381631,4.381631,73607816
2022-11-20,4.382053,4.444686,4.117167,4.164133,4.164133,111223963
2022-11-21,4.164541,4.221437,4.060500,4.164795,4.164795,118831285
2022-11-22,4.165095,4.335440,4.102819,4.317387,4.317387,117798966
2022-11-23,4.318603,4.473373,4.297731,4.439844,4.439844,129041318
2022-11-24,4.439727,4.450835,4.354264,4.392415,4.392415,97019584
2022-11-25,4.391639,4.392396,4.255144,4.291097,4.291097,75348000
2022-11-26,4.291033,4.400357,4.278380,4.306499,4.306499,76272698
2022-11-27,4.306419,4.500448,4.301407,4.344768,4.344768,119781526
2022-11-28,4.343777,4.379581,4.163188,4.257767,4.257767,105929646
2022-11-29,4.257469,4.395545,4.228262,4.351963,4.351963,95449087
2022-11-30,4.352228,4.488409,4.266908,4.421574,4.421574,115171339
2022-12-01,4.419985,4.468127,4.356127,4.384764,4.384764,98437808
2022-12-02,4.385397,4.682208,4.360177,4.645650,4.645650,155337738
2022-12-03,4.645781,4.677055,4.407558,4.422261,4.422261,92694112
2022-12-04,4.421723,4.586818,4.421723,4.579728,4.579728,71781139
2022-12-05,4.577737,4.614687,4.474368,4.519782,4.519782,91879031
2022-12-06,4.519818,4.615594,4.507964,4.591222,4.591222,96343837
2022-12-07,4.591474,4.594667,4.306529,4.344596,4.344596,110087697
2022-12-08,4.344743,4.435633,4.325317,4.394505,4.394505,87848522
2022-12-09,4.394101,4.460868,4.387362,4.431239,4.431239,85215738
2022-12-10,4.431410,4.444790,4.370976,4.377204,4.377204,47303662
2022-12-11,4.377078,4.415181,4.274508,4.287731,4.287731,49850747
2022-12-12,4.287360,4.287360,4.205033,4.260043,4.260043,73910235
2022-12-13,4.259747,4.355659,4.133154,4.318736,4.318736,84869142
2022-12-14,4.318910,4.368658,4.214992,4.230090,4.230090,103143940
2022-12-15,4.229959,4.241863,4.109777,4.145281,4.145281,108482582
2022-12-16,4.145413,4.179150,2.678534,3.018541,3.018541,316604914
2022-12-17,3.017201,3.272290,2.921389,3.206968,3.206968,283564716
2022-12-18,3.207352,3.207352,3.045494,3.057255,3.057255,91826205
2022-12-19,3.057151,3.106302,2.733058,2.806761,2.806761,116877774
2022-12-20,2.808193,3.095750,2.808193,2.980650,2.980650,146512023
2022-12-21,2.980416,2.996816,2.896488,2.974302,2.974302,89509554
2022-12-22,2.974898,3.001302,2.898461,2.992163,2.992163,88528708
2022-12-23,2.991984,3.030674,2.959193,2.971452,2.971452,66101323
2022-12-24,2.970824,2.989605,2.925168,2.935086,2.935086,41270127
2022-12-25,2.935034,2.965434,2.907367,2.963341,2.963341,62196934
2022-12-26,2.963603,3.004820,2.946711,3.003352,3.003352,56285996
2022-12-27,3.003182,3.279954,2.961682,3.070625,3.070625,175134130
2022-12-28,3.070995,3.095083,2.936456,2.993836,2.993836,104794754
2022-12-29,2.993605,3.034670,2.931875,2.979429,2.979429,73184892
2022-12-30,2.979481,2.990693,2.931502,2.972994,2.972994,70752783
2022-12-31,2.973733,3.106099,2.965760,3.009128,3.009128,72866164
2023-01-01,3.009102,3.145463,2.997337,3.111418,3.111418,65329032
2023-01-02,3.111449,3.206770,3.047808,3.147882,3.147882,83569605
2023-01-03,3.147958,3.186018,3.037225,3.092895,3.092895,118292734
2023-01-04,3.092839,3.472837,3.091535,3.359524,3.359524,166985787
2023-01-05,3.358838,3.358838,3.237069,3.282671,3.282671,100382218
2023-01-06,3.283937,3.351266,3.218864,3.341076,3.341076,91267272
2023-01-07,3.340688,3.375491,3.283707,3.298332,3.298332,70183142
2023-01-08,3.298113,3.445268,3.284894,3.439847,3.439847,104060273
2023-01-09,3.440977,3.902345,3.437739,3.790511,3.790511,322860915
2023-01-10,3.788800,3.853733,3.666232,3.756786,3.756786,139985076
2023-01-11,3.756885,3.779128,3.550903,3.725810,3.725810,149758296
2023-01-12,3.781104,3.867365,3.662917,3.853265,3.853265,193215870
2023-01-13,3.853536,4.047026,3.753381,4.016944,4.016944,194898663
2023-01-14,4.016873,4.852007,4.016218,4.783693,4.783693,448759860
2023-01-15,4.785910,4.954492,4.482886,4.696173,4.696173,438650563
2023-01-16,4.696772,4.848262,4.454614,4.566013,4.566013,262255354
2023-01-17,4.566844,4.833166,4.479891,4.626474,4.626474,209920571
2023-01-18,4.626000,4.732697,4.244271,4.262699,4.262699,205278540
2023-01-19,4.261627,4.428016,4.257570,4.412485,4.412485,118102846
2023-01-20,4.411004,4.772596,4.342908,4.751482,4.751482,125459183
2023-01-21,4.751147,5.182675,4.703960,4.945189,4.945189,304407218
2023-01-22,4.944911,5.757750,4.914337,5.431603,5.431603,390595090
2023-01-23,5.431270,5.751253,5.204465,5.422993,5.422993,331532822
2023-01-24,5.421299,5.533696,4.885877,4.983161,4.983161,212427282
