Date,Open,High,Low,Close,Adj Close,Volume
2023-01-10,0.079700,0.079700,0.022700,0.041255,0.041255,73082088
2023-01-11,0.041297,0.051841,0.039435,0.045597,0.045597,106585945
2023-01-12,0.044198,0.044673,0.042117,0.044011,0.044011,48758050
2023-01-13,0.044013,0.044332,0.041577,0.042768,0.042768,36756917
2023-01-14,0.042746,0.047589,0.042117,0.043491,0.043491,35240011
2023-01-15,0.043487,0.043551,0.042500,0.043244,0.043244,19263697
2023-01-16,0.043239,0.044570,0.042762,0.043410,0.043410,18482487
2023-01-17,0.043412,0.043483,0.042137,0.042258,0.042258,15056023
2023-01-18,0.042258,0.042269,0.038995,0.040345,0.040345,15323301
2023-01-19,0.040335,0.041096,0.039437,0.040627,0.040627,14891617
2023-01-20,0.040627,0.040709,0.039241,0.040476,0.040476,16187370
2023-01-21,0.040474,0.040804,0.040226,0.040641,0.040641,14135071
2023-01-22,0.040631,0.040820,0.039669,0.040116,0.040116,12214316
2023-01-23,0.040116,0.040454,0.039270,0.039328,0.039328,12221229
2023-01-24,0.039328,0.039429,0.035513,0.035873,0.035873,15080449
2023-01-25,0.035865,0.036189,0.034863,0.036152,0.036152,14390335
2023-01-26,0.036153,0.039316,0.036068,0.036068,0.036068,17079298
2023-01-27,0.036044,0.038777,0.035518,0.038687,0.038687,16032681
2023-01-28,0.038690,0.047123,0.038025,0.045135,0.045135,40387811
2023-01-29,0.045150,0.047680,0.042202,0.045924,0.045924,40655244
2023-01-30,0.045916,0.049700,0.043047,0.043878,0.043878,34838290
2023-01-31,0.043921,0.045204,0.042948,0.045099,0.045099,21562352
2023-02-01,0.045105,0.045105,0.041479,0.043447,0.043447,15641539
2023-02-02,0.043447,0.043786,0.041951,0.041951,0.041951,13989308
2023-02-03,0.041952,0.042004,0.040703,0.040761,0.040761,12719666
2023-02-04,0.040746,0.041066,0.040307,0.040764,0.040764,10285354
2023-02-05,0.040760,0.041505,0.038942,0.039043,0.039043,11268799
2023-02-06,0.039044,0.040122,0.038908,0.038916,0.038916,9764749
2023-02-07,0.038936,0.040321,0.038885,0.040225,0.040225,11042145
2023-02-08,0.040226,0.041215,0.039836,0.040341,0.040341,11817233
