Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.177482,0.213175,0.174973,0.208488,0.208488,159268272
2022-11-11,0.208414,0.208414,0.186989,0.197268,0.197268,95361563
2022-11-12,0.197312,0.197732,0.183666,0.184021,0.184021,55843580
2022-11-13,0.184108,0.189952,0.177491,0.180781,0.180781,63128741
2022-11-14,0.180824,0.185007,0.170035,0.181445,0.181445,80123581
2022-11-15,0.181462,0.194133,0.180203,0.187850,0.187850,94232931
2022-11-16,0.187851,0.198807,0.180101,0.181943,0.181943,89939153
2022-11-17,0.181928,0.183272,0.176386,0.178153,0.178153,46581262
2022-11-18,0.178121,0.182442,0.177177,0.181069,0.181069,39068886
2022-11-19,0.181053,0.184069,0.177333,0.183535,0.183535,30808942
2022-11-20,0.183577,0.187236,0.170979,0.171872,0.171872,41008160
2022-11-21,0.171876,0.174356,0.166121,0.169152,0.169152,53742859
2022-11-22,0.169091,0.176761,0.164835,0.176497,0.176497,45336401
2022-11-23,0.176556,0.184768,0.176295,0.184070,0.184070,52150583
2022-11-24,0.184095,0.189550,0.181699,0.183571,0.183571,45594783
2022-11-25,0.183673,0.186230,0.178484,0.185658,0.185658,50293866
2022-11-26,0.185658,0.195000,0.184148,0.185787,0.185787,55368350
2022-11-27,0.185754,0.194053,0.185284,0.185418,0.185418,51692850
2022-11-28,0.185456,0.205675,0.178212,0.204335,0.204335,146176769
2022-11-29,0.204395,0.220648,0.200247,0.216781,0.216781,160926896
2022-11-30,0.216844,0.252018,0.216844,0.245415,0.245415,242398199
2022-12-01,0.245567,0.259923,0.233882,0.253797,0.253797,202562177
2022-12-02,0.253903,0.254477,0.240869,0.245028,0.245028,122010233
2022-12-03,0.245131,0.256461,0.237451,0.237579,0.237579,127047547
2022-12-04,0.237583,0.244063,0.236724,0.242412,0.242412,80710521
2022-12-05,0.242296,0.257130,0.240868,0.252318,0.252318,155687054
2022-12-06,0.252291,0.258350,0.242943,0.246624,0.246624,97199383
2022-12-07,0.246657,0.247268,0.228209,0.230829,0.230829,82840904
2022-12-08,0.230810,0.237727,0.229052,0.237685,0.237685,70600837
2022-12-09,0.237677,0.244166,0.235301,0.240943,0.240943,71712934
2022-12-10,0.240971,0.243472,0.237667,0.239421,0.239421,41002869
2022-12-11,0.239413,0.243877,0.233418,0.234068,0.234068,40553978
2022-12-12,0.234023,0.234487,0.226712,0.233570,0.233570,54355967
2022-12-13,0.233598,0.253597,0.225386,0.249224,0.249224,125207081
2022-12-14,0.249298,0.254109,0.239338,0.240619,0.240619,103260840
2022-12-15,0.240652,0.241954,0.227090,0.228225,0.228225,65564367
2022-12-16,0.228234,0.232553,0.195045,0.197047,0.197047,111078466
2022-12-17,0.197034,0.208270,0.197034,0.207507,0.207507,66295921
2022-12-18,0.207491,0.208003,0.203400,0.205645,0.205645,32267424
2022-12-19,0.205676,0.208012,0.192277,0.195706,0.195706,56975325
2022-12-20,0.195720,0.206483,0.195415,0.203725,0.203725,51315789
2022-12-21,0.203695,0.203726,0.198648,0.201961,0.201961,36968143
2022-12-22,0.201970,0.204817,0.196783,0.204687,0.204687,53716594
2022-12-23,0.204846,0.208046,0.203961,0.204811,0.204811,38336837
2022-12-24,0.204831,0.206020,0.202716,0.204548,0.204548,32517877
2022-12-25,0.204569,0.204569,0.199968,0.202715,0.202715,32108550
2022-12-26,0.202704,0.206347,0.202337,0.205133,0.205133,31710795
2022-12-27,0.205122,0.206638,0.199587,0.202273,0.202273,40438136
2022-12-28,0.202296,0.203867,0.194515,0.198087,0.198087,61157513
2022-12-29,0.198072,0.202662,0.197973,0.201747,0.201747,50585887
2022-12-30,0.201751,0.202065,0.195475,0.198892,0.198892,48508540
2022-12-31,0.198898,0.201369,0.197007,0.199700,0.199700,27745637
2023-01-01,0.199699,0.202085,0.198890,0.200914,0.200914,21942481
2023-01-02,0.200912,0.212737,0.198166,0.210303,0.210303,61686933
2023-01-03,0.210332,0.217771,0.208853,0.214392,0.214392,91786259
2023-01-04,0.214411,0.222146,0.212045,0.218658,0.218658,116373899
2023-01-05,0.218661,0.222890,0.215024,0.216057,0.216057,77788354
2023-01-06,0.216055,0.222403,0.213153,0.221230,0.221230,72610411
2023-01-07,0.221223,0.228901,0.221136,0.227245,0.227245,72333420
2023-01-08,0.227213,0.236148,0.223381,0.236148,0.236148,80041834
2023-01-09,0.236213,0.249844,0.235358,0.237241,0.237241,197871174
2023-01-10,0.237211,0.246094,0.234249,0.243039,0.243039,78450786
2023-01-11,0.243030,0.256551,0.235734,0.256053,0.256053,107726871
2023-01-12,0.266172,0.279030,0.248532,0.273447,0.273447,243992995
2023-01-13,0.273298,0.302852,0.268942,0.292963,0.292963,263841169
2023-01-14,0.292923,0.354839,0.292532,0.348355,0.348355,466963507
2023-01-15,0.348425,0.348425,0.316334,0.325961,0.325961,233163538
2023-01-16,0.325906,0.337292,0.310528,0.317984,0.317984,204999288
2023-01-17,0.318039,0.338336,0.314621,0.324484,0.324484,158638331
2023-01-18,0.324499,0.340088,0.297317,0.297944,0.297944,215989152
2023-01-19,0.297937,0.307746,0.293122,0.304571,0.304571,126594274
2023-01-20,0.304538,0.353366,0.298006,0.347710,0.347710,195188615
2023-01-21,0.347700,0.361434,0.339351,0.341919,0.341919,282622610
2023-01-22,0.341884,0.401827,0.339186,0.381559,0.381559,378060375
2023-01-23,0.381421,0.409200,0.373038,0.402607,0.402607,366553410
2023-01-24,0.402349,0.425783,0.375874,0.376633,0.376633,275679102
2023-01-25,0.376630,0.418531,0.366090,0.409459,0.409459,337363745
2023-01-26,0.409291,0.497635,0.405121,0.484316,0.484316,635060113
2023-01-27,0.484383,0.490524,0.457130,0.467381,0.467381,354916081
2023-01-28,0.467180,0.481116,0.443337,0.448898,0.448898,216662329
2023-01-29,0.448866,0.494637,0.445516,0.492344,0.492344,320020015
2023-01-30,0.492094,0.492094,0.456269,0.481529,0.481529,362292485
2023-01-31,0.481554,0.550519,0.466365,0.538094,0.538094,613165060
2023-02-01,0.538171,0.593113,0.498202,0.576328,0.576328,522643854
2023-02-02,0.576248,0.644376,0.566675,0.605788,0.605788,627580839
2023-02-03,0.606077,0.653269,0.599851,0.633972,0.633972,573524324
2023-02-04,0.633598,0.643567,0.611239,0.615062,0.615062,317949828
2023-02-05,0.614969,0.620252,0.557385,0.568580,0.568580,342964624
2023-02-06,0.568675,0.577396,0.528301,0.528301,0.528301,338206927
2023-02-07,0.528119,0.588991,0.526035,0.588991,0.588991,461138936
2023-02-08,0.588816,0.600254,0.517956,0.525258,0.525258,378836440
2023-02-09,0.525373,0.530088,0.438549,0.448082,0.448082,485936266
2023-02-10,0.448115,0.457584,0.429857,0.437389,0.437389,335667504
2023-02-11,0.437404,0.481389,0.420035,0.480004,0.480004,370611594
2023-02-12,0.479892,0.480348,0.439453,0.441418,0.441418,358120301
2023-02-13,0.441420,0.463846,0.415496,0.462976,0.462976,450347663
2023-02-14,0.463091,0.524812,0.451340,0.524383,0.524383,644213399
2023-02-15,0.524298,0.580389,0.508886,0.572009,0.572009,580114913
2023-02-16,0.571860,0.596305,0.522144,0.528484,0.528484,670956781
2023-02-17,0.528259,0.575605,0.527536,0.555473,0.555473,500654142
2023-02-18,0.555492,0.566423,0.538444,0.543029,0.543029,259245727
2023-02-19,0.542962,0.555011,0.515933,0.520509,0.520509,315978809
2023-02-20,0.520778,0.534445,0.504269,0.513460,0.513460,266901871
2023-02-21,0.513565,0.549889,0.509360,0.520698,0.520698,427823755
2023-02-22,0.520770,0.521563,0.479061,0.509449,0.509449,328376097
2023-02-23,0.509288,0.521570,0.488643,0.491387,0.491387,225182595
2023-02-24,0.491265,0.503858,0.454599,0.461994,0.461994,249646070
2023-02-25,0.462071,0.467344,0.439929,0.456825,0.456825,151986263
2023-02-26,0.456814,0.475372,0.454056,0.473602,0.473602,127109140
2023-02-27,0.473521,0.474970,0.448591,0.456766,0.456766,188588422
2023-02-28,0.456818,0.459108,0.427336,0.427988,0.427988,177556471
2023-03-01,0.428063,0.470496,0.424035,0.469902,0.469902,228988672
2023-03-02,0.469900,0.470905,0.436201,0.444816,0.444816,169521462
2023-03-03,0.444882,0.445334,0.398377,0.425688,0.425688,304408053
2023-03-04,0.425705,0.430870,0.389179,0.400452,0.400452,185353427
2023-03-05,0.400486,0.414703,0.395350,0.400389,0.400389,144449658
2023-03-06,0.400283,0.424166,0.395687,0.416862,0.416862,177505112
2023-03-07,0.416924,0.429233,0.390562,0.398547,0.398547,183330232
2023-03-08,0.398527,0.400741,0.357791,0.359189,0.359189,200526917
2023-03-09,0.359236,0.376824,0.330628,0.335699,0.335699,284100710
2023-03-10,0.335646,0.341843,0.306344,0.339552,0.339552,304504109
2023-03-11,0.339524,0.348217,0.314066,0.337200,0.337200,206162864
2023-03-12,0.337148,0.396475,0.331743,0.395447,0.395447,244678362
2023-03-13,0.395512,0.423552,0.369641,0.414389,0.414389,382805771
2023-03-14,0.414468,0.484794,0.411009,0.448670,0.448670,501486844
2023-03-15,0.448836,0.457810,0.379912,0.389904,0.389904,388748428
2023-03-16,0.390159,0.416819,0.384781,0.411323,0.411323,264822051
2023-03-17,0.411343,0.512332,0.404964,0.507094,0.507094,473202573
2023-03-18,0.507258,0.529645,0.478281,0.482159,0.482159,466695082
2023-03-19,0.482286,0.529449,0.476702,0.493055,0.493055,360901168
2023-03-20,0.492701,0.512126,0.453238,0.455529,0.455529,362148058
2023-03-21,0.455587,0.501546,0.444635,0.486022,0.486022,346991513
2023-03-22,0.485943,0.503820,0.453248,0.470759,0.470759,491643464
2023-03-23,0.470625,0.505565,0.462204,0.497042,0.497042,343883573
2023-03-24,0.496931,0.496997,0.449808,0.459521,0.459521,274686798
2023-03-25,0.459517,0.463380,0.430301,0.436012,0.436012,200681590
2023-03-26,0.436016,0.454071,0.431935,0.447789,0.447789,164542969
2023-03-27,0.447794,0.449066,0.408416,0.411163,0.411163,230259842
