Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,5.259295,5.504930,5.125662,5.375536,5.375536,10292350
2022-11-11,5.374918,5.410959,4.922378,4.943046,4.943046,9094031
2022-11-12,4.943990,4.944114,4.349982,4.444825,4.444825,6265445
2022-11-13,4.445716,4.644093,4.416319,4.630779,4.630779,7515306
2022-11-14,4.630856,4.764079,4.458570,4.721984,4.721984,4865161
2022-11-15,4.722308,4.806960,4.682483,4.708780,4.708780,2523318
2022-11-16,4.708992,4.751014,4.569823,4.603749,4.603749,2474406
2022-11-17,4.603175,4.644503,4.316078,4.423145,4.423145,6909629
2022-11-18,4.423622,4.504013,4.414994,4.428678,4.428678,1893740
2022-11-19,4.428458,4.579080,4.428458,4.529188,4.529188,2018510
2022-11-20,4.528819,4.635158,4.418832,4.418832,4.418832,2369195
2022-11-21,4.423021,4.444894,4.278696,4.322879,4.322879,3443661
2022-11-22,4.322398,4.369231,4.232801,4.305752,4.305752,3454423
2022-11-23,4.305818,4.748277,4.305080,4.467933,4.467933,14967399
2022-11-24,4.468064,4.553087,4.433575,4.538443,4.538443,3115535
2022-11-25,4.540876,4.616495,4.478815,4.596632,4.596632,2894187
2022-11-26,4.596546,4.674209,4.577252,4.619144,4.619144,2758973
2022-11-27,4.619039,4.646720,4.578146,4.581147,4.581147,2402031
2022-11-28,4.581585,4.746412,4.530168,4.666903,4.666903,6164482
2022-11-29,4.666415,4.770710,4.612696,4.613056,4.613056,4209898
2022-11-30,4.612712,4.919460,4.609663,4.918001,4.918001,5183944
2022-12-01,4.907199,4.918958,4.829077,4.859729,4.859729,3354000
2022-12-02,4.860159,4.926634,4.819616,4.872293,4.872293,2811049
2022-12-03,4.871678,4.877282,4.823175,4.832659,4.832659,2043318
2022-12-04,4.832943,4.947353,4.822016,4.942925,4.942925,2773542
2022-12-05,4.942423,5.305873,4.937676,5.270674,5.270674,9978592
2022-12-06,5.268908,5.393816,5.167805,5.349246,5.349246,7310765
2022-12-07,5.348614,5.981132,5.339173,5.738633,5.738633,27230576
2022-12-08,5.738392,6.169050,5.696153,6.009667,6.009667,16485722
