Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,3.924968,4.244878,3.608403,4.073093,4.073093,3986936
2022-11-11,4.073572,4.080083,3.732945,3.778382,3.778382,3112811
2022-11-12,3.779125,3.781785,3.633210,3.682739,3.682739,2403384
2022-11-13,3.684075,3.716923,3.410853,3.497892,3.497892,6740667
2022-11-14,3.499839,3.676755,3.444316,3.642274,3.642274,3293116
2022-11-15,3.642879,3.716720,3.582323,3.694175,3.694175,4053372
2022-11-16,3.694541,3.782139,3.624627,3.722974,3.722974,4042901
2022-11-17,3.722463,3.782315,3.622020,3.661097,3.661097,2696247
2022-11-18,3.661174,3.661656,3.543296,3.557299,3.557299,2245739
2022-11-19,3.556934,3.587090,3.546492,3.580892,3.580892,1675870
2022-11-20,3.580839,3.603383,3.482845,3.482845,3.482845,1820413
2022-11-21,3.501247,3.513725,3.379495,3.392100,3.392100,2049610
2022-11-22,3.390244,3.512440,3.332683,3.478664,3.478664,2172436
2022-11-23,3.479540,3.615264,3.476366,3.578425,3.578425,1978976
2022-11-24,3.580035,3.644798,3.564713,3.613561,3.613561,1710803
2022-11-25,3.612584,3.730935,3.534339,3.723283,3.723283,2608690
2022-11-26,3.722899,3.760962,3.607860,3.657243,3.657243,2187713
2022-11-27,3.657357,3.702204,3.654342,3.667779,3.667779,839732
2022-11-28,3.667678,3.688848,3.548817,3.554496,3.554496,1225997
2022-11-29,3.554455,3.662074,3.541185,3.620103,3.620103,1055596
2022-11-30,3.620143,3.672112,3.611745,3.646206,3.646206,1209571
2022-12-01,3.646740,3.690308,3.603331,3.609883,3.609883,2473647
2022-12-02,3.610074,3.650307,3.589410,3.626326,3.626326,2248505
2022-12-03,3.626722,3.673078,3.615398,3.621528,3.621528,926539
2022-12-04,3.620510,3.675229,3.614953,3.627911,3.627911,994925
2022-12-05,3.627581,3.673263,3.596157,3.602876,3.602876,2303315
2022-12-06,3.603557,3.676305,3.586930,3.637770,3.637770,2137666
2022-12-07,3.638080,3.647045,3.531975,3.541069,3.541069,2297764
2022-12-08,3.542252,3.625485,3.523248,3.583292,3.583292,2284156
2022-12-09,3.582879,3.608594,3.563863,3.572549,3.572549,2196388
2022-12-10,3.572758,3.600860,3.572447,3.597398,3.597398,2107945
2022-12-11,3.597423,3.618661,3.575979,3.597080,3.597080,2772340
2022-12-12,3.592793,3.608610,3.538761,3.558498,3.558498,2254229
2022-12-13,3.558148,3.670238,3.529491,3.658048,3.658048,2839750
2022-12-14,3.658211,3.671348,3.591347,3.593374,3.593374,2670628
2022-12-15,3.593844,3.605088,3.449027,3.450622,3.450622,2577153
2022-12-16,3.450502,3.478228,3.396372,3.408563,3.408563,2482942
2022-12-17,3.408234,3.412082,3.309616,3.333851,3.333851,2092966
2022-12-18,3.333911,3.407199,3.333424,3.379917,3.379917,498422
2022-12-19,3.380153,3.399532,3.358798,3.370545,3.370545,2392403
2022-12-20,3.372405,3.439052,3.360805,3.431303,3.431303,2548064
2022-12-21,3.431445,3.433119,3.389618,3.408999,3.408999,2112588
2022-12-22,3.408615,3.443100,3.382172,3.412094,3.412094,1810916
2022-12-23,3.411188,3.411622,3.361438,3.382528,3.382528,1766243
2022-12-24,3.383350,3.411494,3.372948,3.396484,3.396484,1585807
2022-12-25,3.396324,3.412398,3.380706,3.394910,3.394910,1681055
2022-12-26,3.394855,3.464771,3.392378,3.444625,3.444625,1993510
2022-12-27,3.444856,3.451440,3.329259,3.371739,3.371739,1775839
