Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,5.897756,6.818763,5.690609,6.282993,6.282993,63255401
2022-11-11,6.278750,6.317192,5.281771,5.577159,5.577159,35086378
2022-11-12,5.581867,5.607399,5.054674,5.064118,5.064118,23219676
2022-11-13,5.064326,5.314081,3.909689,4.857244,4.857244,47098590
2022-11-14,4.855068,5.041386,4.461812,4.863475,4.863475,19758465
2022-11-15,4.863016,5.018156,4.855423,4.988463,4.988463,12535619
2022-11-16,4.987831,4.990204,4.659180,4.679131,4.679131,9769669
2022-11-17,4.680216,4.691865,4.491376,4.612582,4.612582,9311436
2022-11-18,4.613067,4.692369,4.582681,4.582681,4.582681,7865507
2022-11-19,4.582883,4.609862,4.462223,4.544869,4.544869,8358591
2022-11-20,4.545586,4.589369,4.179670,4.328572,4.328572,10657463
2022-11-21,4.320332,5.217930,4.237108,4.748062,4.748062,20531965
2022-11-22,4.745460,4.984884,4.686517,4.906488,4.906488,14806586
2022-11-23,4.905768,5.548172,4.845471,5.466173,5.466173,19208393
2022-11-24,5.466570,5.780648,5.240061,5.541254,5.541254,14771603
2022-11-25,5.538128,6.851977,5.537155,6.585389,6.585389,25963527
2022-11-26,6.583235,7.317688,6.511446,7.026334,7.026334,27460520
2022-11-27,7.029307,7.257767,6.721128,7.053358,7.053358,24251304
2022-11-28,7.060314,7.088815,6.028922,6.312657,6.312657,46401425
2022-11-29,6.312495,7.262925,6.037134,6.976526,6.976526,31061569
2022-11-30,6.977141,7.249107,6.754826,6.971970,6.971970,22170876
2022-12-01,6.974605,6.976586,6.573534,6.706689,6.706689,17800545
2022-12-02,6.702957,6.888401,6.535695,6.873675,6.873675,15636417
2022-12-03,6.873500,6.930560,6.715281,6.716385,6.716385,11755667
2022-12-04,6.716063,6.758544,6.610493,6.700236,6.700236,11877121
2022-12-05,6.698591,6.870187,6.600223,6.647854,6.647854,14975026
2022-12-06,6.648682,6.708385,6.569302,6.625873,6.625873,10696540
2022-12-07,6.627465,6.637001,6.187301,6.284813,6.284813,16480724
2022-12-08,6.283341,6.640512,6.276482,6.487941,6.487941,13846379
2022-12-09,6.488457,6.775943,6.397957,6.407012,6.407012,13362333
2022-12-10,6.406930,6.477023,6.392814,6.449254,6.449254,8885935
2022-12-11,6.449901,6.475796,6.407036,6.441047,6.441047,9839858
2022-12-12,6.442040,6.445662,6.168458,6.273210,6.273210,11480339
2022-12-13,6.273690,6.489732,6.093052,6.465944,6.465944,13533301
2022-12-14,6.469176,6.522144,6.271445,6.299329,6.299329,10812434
2022-12-15,6.299559,6.311827,6.143874,6.148798,6.148798,9725673
2022-12-16,6.149255,6.210886,5.487338,5.488244,5.488244,13334612
2022-12-17,5.490649,5.508795,5.035893,5.482841,5.482841,15906874
2022-12-18,5.483932,5.656209,5.446259,5.594874,5.594874,9325416
2022-12-19,5.591878,5.608025,5.059282,5.179580,5.179580,10807371
2022-12-20,5.183129,5.496983,5.183129,5.437220,5.437220,10460505
2022-12-21,5.436402,5.454558,5.193456,5.255193,5.255193,9972545
2022-12-22,5.256711,5.485258,5.244603,5.450259,5.450259,10264923
2022-12-23,5.447749,5.470831,5.294477,5.315864,5.315864,8851607
2022-12-24,5.316333,5.403454,5.313315,5.398438,5.398438,7675027
2022-12-25,5.398455,5.436503,5.373452,5.394386,5.394386,7717040
2022-12-26,5.394784,5.430738,5.385436,5.428139,5.428139,7458714
2022-12-27,5.427416,5.434198,5.322304,5.361377,5.361377,7769431
2022-12-28,5.361652,5.368184,5.222042,5.241585,5.241585,8038049
2022-12-29,5.240848,5.396527,5.117761,5.282508,5.282508,9743127
2022-12-30,5.282207,5.291115,4.946744,5.030103,5.030103,10666497
2022-12-31,5.030865,5.210356,5.011826,5.186021,5.186021,9933083
2023-01-01,5.186891,5.201246,5.028443,5.118312,5.118312,9211362
2023-01-02,5.119314,5.220003,5.078593,5.172537,5.172537,9184809
2023-01-03,5.171791,5.343672,5.136444,5.288707,5.288707,7931944
2023-01-04,5.288818,5.389127,5.184645,5.218457,5.218457,10906344
2023-01-05,5.217026,5.224289,4.534486,4.675221,4.675221,21200704
2023-01-06,4.677865,4.807669,4.331708,4.666936,4.666936,19231419
2023-01-07,4.668147,4.771449,4.654831,4.703138,4.703138,7851096
2023-01-08,4.704051,4.737787,4.682640,4.737214,4.737214,6965368
2023-01-09,4.738635,4.961277,4.736551,4.898481,4.898481,11166530
2023-01-10,4.896525,4.935387,4.749147,4.875024,4.875024,9172587
2023-01-11,4.874051,4.902922,4.826359,4.901853,4.901853,8533167
2023-01-12,4.939169,5.126746,4.904834,5.082757,5.082757,13390889
2023-01-13,5.082561,5.342275,5.060822,5.176543,5.176543,13753500
2023-01-14,5.177124,5.360882,5.177124,5.322478,5.322478,15198125
2023-01-15,5.323755,5.335655,5.016804,5.138320,5.138320,11079701
2023-01-16,5.136384,5.250710,5.072666,5.154472,5.154472,11024976
2023-01-17,5.156095,5.163446,4.952278,4.959132,4.959132,10536422
2023-01-18,4.957529,5.110580,4.850977,4.891274,4.891274,12674640
2023-01-19,4.891350,4.982792,4.865088,4.937678,4.937678,8241084
2023-01-20,4.936098,5.178430,4.899003,5.173131,5.173131,11186654
2023-01-21,5.172108,5.240547,4.986849,4.988122,4.988122,12653477
2023-01-22,4.987843,5.074646,4.958611,4.999020,4.999020,10612673
2023-01-23,4.999406,5.141854,4.998240,5.068919,5.068919,10441052
2023-01-24,5.067039,5.203658,4.982036,4.988950,4.988950,10342378
2023-01-25,4.990215,5.140860,4.908719,5.127659,5.127659,9850617
2023-01-26,5.126524,5.153388,4.970360,5.006619,5.006619,8976140
2023-01-27,5.006809,5.072485,4.983803,5.049162,5.049162,7936762
2023-01-28,5.050530,5.114953,5.045653,5.106156,5.106156,9008948
2023-01-29,5.108660,5.179484,5.102375,5.151263,5.151263,9698960
2023-01-30,5.150539,5.153773,5.030504,5.079348,5.079348,9697193
2023-01-31,5.080225,5.162600,5.055258,5.134609,5.134609,9211538
2023-02-01,5.135698,5.204092,5.084940,5.188906,5.188906,8958121
2023-02-02,5.188059,6.138807,5.163399,5.772674,5.772674,21164198
2023-02-03,5.763557,6.022375,5.623291,5.736258,5.736258,14917900
2023-02-04,5.733640,5.768296,5.558818,5.669654,5.669654,11409403
2023-02-05,5.669419,5.957811,5.380222,5.542113,5.542113,16474928
2023-02-06,5.542941,5.610102,5.459115,5.533313,5.533313,10099886
2023-02-07,5.532532,5.564945,5.458414,5.559327,5.559327,11481772
2023-02-08,5.559273,5.722131,5.010291,5.280569,5.280569,18085776
2023-02-09,5.283737,5.375526,4.963082,4.963082,4.963082,13695776
2023-02-10,4.963197,5.152602,4.961731,5.104840,5.104840,11475911
2023-02-11,5.105574,5.146121,5.093134,5.143941,5.143941,8573522
2023-02-12,5.144795,5.270430,5.106977,5.125508,5.125508,10251131
2023-02-13,5.124127,5.218046,5.002743,5.024139,5.024139,11736807
2023-02-14,5.033009,5.095413,4.997422,5.034467,5.034467,10869012
2023-02-15,5.033913,5.200325,4.992859,5.199493,5.199493,16316346
2023-02-16,5.198391,5.398835,5.023572,5.057825,5.057825,22623799
2023-02-17,5.055976,5.200340,5.051151,5.171996,5.171996,18485342
2023-02-18,5.169945,5.292995,5.150619,5.156335,5.156335,15852880
2023-02-19,5.158014,5.230461,5.112702,5.168829,5.168829,19573515
2023-02-20,5.169395,6.846786,5.132039,6.238939,6.238939,58623964
2023-02-21,6.243620,6.419639,5.653354,5.715683,5.715683,35542947
2023-02-22,5.716699,5.764420,5.189116,5.405620,5.405620,34727357
2023-02-23,5.404086,5.509815,5.251188,5.401918,5.401918,20288463
2023-02-24,5.400584,5.583020,5.198737,5.289177,5.289177,19596811
2023-02-25,5.290919,5.299508,5.143259,5.228402,5.228402,14110373
2023-02-26,5.230452,5.357537,5.207221,5.334721,5.334721,13197804
2023-02-27,5.333889,5.373499,5.259825,5.303855,5.303855,14642207
2023-02-28,5.303603,5.364614,5.208456,5.218514,5.218514,12962819
2023-03-01,5.219811,5.286810,5.162611,5.247310,5.247310,15916819
2023-03-02,5.246897,5.256604,5.142360,5.171959,5.171959,12027588
