Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,7.634688,8.614546,7.610666,8.463108,8.463108,5725469
2022-11-11,8.460495,8.472835,7.578942,7.699400,7.699400,4212243
2022-11-12,7.702871,7.709825,7.043277,7.114339,7.114339,3973364
2022-11-13,7.115451,7.623866,5.616007,7.227157,7.227157,17491259
2022-11-14,7.400753,8.259731,7.285448,7.630121,7.630121,11038544
2022-11-15,7.646364,7.809303,7.603893,7.621073,7.621073,1988180
2022-11-16,7.621867,7.677343,7.323461,7.411248,7.411248,1288690
2022-11-17,7.413395,7.420815,7.208508,7.245061,7.245061,1233509
2022-11-18,7.244128,7.334560,7.188764,7.216627,7.216627,978786
2022-11-19,7.217318,7.269144,7.176644,7.253115,7.253115,664188
2022-11-20,7.253542,7.267092,6.938750,6.949502,6.949502,1020851
2022-11-21,6.947540,6.955775,6.494903,6.550114,6.550114,2372249
2022-11-22,6.531165,6.617487,6.378753,6.614825,6.614825,1462509
2022-11-23,6.618837,6.843721,6.584028,6.841573,6.841573,1579587
2022-11-24,6.842998,6.958077,6.786750,6.879631,6.879631,993953
2022-11-25,6.863012,6.961853,6.764223,6.920625,6.920625,1011680
2022-11-26,6.920899,7.060000,6.896902,6.909512,6.909512,982758
2022-11-27,6.909232,6.986100,6.860290,6.862150,6.862150,748865
2022-11-28,6.863091,6.894164,6.636781,6.668651,6.668651,1408837
2022-11-29,6.669097,6.772108,6.553792,6.553929,6.553929,1644234
2022-11-30,6.555216,6.735038,6.550807,6.713227,6.713227,1707704
2022-12-01,6.712789,6.741038,6.578249,6.596987,6.596987,1237461
2022-12-02,6.594094,6.637748,6.510502,6.569881,6.569881,948719
2022-12-03,6.572192,6.587448,6.406969,6.426083,6.426083,561486
2022-12-04,6.423385,6.499310,6.412666,6.488472,6.488472,550521
2022-12-05,6.484349,6.610643,6.466029,6.568811,6.568811,1122404
2022-12-06,6.568708,6.588079,6.487934,6.584534,6.584534,657170
2022-12-07,6.584117,6.585200,6.445216,6.462348,6.462348,831875
2022-12-08,6.463446,6.593349,6.439001,6.551130,6.551130,752350
2022-12-09,6.551280,6.634827,6.539408,6.557112,6.557112,703870
2022-12-10,6.558937,6.646620,6.547893,6.614909,6.614909,848783
2022-12-11,6.616562,6.670073,6.543636,6.549338,6.549338,704248
2022-12-12,6.548469,6.590426,6.506330,6.573427,6.573427,668245
2022-12-13,6.575402,6.702173,6.469610,6.673099,6.673099,1578324
2022-12-14,6.673099,6.804080,6.649962,6.693525,6.693525,1188955
2022-12-15,6.696830,6.743014,6.645767,6.723334,6.723334,921527
2022-12-16,6.723519,6.759139,6.440436,6.477222,6.477222,1414893
2022-12-17,6.477222,6.510712,6.440107,6.492488,6.492488,670451
2022-12-18,6.493855,6.508994,6.426931,6.461126,6.461126,492821
2022-12-19,6.464182,6.501758,6.305258,6.315106,6.315106,583739
2022-12-20,6.318493,6.430201,6.302179,6.383919,6.383919,669697
2022-12-21,6.384146,6.396383,6.293942,6.313980,6.313980,462241
2022-12-22,6.317230,6.364269,6.276665,6.342108,6.342108,597379
2022-12-23,6.340850,6.408131,6.311401,6.380190,6.380190,551395
2022-12-24,6.381162,6.461110,6.379009,6.457070,6.457070,386309
2022-12-25,6.456864,6.514052,6.398066,6.500342,6.500342,675469
2022-12-26,6.502951,6.547746,6.480569,6.542062,6.542062,503008
2022-12-27,6.540441,6.558024,6.433506,6.478293,6.478293,633052
2022-12-28,6.478004,6.499637,6.398649,6.416418,6.416418,716284
2022-12-29,6.416422,6.532634,6.416422,6.517270,6.517270,893083
2022-12-30,6.515612,6.596367,6.444958,6.560616,6.560616,907724
2022-12-31,6.562058,6.564460,6.449891,6.476380,6.476380,808835
2023-01-01,6.476418,6.549683,6.442082,6.540987,6.540987,758563
2023-01-02,6.543665,6.630457,6.487621,6.569468,6.569468,833275
2023-01-03,6.569468,6.679086,6.554795,6.639662,6.639662,742431
2023-01-04,6.639662,6.751485,6.624786,6.719883,6.719883,1024477
2023-01-05,6.719316,6.751870,6.616290,6.636429,6.636429,617939
2023-01-06,6.637378,6.712114,6.591556,6.702021,6.702021,699380
2023-01-07,6.702484,6.735441,6.642304,6.729553,6.729553,628277
2023-01-08,6.729030,6.787196,6.679902,6.771793,6.771793,773437
2023-01-09,6.779970,7.012447,6.774794,6.906421,6.906421,1411252
2023-01-10,6.901901,6.998614,6.862310,6.958118,6.958118,774105
