Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,3.997877,4.203599,3.819951,3.989250,3.989250,3613619
2022-11-11,3.989013,4.069914,3.763441,3.793072,3.793072,2946835
2022-11-12,3.794910,3.981122,3.753589,3.871579,3.871579,2373886
2022-11-13,3.872061,3.961834,3.705549,3.925978,3.925978,3185264
2022-11-14,3.926484,3.957110,3.642641,3.793353,3.793353,4655486
2022-11-15,3.798336,3.872041,3.690287,3.799737,3.799737,4351007
2022-11-16,3.800395,3.870934,3.775257,3.869325,3.869325,4020854
2022-11-17,3.869886,4.046867,3.844263,4.041624,4.041624,2926359
2022-11-18,4.041751,4.250897,4.030212,4.222940,4.222940,3037760
2022-11-19,4.222139,4.285449,4.154739,4.233105,4.233105,3148070
2022-11-20,4.232851,4.357502,4.224472,4.327724,4.327724,2777229
2022-11-21,4.327949,4.483182,3.862932,3.916467,3.916467,2699772
2022-11-22,3.915579,3.919674,3.786350,3.801457,3.801457,3350377
2022-11-23,3.802274,4.269577,3.775471,4.244941,4.244941,2800799
2022-11-24,4.246407,4.256553,4.188806,4.218842,4.218842,2507848
2022-11-25,4.218507,4.219905,3.852950,3.880678,3.880678,3334263
2022-11-26,3.878880,4.120700,3.852822,3.998385,3.998385,2812640
2022-11-27,3.996693,4.212574,3.993640,4.210613,4.210613,3047084
2022-11-28,4.210684,4.372969,3.796620,3.811734,3.811734,3423635
2022-11-29,3.812368,4.152867,3.760924,3.770643,3.770643,3456810
2022-11-30,3.769960,3.930519,3.758346,3.925528,3.925528,3312756
2022-12-01,3.925686,3.997789,3.788664,3.867925,3.867925,3715883
2022-12-02,3.866252,3.959789,3.775891,3.957782,3.957782,3310742
2022-12-03,3.958125,4.144329,3.765761,3.782279,3.782279,3651962
2022-12-04,3.782158,3.888211,3.771103,3.826280,3.826280,3360814
2022-12-05,3.825555,3.938700,3.782587,3.784209,3.784209,3803306
2022-12-06,3.784546,3.940020,3.783990,3.813181,3.813181,2725673
