Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,6.225304,7.448554,6.150979,7.214661,7.214661,912193881
2022-11-11,7.212370,7.299035,6.634492,7.009961,7.009961,542122769
2022-11-12,7.011410,7.022933,6.233322,6.259309,6.259309,581782556
2022-11-13,6.259707,6.512322,6.008448,6.072446,6.072446,350792861
2022-11-14,6.072439,6.390396,5.724954,6.264421,6.264421,472780935
2022-11-15,6.265048,6.632350,6.233527,6.419929,6.419929,383323246
2022-11-16,6.419228,6.540195,6.115244,6.187089,6.187089,318753451
2022-11-17,6.187695,6.324177,6.069090,6.234342,6.234342,256205193
2022-11-18,6.234637,6.384612,6.083908,6.185775,6.185775,259437209
2022-11-19,6.185104,6.209248,6.034283,6.150218,6.150218,174771461
2022-11-20,6.150192,6.232751,5.754195,5.771728,5.771728,246506038
2022-11-21,5.771162,5.869119,5.579587,5.869119,5.869119,331896669
2022-11-22,5.869015,6.424362,5.860541,6.397805,6.397805,485261194
2022-11-23,6.398486,6.777372,6.355515,6.701307,6.701307,432646324
2022-11-24,6.702620,6.923327,6.622970,6.831647,6.831647,336491229
2022-11-25,6.830993,6.955313,6.692127,6.842342,6.842342,260032725
2022-11-26,6.841487,7.247724,6.837580,7.146820,7.146820,337919893
2022-11-27,7.146824,7.234348,6.896106,6.902108,6.902108,235405276
2022-11-28,6.901878,7.282071,6.574075,7.207574,7.207574,507275274
2022-11-29,7.207841,7.484159,7.162414,7.320946,7.320946,375464137
2022-11-30,7.321052,7.722124,7.316408,7.680302,7.680302,388756121
2022-12-01,7.680265,7.776896,7.506113,7.687327,7.687327,352481290
2022-12-02,7.686768,7.698989,7.538874,7.615398,7.615398,282578344
2022-12-03,7.613421,7.613798,7.237540,7.243604,7.243604,209127717
2022-12-04,7.243793,7.446814,7.232451,7.446814,7.446814,196343544
2022-12-05,7.446704,7.572995,7.192526,7.275838,7.275838,256807181
2022-12-06,7.275937,7.326529,7.009522,7.133728,7.133728,253542935
2022-12-07,7.133812,7.137811,6.799819,6.887233,6.887233,238394478
2022-12-08,6.886989,7.050513,6.804716,7.006324,7.006324,198390377
2022-12-09,7.006229,7.040997,6.816767,6.859285,6.859285,163188841
2022-12-10,6.859463,6.907789,6.752900,6.852805,6.852805,138343803
2022-12-11,6.852854,6.945767,6.707303,6.714855,6.714855,131226762
2022-12-12,6.714348,6.714348,6.547488,6.691597,6.691597,191902698
2022-12-13,6.691421,7.012322,6.502252,6.911357,6.911357,305694512
2022-12-14,6.911609,6.937373,6.719816,6.728828,6.728828,208545519
2022-12-15,6.728449,6.729552,6.426653,6.451363,6.451363,201528818
2022-12-16,6.451570,6.532924,5.829366,5.900254,5.900254,283856110
2022-12-17,5.899214,6.041706,5.824105,6.029944,6.029944,192779241
2022-12-18,6.030756,6.049659,5.950809,5.963431,5.963431,113833897
2022-12-19,5.963915,6.043171,5.745473,5.790945,5.790945,214083722
2022-12-20,5.791674,6.100415,5.777946,6.020202,6.020202,209312651
2022-12-21,6.020042,6.031952,5.900968,5.981257,5.981257,149997846
2022-12-22,5.981667,6.023396,5.880175,6.002769,6.002769,175920137
2022-12-23,6.002422,6.043665,5.935084,5.942528,5.942528,157847820
2022-12-24,5.942561,5.959383,5.901504,5.920004,5.920004,111387083
2022-12-25,5.920001,5.986301,5.905986,5.985958,5.985958,140351136
2022-12-26,5.986132,6.038186,5.953304,6.037669,6.037669,128325031
2022-12-27,6.037781,6.050972,5.878011,5.899226,5.899226,151421212
2022-12-28,5.899146,5.905109,5.655509,5.676936,5.676936,188630493
2022-12-29,5.676999,5.713355,5.532593,5.603008,5.603008,193768237
2022-12-30,5.602758,5.626317,5.440182,5.467445,5.467445,187032495
2022-12-31,5.467851,5.609039,5.413769,5.568658,5.568658,144422398
2023-01-01,5.568981,5.628169,5.517975,5.622443,5.622443,109175362
2023-01-02,5.622763,5.737175,5.567815,5.687627,5.687627,179768004
2023-01-03,5.687883,5.707483,5.585217,5.622096,5.622096,182318187
2023-01-04,5.621943,5.837052,5.615959,5.804032,5.804032,205745250
2023-01-05,5.804405,5.807828,5.632117,5.647835,5.647835,166950331
2023-01-06,5.648925,5.717915,5.558207,5.710800,5.710800,166922602
2023-01-07,5.710935,5.831510,5.698311,5.829194,5.829194,140003552
2023-01-08,5.829421,5.933835,5.773165,5.933166,5.933166,149233597
2023-01-09,5.933033,6.235388,5.933033,6.072278,6.072278,336692626
2023-01-10,6.071436,6.267263,6.010841,6.153703,6.153703,211548969
2023-01-11,6.154053,6.285186,6.030919,6.285186,6.285186,212708693
2023-01-12,6.362484,6.396510,6.153063,6.381332,6.381332,336590126
2023-01-13,6.381975,6.602922,6.282706,6.601779,6.601779,266139656
2023-01-14,6.601118,7.085987,6.598348,6.860322,6.860322,576671317
2023-01-15,6.861233,6.902146,6.622989,6.693957,6.693957,392031356
2023-01-16,6.693842,6.925898,6.476940,6.666865,6.666865,395021461
2023-01-17,6.667509,6.949217,6.605624,6.820442,6.820442,368037968
2023-01-18,6.818983,6.967253,6.343377,6.350073,6.350073,443456872
2023-01-19,6.349688,6.527883,6.336029,6.513942,6.513942,218670715
2023-01-20,6.513629,6.951216,6.431886,6.950697,6.950697,258845710
2023-01-21,6.951277,7.093825,6.868216,6.870331,6.870331,372198330
2023-01-22,6.871549,7.217784,6.825184,6.985129,6.985129,397275394
2023-01-23,6.984896,7.203010,6.952613,7.026174,7.026174,382722730
