Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.460088,0.538532,0.455474,0.531651,0.531651,195942245
2022-11-11,0.531540,0.533961,0.482174,0.495795,0.495795,108106490
2022-11-12,0.495902,0.496630,0.463230,0.464480,0.464480,66180342
2022-11-13,0.464737,0.472303,0.439354,0.449411,0.449411,184997402
2022-11-14,0.449188,0.451611,0.413979,0.440948,0.440948,145642331
2022-11-15,0.440913,0.460147,0.435457,0.450379,0.450379,94857402
2022-11-16,0.450451,0.455617,0.427319,0.432354,0.432354,82034819
2022-11-17,0.432483,0.434932,0.413412,0.416962,0.416962,89016603
2022-11-18,0.417006,0.423870,0.406823,0.413648,0.413648,85705419
2022-11-19,0.413600,0.423349,0.405724,0.416857,0.416857,86830221
2022-11-20,0.416884,0.420092,0.383767,0.384023,0.384023,81556040
2022-11-21,0.384091,0.384278,0.360486,0.369334,0.369334,103959426
2022-11-22,0.369236,0.382575,0.358162,0.381802,0.381802,80200629
2022-11-23,0.381895,0.396541,0.379004,0.396204,0.396204,71088229
2022-11-24,0.396212,0.404442,0.386576,0.393999,0.393999,55955779
2022-11-25,0.393988,0.393988,0.383132,0.390549,0.390549,47909800
2022-11-26,0.390504,0.405462,0.390504,0.404699,0.404699,52395501
2022-11-27,0.404786,0.409828,0.399440,0.399804,0.399804,58556083
2022-11-28,0.399829,0.404107,0.381651,0.386708,0.386708,53761766
2022-11-29,0.386694,0.398865,0.384274,0.393120,0.393120,48983793
2022-11-30,0.393164,0.411203,0.393164,0.410415,0.410415,61443624
2022-12-01,0.410501,0.412038,0.401660,0.403470,0.403470,50796568
2022-12-02,0.403582,0.423614,0.399784,0.420806,0.420806,83201685
2022-12-03,0.420837,0.421700,0.406347,0.406800,0.406800,40916426
2022-12-04,0.406838,0.413023,0.404240,0.410239,0.410239,62596484
2022-12-05,0.410098,0.427395,0.409208,0.419918,0.419918,90271457
2022-12-06,0.419883,0.423422,0.411999,0.415800,0.415800,58183557
2022-12-07,0.415807,0.417787,0.390381,0.394386,0.394386,52632871
2022-12-08,0.394413,0.402974,0.391165,0.399917,0.399917,42042068
2022-12-09,0.399910,0.402505,0.394310,0.395348,0.395348,34560981
2022-12-10,0.395365,0.404808,0.395365,0.401514,0.401514,33737644
2022-12-11,0.401522,0.402303,0.389293,0.390105,0.390105,25629637
2022-12-12,0.390118,0.390118,0.374686,0.383856,0.383856,35403073
2022-12-13,0.383854,0.393047,0.367844,0.390953,0.390953,53174474
2022-12-14,0.391049,0.393649,0.381319,0.381860,0.381860,37499719
2022-12-15,0.381831,0.382108,0.374013,0.375429,0.375429,35614152
2022-12-16,0.375534,0.379277,0.337881,0.339997,0.339997,52648211
2022-12-17,0.340080,0.340080,0.327201,0.334025,0.334025,42888279
2022-12-18,0.334094,0.334216,0.322679,0.326450,0.326450,33816137
2022-12-19,0.326462,0.330095,0.300439,0.302778,0.302778,56609426
