Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.813283,1.147168,0.806324,1.124960,1.124960,2117545790
2022-11-11,1.125002,1.151019,0.985067,1.061987,1.061987,1493675055
2022-11-12,1.062165,1.063584,0.932817,0.938973,0.938973,830459541
2022-11-13,0.938951,0.964450,0.873662,0.888060,0.888060,631517870
2022-11-14,0.887915,0.957332,0.841195,0.915709,0.915709,965406280
2022-11-15,0.915800,0.969939,0.911337,0.940134,0.940134,675911627
2022-11-16,0.940039,0.954230,0.885150,0.900538,0.900538,471985131
2022-11-17,0.900704,0.910607,0.867303,0.874883,0.874883,457936835
2022-11-18,0.874878,0.898460,0.870613,0.880288,0.880288,312611635
2022-11-19,0.880332,0.881812,0.855598,0.876095,0.876095,236332792
2022-11-20,0.876057,0.879953,0.804428,0.807574,0.807574,379584714
2022-11-21,0.807517,0.817848,0.772987,0.796284,0.796284,577576859
2022-11-22,0.796070,0.862456,0.782422,0.850011,0.850011,672822806
2022-11-23,0.850167,0.868818,0.840332,0.861176,0.861176,465038908
2022-11-24,0.861184,0.887733,0.845294,0.849300,0.849300,351857069
2022-11-25,0.849205,0.849205,0.823622,0.844214,0.844214,238415183
2022-11-26,0.844122,0.869175,0.842577,0.846645,0.846645,229116164
2022-11-27,0.846628,0.864477,0.843277,0.844904,0.844904,199630187
2022-11-28,0.844939,0.847751,0.809179,0.822698,0.822698,293294577
2022-11-29,0.822415,0.845024,0.817048,0.838892,0.838892,223650810
2022-11-30,0.839003,0.936996,0.839003,0.936996,0.936996,495703018
2022-12-01,0.936412,0.940099,0.908273,0.908376,0.908376,468978303
2022-12-02,0.908393,0.946198,0.902370,0.946198,0.946198,361496926
2022-12-03,0.946679,0.948614,0.901756,0.903188,0.903188,224283182
2022-12-04,0.903108,0.922386,0.902817,0.922119,0.922119,173986591
2022-12-05,0.921931,0.943986,0.901984,0.911139,0.911139,317851610
2022-12-06,0.911264,0.920311,0.900661,0.917389,0.917389,235153668
2022-12-07,0.917447,0.917791,0.875899,0.896219,0.896219,297194794
2022-12-08,0.896301,0.928863,0.888744,0.927781,0.927781,268116222
2022-12-09,0.927815,0.932367,0.909193,0.909515,0.909515,221578412
2022-12-10,0.909546,0.915603,0.902562,0.908252,0.908252,152011098
2022-12-11,0.908283,0.913791,0.891615,0.893233,0.893233,141914043
2022-12-12,0.893295,0.911576,0.875428,0.910573,0.910573,236843698
2022-12-13,0.910558,0.938251,0.882370,0.923434,0.923434,422558230
2022-12-14,0.923530,0.936157,0.900713,0.903347,0.903347,328675064
2022-12-15,0.903340,0.905715,0.873785,0.877981,0.877981,243269084
2022-12-16,0.877970,0.889978,0.789783,0.795795,0.795795,423423337
2022-12-17,0.795793,0.817401,0.785708,0.816142,0.816142,291109286
2022-12-18,0.816133,0.824450,0.806358,0.813864,0.813864,179850704
2022-12-19,0.814040,0.820761,0.765526,0.772779,0.772779,346669175
2022-12-20,0.772899,0.807115,0.770134,0.802671,0.802671,326769527
2022-12-21,0.802620,0.802673,0.787715,0.792996,0.792996,187415142
2022-12-22,0.793081,0.796686,0.772891,0.795728,0.795728,200780671
2022-12-23,0.795727,0.806155,0.792303,0.798734,0.798734,166134842
2022-12-24,0.798763,0.800643,0.794642,0.795994,0.795994,100230352
2022-12-25,0.796003,0.798593,0.787552,0.795133,0.795133,118950074
2022-12-26,0.795128,0.815221,0.794260,0.813517,0.813517,146611842
2022-12-27,0.813539,0.818456,0.800697,0.806025,0.806025,182445576
2022-12-28,0.806041,0.807651,0.777240,0.782831,0.782831,203426011
2022-12-29,0.782811,0.785617,0.770684,0.777419,0.777419,171915602
2022-12-30,0.777357,0.779847,0.751560,0.760533,0.760533,212498103
2022-12-31,0.760605,0.770648,0.755149,0.758517,0.758517,119298994
2023-01-01,0.758502,0.761818,0.749283,0.759973,0.759973,106486711
2023-01-02,0.759988,0.787734,0.751178,0.780852,0.780852,194853754
2023-01-03,0.780927,0.787312,0.772702,0.780077,0.780077,171447001
2023-01-04,0.780045,0.813555,0.777890,0.806372,0.806372,304446233
2023-01-05,0.806335,0.809470,0.787322,0.788527,0.788527,195814324
2023-01-06,0.788463,0.799642,0.774030,0.799216,0.799216,217674581
2023-01-07,0.799225,0.810505,0.798768,0.806735,0.806735,165603125
2023-01-08,0.806674,0.842027,0.800063,0.840371,0.840371,221262875
2023-01-09,0.840282,0.874219,0.836075,0.844234,0.844234,465942706
2023-01-10,0.843992,0.859830,0.836140,0.858464,0.858464,250740721
2023-01-11,0.858439,0.897017,0.847683,0.893428,0.893428,302396705
2023-01-12,0.897725,0.919670,0.869912,0.916289,0.916289,577693595
2023-01-13,0.916239,0.938290,0.897275,0.931102,0.931102,378692489
2023-01-14,0.931004,1.050641,0.930459,0.999671,0.999671,978285806
2023-01-15,0.999737,1.000438,0.956288,0.983518,0.983518,418050492
2023-01-16,0.983476,1.044241,0.973857,1.019492,1.019492,688279193
2023-01-17,1.019649,1.032709,0.996012,0.996012,0.996012,448317117
2023-01-18,0.995905,1.017185,0.937672,0.940121,0.940121,547193065
2023-01-19,0.940036,0.954757,0.921044,0.952890,0.952890,330694966
2023-01-20,0.952923,1.026321,0.939866,1.026250,1.026250,435529192
2023-01-21,1.026220,1.038505,0.989546,0.989977,0.989977,532015699
2023-01-22,0.990097,1.029599,0.979808,0.994092,0.994092,461378414
2023-01-23,0.994108,1.012206,0.982961,0.995189,0.995189,408263988
2023-01-24,0.994829,1.038658,0.953000,0.955928,0.955928,508536624
2023-01-25,0.955952,1.014361,0.937996,0.993623,0.993623,463858684
2023-01-26,0.993079,1.122496,0.991684,1.122306,1.122306,983939566
2023-01-27,1.123072,1.185705,1.072021,1.158274,1.158274,1013090701
2023-01-28,1.158248,1.166155,1.096737,1.144232,1.144232,624675428
2023-01-29,1.144364,1.196200,1.133303,1.177880,1.177880,629748131
2023-01-30,1.177862,1.178241,1.073565,1.087235,1.087235,602563770
2023-01-31,1.087332,1.120914,1.080363,1.111333,1.111333,418321993
2023-02-01,1.111085,1.201528,1.071382,1.194967,1.194967,641029088
2023-02-02,1.194626,1.251927,1.180182,1.180444,1.180444,832824008
2023-02-03,1.180328,1.250519,1.171930,1.244227,1.244227,696790458
2023-02-04,1.244452,1.281474,1.219098,1.250628,1.250628,531020758
2023-02-05,1.251095,1.257845,1.189648,1.204501,1.204501,562393241
2023-02-06,1.204367,1.236038,1.180760,1.190415,1.190415,438369543
2023-02-07,1.190357,1.269726,1.190325,1.268975,1.268975,577383745
2023-02-08,1.269234,1.340357,1.263517,1.303970,1.303970,947174326
2023-02-09,1.304250,1.344698,1.216989,1.228342,1.228342,1272709220
2023-02-10,1.228480,1.308800,1.220508,1.230595,1.230595,1009957719
2023-02-11,1.230424,1.255009,1.218026,1.251412,1.251412,452302092
2023-02-12,1.251252,1.300127,1.229917,1.238516,1.238516,543445136
2023-02-13,1.238334,1.242274,1.144372,1.186845,1.186845,748185120
2023-02-14,1.186454,1.259244,1.169728,1.258773,1.258773,770359563
2023-02-15,1.258687,1.330509,1.234439,1.330032,1.330032,613493994
2023-02-16,1.329800,1.462005,1.321436,1.371723,1.371723,1219004023
2023-02-17,1.371665,1.536422,1.371665,1.525588,1.525588,1303138204
2023-02-18,1.525579,1.559103,1.478383,1.486840,1.486840,774164641
2023-02-19,1.486768,1.533781,1.472298,1.478552,1.478552,719130733
2023-02-20,1.479609,1.506097,1.442336,1.474328,1.474328,628000707
2023-02-21,1.474428,1.500601,1.368997,1.384936,1.384936,790150889
2023-02-22,1.385113,1.398883,1.324411,1.397024,1.397024,722694672
2023-02-23,1.396782,1.416687,1.340060,1.354701,1.354701,534094666
2023-02-24,1.354599,1.361690,1.252778,1.265957,1.265957,617649145
2023-02-25,1.266012,1.276757,1.202570,1.248850,1.248850,471995898
2023-02-26,1.248660,1.298177,1.239866,1.281183,1.281183,413456032
2023-02-27,1.281284,1.285198,1.217959,1.235484,1.235484,551274461
2023-02-28,1.235537,1.242725,1.187855,1.195239,1.195239,508009083
2023-03-01,1.195249,1.259784,1.194377,1.248236,1.248236,487108422
2023-03-02,1.248277,1.251312,1.194467,1.224773,1.224773,371118481
2023-03-03,1.225004,1.227369,1.138153,1.167757,1.167757,558368482
2023-03-04,1.167763,1.175975,1.101370,1.126445,1.126445,332913156
2023-03-05,1.126699,1.158380,1.121060,1.137450,1.137450,306480585
2023-03-06,1.137249,1.145146,1.117468,1.131752,1.131752,320320685
2023-03-07,1.131719,1.167494,1.118396,1.149590,1.149590,509069836
2023-03-08,1.149604,1.156088,1.047851,1.051788,1.051788,562549015
2023-03-09,1.051937,1.090910,0.986068,1.015364,1.015364,701878025
2023-03-10,1.015623,1.065671,0.949270,1.058904,1.058904,872566312
2023-03-11,1.059036,1.086314,1.000901,1.064282,1.064282,714358473
2023-03-12,1.064218,1.156998,1.049017,1.156988,1.156988,705749746
2023-03-13,1.156473,1.201192,1.098717,1.193400,1.193400,947657046
2023-03-14,1.193632,1.245239,1.149985,1.200760,1.200760,993352077
