Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.549961,0.637124,0.545214,0.603356,0.603356,28417305
2022-11-11,0.603301,0.605434,0.546716,0.567916,0.567916,22163759
2022-11-12,0.567862,0.582362,0.536535,0.549452,0.549452,17370010
2022-11-13,0.549439,0.566557,0.530831,0.532933,0.532933,21108358
2022-11-14,0.532836,0.551351,0.505757,0.531805,0.531805,18232158
2022-11-15,0.531671,0.607784,0.531040,0.563739,0.563739,25320068
2022-11-16,0.563745,0.577234,0.546121,0.569756,0.569756,11143632
2022-11-17,0.569792,0.575778,0.551359,0.556840,0.556840,9385617
2022-11-18,0.556771,0.568368,0.549339,0.557754,0.557754,9196584
2022-11-19,0.557761,0.580857,0.546440,0.573742,0.573742,17747322
2022-11-20,0.573809,0.573809,0.529957,0.530153,0.530153,18178871
2022-11-21,0.530296,0.538062,0.510546,0.519137,0.519137,13238673
2022-11-22,0.519192,0.553697,0.494828,0.534708,0.534708,21401651
2022-11-23,0.534842,0.562496,0.534419,0.552252,0.552252,13122753
2022-11-24,0.552324,0.554490,0.541697,0.548974,0.548974,8717438
2022-11-25,0.548879,0.549166,0.528781,0.536520,0.536520,6604674
2022-11-26,0.536548,0.550085,0.535994,0.544373,0.544373,7696414
2022-11-27,0.544370,0.593849,0.543723,0.569569,0.569569,21211795
2022-11-28,0.569968,0.582224,0.539781,0.553654,0.553654,19285919
2022-11-29,0.553729,0.573734,0.550402,0.564248,0.564248,9975190
2022-11-30,0.564433,0.582901,0.554758,0.581806,0.581806,11008307
2022-12-01,0.581674,0.581840,0.561484,0.566254,0.566254,8056019
2022-12-02,0.566254,0.576885,0.560204,0.576812,0.576812,8329145
2022-12-03,0.576865,0.577074,0.557891,0.557891,0.557891,6048302
2022-12-04,0.557923,0.590720,0.557785,0.579534,0.579534,14931254
2022-12-05,0.579424,0.587964,0.560878,0.563911,0.563911,9243590
2022-12-06,0.563960,0.574738,0.561283,0.566450,0.566450,10419321
2022-12-07,0.566572,0.567494,0.542601,0.546360,0.546360,7700289
2022-12-08,0.546446,0.558763,0.538425,0.556840,0.556840,6655686
2022-12-09,0.556848,0.565275,0.543879,0.545061,0.545061,7618991
2022-12-10,0.544966,0.573743,0.544848,0.559226,0.559226,8985634
2022-12-11,0.560070,0.570466,0.554809,0.556356,0.556356,9087296
2022-12-12,0.556291,0.556291,0.540571,0.551425,0.551425,8185102
2022-12-13,0.551407,0.559700,0.530761,0.550665,0.550665,10248017
2022-12-14,0.550691,0.570364,0.550691,0.555017,0.555017,11334135
2022-12-15,0.555017,0.555555,0.538987,0.540624,0.540624,6266394
2022-12-16,0.540516,0.547321,0.496903,0.498952,0.498952,9212488
2022-12-17,0.498892,0.511690,0.476218,0.480075,0.480075,11991627
2022-12-18,0.480144,0.489453,0.470694,0.474710,0.474710,8378385
2022-12-19,0.474662,0.484714,0.460741,0.465136,0.465136,8572891
2022-12-20,0.465402,0.506284,0.465402,0.489409,0.489409,13423382
2022-12-21,0.489474,0.490316,0.468032,0.470752,0.470752,6205784
2022-12-22,0.470701,0.477834,0.463311,0.477778,0.477778,5391177
2022-12-23,0.477796,0.478863,0.468236,0.471212,0.471212,4951823
2022-12-24,0.471154,0.476599,0.469537,0.471588,0.471588,3686087
2022-12-25,0.471499,0.472533,0.462580,0.466893,0.466893,3472214
2022-12-26,0.466857,0.479019,0.465729,0.479019,0.479019,4083009
2022-12-27,0.478868,0.482096,0.470457,0.474000,0.474000,5603570
2022-12-28,0.474068,0.474338,0.449917,0.450923,0.450923,6986498
2022-12-29,0.450864,0.451248,0.445341,0.450332,0.450332,4879177
2022-12-30,0.450351,0.450715,0.431431,0.438431,0.438431,6117285
2022-12-31,0.438612,0.446172,0.433857,0.433916,0.433916,5262900
2023-01-01,0.433948,0.437212,0.421412,0.432849,0.432849,6068850
2023-01-02,0.432836,0.442103,0.423932,0.435530,0.435530,6928356
2023-01-03,0.435730,0.480325,0.434798,0.462590,0.462590,17545822
2023-01-04,0.462569,0.477341,0.456468,0.461901,0.461901,13082462
2023-01-05,0.462037,0.463814,0.446619,0.449567,0.449567,7203188
2023-01-06,0.449444,0.454971,0.431042,0.449733,0.449733,10309821
2023-01-07,0.449725,0.454411,0.444704,0.445945,0.445945,6390381
2023-01-08,0.445857,0.467529,0.443751,0.466025,0.466025,8273517
2023-01-09,0.466009,0.494707,0.466009,0.472940,0.472940,16809577
2023-01-10,0.472928,0.486833,0.463864,0.481609,0.481609,10579521
2023-01-11,0.481589,0.539366,0.481168,0.510076,0.510076,49047090
2023-01-12,0.516199,0.538054,0.498225,0.515582,0.515582,30973847
2023-01-13,0.515340,0.547313,0.508304,0.537411,0.537411,19469765
2023-01-14,0.537274,0.576392,0.535367,0.562447,0.562447,29763913
2023-01-15,0.561708,0.570117,0.528839,0.554816,0.554816,19508414
2023-01-16,0.554818,0.576045,0.540532,0.571787,0.571787,23220122
2023-01-17,0.571702,0.572523,0.554893,0.554893,0.554893,15582138
2023-01-18,0.555172,0.563670,0.502861,0.514524,0.514524,22779124
2023-01-19,0.514463,0.533486,0.509329,0.525507,0.525507,13544144
2023-01-20,0.525511,0.564653,0.521707,0.562691,0.562691,17321610
2023-01-21,0.562583,0.591856,0.559205,0.567622,0.567622,26647035
2023-01-22,0.567604,0.612773,0.565788,0.591357,0.591357,34800867
2023-01-23,0.591408,0.604598,0.584361,0.589565,0.589565,23259673
2023-01-24,0.589384,0.606113,0.551846,0.557197,0.557197,25369223
2023-01-25,0.557369,0.714493,0.546498,0.684703,0.684703,102249723
2023-01-26,0.684615,0.751880,0.655827,0.662926,0.662926,80779708
2023-01-27,0.662908,0.677080,0.636141,0.660812,0.660812,42191836
2023-01-28,0.660881,0.672349,0.633430,0.643474,0.643474,19424974
2023-01-29,0.643662,0.782242,0.640776,0.775094,0.775094,85744040
2023-01-30,0.775356,0.917601,0.734772,0.775606,0.775606,225573056
2023-01-31,0.775812,0.924423,0.762669,0.848928,0.848928,189055595
2023-02-01,0.848076,0.944077,0.769479,0.890199,0.890199,124399897
2023-02-02,0.891131,0.924229,0.834825,0.835955,0.835955,107454775
2023-02-03,0.835967,0.900457,0.821398,0.858571,0.858571,115774216
2023-02-04,0.858968,0.866886,0.811821,0.814612,0.814612,59655377
2023-02-05,0.814549,0.854713,0.764840,0.797501,0.797501,74218783
2023-02-06,0.797337,0.842502,0.754076,0.797709,0.797709,90770093
2023-02-07,0.797360,0.869830,0.791050,0.861054,0.861054,102783895
2023-02-08,0.860940,0.883689,0.799544,0.824067,0.824067,70842708
2023-02-09,0.824404,0.879734,0.717612,0.739128,0.739128,142455968
2023-02-10,0.739141,0.943487,0.719093,0.887020,0.887020,281438881
2023-02-11,0.889268,1.142317,0.846092,1.131980,1.131980,326274205
2023-02-12,1.132189,1.141101,0.984982,1.001336,1.001336,272375497
2023-02-13,1.001267,1.037117,0.892905,0.929092,0.929092,182646506
2023-02-14,0.928868,1.045647,0.909939,1.035336,1.035336,176722851
2023-02-15,1.035819,1.227251,0.998499,1.192804,1.192804,201173101
2023-02-16,1.192793,1.208394,1.035799,1.057644,1.057644,193414940
2023-02-17,1.059376,1.112594,1.035524,1.073262,1.073262,122112384
2023-02-18,1.073237,1.161554,1.045871,1.057731,1.057731,89605336
2023-02-19,1.057363,1.084801,0.988571,0.993295,0.993295,81125031
2023-02-20,0.993902,1.080131,0.961975,1.080131,1.080131,93233176
2023-02-21,1.080337,1.101424,0.960867,0.974160,0.974160,88918099
2023-02-22,0.974151,0.995964,0.913901,0.988324,0.988324,84014223
2023-02-23,0.988953,1.040761,0.962878,0.991488,0.991488,91338389
2023-02-24,0.990941,0.990941,0.932243,0.953209,0.953209,66601678
2023-02-25,0.953366,0.976887,0.888628,0.928067,0.928067,47475125
2023-02-26,0.928101,0.962506,0.921754,0.954841,0.954841,29652860
2023-02-27,0.954848,0.980084,0.922854,0.939869,0.939869,38129441
2023-02-28,0.939700,0.991651,0.927800,0.933249,0.933249,71133348
2023-03-01,0.933265,0.987073,0.925990,0.987073,0.987073,51955933
2023-03-02,0.986832,1.029503,0.937374,0.975576,0.975576,80067862
2023-03-03,0.976248,0.980342,0.862984,0.880477,0.880477,60657101
2023-03-04,0.880629,0.885697,0.800178,0.823928,0.823928,28100466
2023-03-05,0.824627,0.850683,0.815921,0.824095,0.824095,21462257
2023-03-06,0.824136,0.832399,0.804269,0.813224,0.813224,23189677
2023-03-07,0.813335,0.833345,0.755652,0.780122,0.780122,31964913
2023-03-08,0.780042,0.783441,0.697168,0.708589,0.708589,35205782
2023-03-09,0.708658,0.732923,0.655352,0.667945,0.667945,49769513
2023-03-10,0.667793,0.667897,0.599149,0.637300,0.637300,86034994
2023-03-11,0.637396,0.657777,0.582217,0.620063,0.620063,57745117
2023-03-12,0.620010,0.696860,0.615117,0.693936,0.693936,52970596
2023-03-13,0.693758,0.751968,0.673519,0.739827,0.739827,79780787
2023-03-14,0.740133,0.842543,0.717281,0.807364,0.807364,91225746
2023-03-15,0.807498,0.891011,0.742750,0.772759,0.772759,127564181
2023-03-16,0.772880,0.828853,0.759845,0.802956,0.802956,59885589
2023-03-17,0.802840,0.891477,0.782715,0.885966,0.885966,92738581
2023-03-18,0.886149,0.944025,0.844784,0.847519,0.847519,100055753
2023-03-19,0.847640,0.901123,0.840888,0.866478,0.866478,44926015
2023-03-20,0.866275,0.902518,0.784907,0.793146,0.793146,64367674
2023-03-21,0.793508,0.850757,0.771566,0.844111,0.844111,54284231
2023-03-22,0.843800,0.855850,0.771940,0.806868,0.806868,64385621
2023-03-23,0.806819,0.883790,0.795157,0.879168,0.879168,53004997
2023-03-24,0.879167,0.923588,0.809263,0.832402,0.832402,77457142
2023-03-25,0.832430,0.838605,0.784838,0.793999,0.793999,33168010
2023-03-26,0.793913,0.823329,0.787756,0.811681,0.811681,21729942
2023-03-27,0.811948,0.814834,0.714100,0.733210,0.733210,44136543
2023-03-28,0.733130,0.758658,0.702866,0.749975,0.749975,38614001
2023-03-29,0.749931,0.786754,0.745258,0.773648,0.773648,28550340
2023-03-30,0.773636,0.788912,0.736573,0.757854,0.757854,30548652
