Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.204917,0.239483,0.202324,0.235768,0.235768,24585490
2022-11-11,0.235709,0.239575,0.218195,0.229831,0.229831,13291380
2022-11-12,0.229847,0.230224,0.216228,0.217203,0.217203,8124741
2022-11-13,0.217047,0.221914,0.210831,0.213833,0.213833,6689355
2022-11-14,0.213869,0.221333,0.201724,0.218613,0.218613,10077041
2022-11-15,0.218625,0.227590,0.216717,0.223100,0.223100,8776941
2022-11-16,0.223060,0.227584,0.215152,0.218424,0.218424,8055245
2022-11-17,0.218576,0.219797,0.212533,0.218214,0.218214,7952124
2022-11-18,0.218361,0.221869,0.216260,0.219093,0.219093,7063701
2022-11-19,0.218275,0.224097,0.215707,0.222653,0.222653,7068083
2022-11-20,0.222662,0.229054,0.212145,0.212675,0.212675,17407299
2022-11-21,0.212540,0.220430,0.204329,0.214766,0.214766,31856111
2022-11-22,0.214577,0.215730,0.205627,0.214287,0.214287,13396501
2022-11-23,0.214423,0.219642,0.211389,0.219511,0.219511,13831226
2022-11-24,0.219593,0.220435,0.212437,0.215345,0.215345,12365784
2022-11-25,0.215355,0.215875,0.209824,0.211827,0.211827,8194100
2022-11-26,0.211806,0.216437,0.211806,0.214613,0.214613,5959080
2022-11-27,0.214577,0.219213,0.213243,0.213326,0.213326,6197872
2022-11-28,0.213278,0.214686,0.204002,0.207664,0.207664,8788141
2022-11-29,0.207677,0.212330,0.206139,0.209865,0.209865,7825084
2022-11-30,0.209859,0.216953,0.209859,0.216050,0.216050,9384323
2022-12-01,0.216076,0.216936,0.210237,0.211573,0.211573,8503269
2022-12-02,0.211594,0.214312,0.208585,0.213871,0.213871,10166573
2022-12-03,0.213931,0.216093,0.210312,0.210463,0.210463,6122866
2022-12-04,0.210394,0.214943,0.210394,0.212379,0.212379,7022150
2022-12-05,0.212346,0.216457,0.212053,0.214665,0.214665,8985254
2022-12-06,0.214519,0.216005,0.210663,0.213534,0.213534,9600033
2022-12-07,0.213511,0.213894,0.204361,0.205650,0.205650,9966173
2022-12-08,0.205690,0.208425,0.202395,0.207860,0.207860,8750029
2022-12-09,0.207837,0.209499,0.205276,0.205891,0.205891,8749284
2022-12-10,0.205895,0.209736,0.205845,0.209028,0.209028,8566395
2022-12-11,0.209015,0.211412,0.207759,0.207939,0.207939,5651656
2022-12-12,0.207914,0.207914,0.198684,0.202722,0.202722,9222126
2022-12-13,0.202684,0.205141,0.196422,0.204233,0.204233,11945633
2022-12-14,0.204276,0.205692,0.194711,0.196099,0.196099,18996458
2022-12-15,0.196146,0.197909,0.184073,0.185942,0.185942,18270897
2022-12-16,0.185855,0.187283,0.162982,0.164504,0.164504,19168687
2022-12-17,0.164514,0.171603,0.163258,0.171196,0.171196,9807468
2022-12-18,0.171246,0.172446,0.168048,0.168434,0.168434,4257093
2022-12-19,0.168446,0.170153,0.157510,0.159679,0.159679,8027586
2022-12-20,0.159757,0.167206,0.159127,0.166561,0.166561,6732291
2022-12-21,0.166443,0.167202,0.162425,0.165370,0.165370,6428999
2022-12-22,0.165357,0.167424,0.163928,0.167126,0.167126,6360629
2022-12-23,0.167131,0.170561,0.166722,0.169903,0.169903,5905130
2022-12-24,0.169904,0.170770,0.168385,0.170632,0.170632,3198965
2022-12-25,0.170628,0.175799,0.170545,0.172859,0.172859,15892140
2022-12-26,0.172813,0.176077,0.169829,0.176029,0.176029,6399060
2022-12-27,0.176054,0.176733,0.171760,0.172888,0.172888,6277330
2022-12-28,0.172857,0.173207,0.165405,0.169758,0.169758,8342677
2022-12-29,0.169753,0.171943,0.166711,0.170106,0.170106,5896117
2022-12-30,0.169525,0.171594,0.167049,0.169921,0.169921,5884095
2022-12-31,0.169933,0.173246,0.168782,0.169276,0.169276,3932333
2023-01-01,0.169210,0.172081,0.168363,0.171864,0.171864,3775100
2023-01-02,0.171808,0.182994,0.169741,0.181196,0.181196,7400024
2023-01-03,0.181184,0.183283,0.177155,0.178324,0.178324,8111844
2023-01-04,0.178338,0.181223,0.176886,0.179231,0.179231,7925495
2023-01-05,0.178648,0.181932,0.177383,0.180278,0.180278,6106629
2023-01-06,0.180233,0.182009,0.174619,0.182009,0.182009,7091927
2023-01-07,0.182038,0.184276,0.179157,0.180110,0.180110,6008474
2023-01-08,0.180049,0.183051,0.177189,0.182775,0.182775,5866034
2023-01-09,0.182735,0.191312,0.182075,0.187022,0.187022,12469122
2023-01-10,0.186857,0.191057,0.183588,0.190171,0.190171,8852517
2023-01-11,0.190147,0.192451,0.185068,0.192451,0.192451,8040245
2023-01-12,0.194902,0.197141,0.187661,0.195974,0.195974,12018890
2023-01-13,0.195972,0.201998,0.192483,0.201998,0.201998,10844900
2023-01-14,0.201919,0.215695,0.201917,0.212737,0.212737,19996276
2023-01-15,0.212782,0.219753,0.207981,0.214448,0.214448,16729080
2023-01-16,0.214453,0.219497,0.205192,0.212428,0.212428,15215910
2023-01-17,0.212430,0.222443,0.209496,0.215342,0.215342,18007805
2023-01-18,0.215344,0.220045,0.201143,0.201325,0.201325,17352374
2023-01-19,0.201307,0.207234,0.200781,0.205458,0.205458,11136002
2023-01-20,0.205336,0.219911,0.203527,0.219645,0.219645,12295652
2023-01-21,0.219697,0.223202,0.216639,0.216831,0.216831,14020098
2023-01-22,0.216876,0.232269,0.216860,0.224544,0.224544,15949544
2023-01-23,0.224598,0.230736,0.224157,0.230736,0.230736,13212191
2023-01-24,0.230094,0.240772,0.217922,0.218748,0.218748,22847209
2023-01-25,0.218758,0.230824,0.212310,0.228487,0.228487,14252955
2023-01-26,0.228414,0.233589,0.224621,0.231731,0.231731,12941412
2023-01-27,0.231689,0.248675,0.225875,0.244385,0.244385,36231509
2023-01-28,0.244527,0.244870,0.233314,0.237225,0.237225,13178421
2023-01-29,0.237200,0.242330,0.235160,0.241151,0.241151,10798771
2023-01-30,0.241176,0.242208,0.219894,0.223539,0.223539,14619968
2023-01-31,0.223536,0.228194,0.220618,0.227232,0.227232,10989210
2023-02-01,0.227183,0.233606,0.215964,0.233347,0.233347,13036421
2023-02-02,0.233285,0.240357,0.230176,0.231010,0.231010,13615585
2023-02-03,0.230953,0.238361,0.230953,0.238346,0.238346,14505957
2023-02-04,0.238404,0.246943,0.237762,0.244296,0.244296,15478977
2023-02-05,0.244323,0.255483,0.233274,0.237827,0.237827,23450294
2023-02-06,0.237823,0.253985,0.237674,0.241815,0.241815,28845164
2023-02-07,0.241726,0.251217,0.237962,0.250899,0.250899,16142791
2023-02-08,0.250827,0.253782,0.238233,0.246344,0.246344,15515346
2023-02-09,0.246319,0.248575,0.223217,0.228333,0.228333,20558620
2023-02-10,0.228331,0.234357,0.227779,0.231043,0.231043,12240444
2023-02-11,0.231082,0.236197,0.227674,0.234554,0.234554,9792248
2023-02-12,0.234538,0.237863,0.230592,0.232165,0.232165,7827048
2023-02-13,0.232182,0.235592,0.222220,0.227609,0.227609,13444310
2023-02-14,0.227584,0.233139,0.224900,0.233041,0.233041,10253891
2023-02-15,0.233062,0.247692,0.231451,0.247528,0.247528,11850623
2023-02-16,0.247587,0.249663,0.233760,0.234050,0.234050,15731099
2023-02-17,0.234111,0.248312,0.233794,0.245764,0.245764,14937520
2023-02-18,0.245727,0.250399,0.243785,0.248438,0.248438,11596359
2023-02-19,0.248434,0.256502,0.245667,0.251498,0.251498,15586252
2023-02-20,0.251698,0.273650,0.247125,0.268017,0.268017,30373307
2023-02-21,0.268138,0.269007,0.252542,0.257093,0.257093,18366672
2023-02-22,0.256735,0.258269,0.244877,0.255367,0.255367,14247381
2023-02-23,0.255358,0.258262,0.249745,0.254125,0.254125,12150197
2023-02-24,0.254035,0.265610,0.248237,0.252622,0.252622,29297413
2023-02-25,0.252694,0.266318,0.250903,0.256555,0.256555,36219213
2023-02-26,0.256522,0.256522,0.247282,0.252103,0.252103,13453288
2023-02-27,0.252105,0.255030,0.243597,0.247346,0.247346,18932640
2023-02-28,0.247289,0.248272,0.237622,0.239699,0.239699,12678914
2023-03-01,0.239733,0.251239,0.237746,0.250856,0.250856,13770246
2023-03-02,0.250835,0.251239,0.234949,0.240168,0.240168,13902626
2023-03-03,0.240098,0.240239,0.218271,0.222552,0.222552,14657883
2023-03-04,0.222569,0.223815,0.212472,0.216301,0.216301,7644966
2023-03-05,0.216313,0.220406,0.214547,0.215966,0.215966,6295920
2023-03-06,0.215992,0.215992,0.210963,0.212887,0.212887,7962690
2023-03-07,0.212886,0.215288,0.204007,0.208752,0.208752,12035902
2023-03-08,0.208745,0.208913,0.197434,0.199350,0.199350,10164576
2023-03-09,0.199385,0.208616,0.187548,0.191272,0.191272,14211773
2023-03-10,0.191293,0.191501,0.177963,0.187270,0.187270,13526189
2023-03-11,0.187232,0.193845,0.181207,0.192693,0.192693,11375130
2023-03-12,0.192788,0.203720,0.190905,0.203646,0.203646,9937208
