Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.896930,1.001899,0.736760,0.840403,0.840403,6890136
2022-11-11,0.839582,0.971478,0.839582,0.953116,0.953116,3858070
2022-11-12,0.952980,0.954502,0.843872,0.863377,0.863377,3407908
2022-11-13,0.863377,0.874501,0.807540,0.839695,0.839695,2745640
2022-11-14,0.839882,0.907991,0.808633,0.907266,0.907266,3609965
2022-11-15,0.907266,0.926668,0.883449,0.895380,0.895380,2368901
2022-11-16,0.895564,0.910301,0.871023,0.887996,0.887996,1764609
2022-11-17,0.887996,0.900130,0.851857,0.861244,0.861244,2536802
2022-11-18,0.861244,0.870200,0.850418,0.858118,0.858118,1768471
2022-11-19,0.857547,0.863114,0.844709,0.854853,0.854853,1852103
2022-11-20,0.854853,0.860742,0.835619,0.838776,0.838776,1642358
2022-11-21,0.838776,0.866737,0.783612,0.802176,0.802176,3128953
2022-11-22,0.802249,0.887260,0.789725,0.884846,0.884846,2254797
2022-11-23,0.884718,0.910694,0.842142,0.858636,0.858636,2013897
2022-11-24,0.858636,0.877946,0.849253,0.855411,0.855411,1669555
2022-11-25,0.855411,0.855738,0.840094,0.848511,0.848511,1324112
2022-11-26,0.848577,0.923339,0.846806,0.906758,0.906758,1669835
2022-11-27,0.906217,0.915453,0.840735,0.840755,0.840755,1427255
2022-11-28,0.841354,0.844456,0.805627,0.817977,0.817977,2385947
2022-11-29,0.817977,0.836439,0.812267,0.822777,0.822777,1543253
2022-11-30,0.822777,0.859951,0.821844,0.857036,0.857036,2319752
2022-12-01,0.857036,0.858611,0.842183,0.852872,0.852872,1406829
2022-12-02,0.852872,0.857676,0.836711,0.856463,0.856463,1335106
2022-12-03,0.856463,0.858285,0.836234,0.840359,0.840359,1229106
2022-12-04,0.839860,0.852652,0.838819,0.847994,0.847994,1038447
2022-12-05,0.848014,0.854444,0.836140,0.843838,0.843838,1791641
2022-12-06,0.843638,0.847734,0.831767,0.836550,0.836550,1337165
2022-12-07,0.835990,0.836885,0.813771,0.820731,0.820731,1601386
2022-12-08,0.820591,0.846793,0.819869,0.826052,0.826052,792450
2022-12-09,0.825255,0.835880,0.820158,0.830487,0.830487,944923
2022-12-10,0.830487,0.836735,0.824107,0.825750,0.825750,494437
2022-12-11,0.825750,0.830136,0.819139,0.819365,0.819365,632427
2022-12-12,0.819365,0.828460,0.815756,0.828440,0.828440,706461
2022-12-13,0.828420,0.836915,0.818878,0.830976,0.830976,843904
2022-12-14,0.830936,0.841737,0.826340,0.839606,0.839606,1018581
2022-12-15,0.839606,0.842506,0.794374,0.799112,0.799112,1235838
2022-12-16,0.799112,0.803005,0.782159,0.783687,0.783687,1573028
2022-12-17,0.783547,0.807846,0.770231,0.804743,0.804743,1283132
2022-12-18,0.804743,0.810388,0.799228,0.805245,0.805245,642168
2022-12-19,0.805245,0.809614,0.798397,0.800961,0.800961,733808
