Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,2.028370,2.371532,2.000562,2.318447,2.318447,314984396
2022-11-11,2.317963,2.317963,2.048078,2.128353,2.128353,206538009
2022-11-12,2.129134,2.133135,1.960398,1.997245,1.997245,212658468
2022-11-13,1.997462,2.074043,1.900894,1.953504,1.953504,157445587
2022-11-14,1.953663,2.015415,1.804467,1.963851,1.963851,162636261
2022-11-15,1.963914,2.037259,1.939841,1.980315,1.980315,100671880
2022-11-16,1.980282,2.008778,1.899865,1.924482,1.924482,81902410
2022-11-17,1.924643,1.935142,1.823998,1.829485,1.829485,100446214
2022-11-18,1.829770,1.867865,1.755320,1.785875,1.785875,111573239
2022-11-19,1.785728,1.786198,1.712320,1.747957,1.747957,108875409
2022-11-20,1.748125,1.760046,1.559916,1.569242,1.569242,142015271
2022-11-21,1.569330,1.576094,1.441026,1.559391,1.559391,208122620
2022-11-22,1.558546,1.636701,1.499737,1.623822,1.623822,165442710
2022-11-23,1.624070,1.692427,1.593637,1.687387,1.687387,143709665
2022-11-24,1.687853,1.726686,1.629055,1.643978,1.643978,112568442
2022-11-25,1.643869,1.652309,1.599096,1.645803,1.645803,63842718
2022-11-26,1.645630,1.694672,1.590451,1.609567,1.609567,78678830
2022-11-27,1.609481,1.674723,1.599943,1.613732,1.613732,75997397
2022-11-28,1.613563,1.624024,1.491308,1.591278,1.591278,105178802
2022-11-29,1.591234,1.628924,1.564781,1.608378,1.608378,68628187
2022-11-30,1.608486,1.742711,1.607895,1.721195,1.721195,120679877
2022-12-01,1.721449,1.762657,1.692213,1.736452,1.736452,100734674
2022-12-02,1.736909,1.789334,1.719426,1.755225,1.755225,101655225
2022-12-03,1.755584,1.755584,1.668307,1.670781,1.670781,58456590
2022-12-04,1.670708,1.732464,1.669845,1.729780,1.729780,58850694
2022-12-05,1.728970,1.777500,1.686676,1.717057,1.717057,84076072
2022-12-06,1.717096,1.786501,1.717096,1.785671,1.785671,82624827
2022-12-07,1.786212,1.825752,1.670589,1.692022,1.692022,102980814
2022-12-08,1.692048,1.712068,1.645168,1.705242,1.705242,74817747
2022-12-09,1.705389,1.736381,1.683757,1.696628,1.696628,49306651
2022-12-10,1.696875,1.727851,1.690784,1.704614,1.704614,31372686
2022-12-11,1.704557,1.711649,1.631358,1.635025,1.635025,38337682
2022-12-12,1.634978,1.638898,1.582884,1.630194,1.630194,58643791
2022-12-13,1.630219,1.754079,1.561018,1.706110,1.706110,103644880
2022-12-14,1.706515,1.732424,1.660285,1.661376,1.661376,78614138
2022-12-15,1.661122,1.666993,1.589980,1.591503,1.591503,52511222
2022-12-16,1.591570,1.607519,1.358618,1.370715,1.370715,82963736
2022-12-17,1.370311,1.401688,1.347370,1.394781,1.394781,60846647
2022-12-18,1.394649,1.395093,1.349086,1.365516,1.365516,33588572
2022-12-19,1.365569,1.382659,1.242787,1.256335,1.256335,83201570
2022-12-20,1.257230,1.347208,1.257230,1.344622,1.344622,70703522
2022-12-21,1.344285,1.348320,1.278702,1.305298,1.305298,58611198
2022-12-22,1.305671,1.322042,1.274265,1.321641,1.321641,53522303
2022-12-23,1.321623,1.361537,1.317220,1.341900,1.341900,45045587
2022-12-24,1.341934,1.351181,1.328652,1.337322,1.337322,24891465
2022-12-25,1.337328,1.339515,1.302373,1.331385,1.331385,34949213
2022-12-26,1.331436,1.363561,1.331392,1.363271,1.363271,34176307
2022-12-27,1.363113,1.373558,1.332256,1.360686,1.360686,54942822
2022-12-28,1.360765,1.361957,1.299270,1.314288,1.314288,56837110
2022-12-29,1.314214,1.329700,1.268004,1.298506,1.298506,58603771
2022-12-30,1.298498,1.301808,1.245075,1.274435,1.274435,57101220
2022-12-31,1.274710,1.281961,1.247997,1.255453,1.255453,30492788
2023-01-01,1.255637,1.283398,1.240136,1.275819,1.275819,31043495
2023-01-02,1.275880,1.323794,1.258703,1.312673,1.312673,47520245
2023-01-03,1.312766,1.351992,1.306587,1.334069,1.334069,56222458
2023-01-04,1.334081,1.617706,1.330704,1.550987,1.550987,334942587
2023-01-05,1.550766,1.620695,1.512725,1.525699,1.525699,132089984
2023-01-06,1.525617,1.605611,1.485117,1.590835,1.590835,103331314
2023-01-07,1.590748,1.599310,1.546415,1.562665,1.562665,44225449
2023-01-08,1.561969,1.644089,1.519990,1.643288,1.643288,92465052
2023-01-09,1.643255,1.718117,1.630146,1.644205,1.644205,198456723
2023-01-10,1.643694,1.664916,1.599660,1.644030,1.644030,87341484
2023-01-11,1.643845,1.825473,1.558773,1.821183,1.821183,182164053
2023-01-12,1.829757,1.875831,1.727589,1.835756,1.835756,210935189
2023-01-13,1.835752,1.983638,1.783659,1.953927,1.953927,158296706
2023-01-14,1.954409,2.338841,1.951656,2.251005,2.251005,475045566
2023-01-15,2.251758,2.262247,2.110954,2.239063,2.239063,192567718
2023-01-16,2.238965,2.421948,2.084127,2.191765,2.191765,255930355
2023-01-17,2.192056,2.253612,2.153211,2.153942,2.153942,163332038
2023-01-18,2.153506,2.223157,1.973284,1.976976,1.976976,183045028
2023-01-19,1.977011,2.140623,1.974958,2.099341,2.099341,139678683
2023-01-20,2.099260,2.398843,2.050950,2.390320,2.390320,175953169
2023-01-21,2.390827,2.454733,2.321386,2.326406,2.326406,252623520
2023-01-22,2.326435,2.581708,2.325088,2.399461,2.399461,311116144
2023-01-23,2.399338,2.702891,2.398417,2.547062,2.547062,361045209
2023-01-24,2.546019,2.612443,2.332520,2.354709,2.354709,186964661
2023-01-25,2.354105,2.619609,2.286643,2.546798,2.546798,200739515
2023-01-26,2.545919,2.709108,2.503764,2.521551,2.521551,248105377
2023-01-27,2.521499,2.577171,2.402585,2.561844,2.561844,215663040
2023-01-28,2.561312,2.673139,2.444963,2.472502,2.472502,180040630
2023-01-29,2.472500,2.601622,2.439197,2.575402,2.575402,148578496
2023-01-30,2.575579,2.576742,2.260744,2.308077,2.308077,173261954
2023-01-31,2.308483,2.366973,2.279348,2.332313,2.332313,129385476
2023-02-01,2.331653,2.427388,2.176940,2.427388,2.427388,201708268
2023-02-02,2.426226,2.567358,2.417967,2.436898,2.436898,218431778
2023-02-03,2.436423,2.514224,2.410435,2.505852,2.505852,135100236
2023-02-04,2.505831,2.577074,2.437728,2.499374,2.499374,111039314
2023-02-05,2.499399,2.547919,2.339010,2.389651,2.389651,148568756
2023-02-06,2.389739,2.425314,2.291548,2.308445,2.308445,115903780
2023-02-07,2.308066,2.505307,2.307248,2.490000,2.490000,135738895
2023-02-08,2.489856,2.835454,2.474743,2.640572,2.640572,439102256
2023-02-09,2.641037,2.641037,2.230971,2.262133,2.262133,283509044
2023-02-10,2.262335,2.302913,2.209303,2.250797,2.250797,156447976
2023-02-11,2.250664,2.293585,2.207635,2.285586,2.285586,76704602
2023-02-12,2.285792,2.364600,2.202087,2.235636,2.235636,124758010
2023-02-13,2.235580,2.250352,2.100341,2.188041,2.188041,135361256
2023-02-14,2.187753,2.256629,2.133255,2.245233,2.245233,134576020
2023-02-15,2.245437,2.524005,2.209618,2.524005,2.524005,179891415
2023-02-16,2.523088,2.551371,2.304659,2.310428,2.310428,222514770
2023-02-17,2.310655,2.481458,2.302756,2.458992,2.458992,155521003
2023-02-18,2.458939,2.675325,2.458450,2.578166,2.578166,228087134
2023-02-19,2.577761,2.677106,2.528700,2.572404,2.572404,204752613
2023-02-20,2.574122,2.753741,2.495885,2.696373,2.696373,218259496
2023-02-21,2.697375,2.710284,2.504767,2.563483,2.563483,179865958
2023-02-22,2.563383,2.568012,2.404810,2.505550,2.505550,144117072
2023-02-23,2.505805,2.560260,2.421884,2.472190,2.472190,105473729
2023-02-24,2.471873,2.485571,2.263714,2.313460,2.313460,127561833
2023-02-25,2.313486,2.335131,2.209410,2.291039,2.291039,93398219
2023-02-26,2.290389,2.384068,2.272753,2.376010,2.376010,68041850
2023-02-27,2.375942,2.419712,2.292569,2.347197,2.347197,96411387
2023-02-28,2.347202,2.350748,2.219107,2.229068,2.229068,86593930
2023-03-01,2.229074,2.363717,2.208713,2.320924,2.320924,93263430
2023-03-02,2.320910,2.325885,2.212167,2.256337,2.256337,73348364
2023-03-03,2.256935,2.258648,2.050655,2.099014,2.099014,120475361
2023-03-04,2.098966,2.114504,1.992028,2.049504,2.049504,71190982
2023-03-05,2.049644,2.113965,2.021745,2.032286,2.032286,67381532
2023-03-06,2.031907,2.075764,1.988080,2.055216,2.055216,82125022
2023-03-07,2.055417,2.090292,1.948519,2.000477,2.000477,90999462
2023-03-08,2.000795,2.011209,1.830034,1.839490,1.839490,101820924
2023-03-09,1.839843,1.912039,1.740024,1.788555,1.788555,119017347
2023-03-10,1.788498,1.811556,1.678499,1.801646,1.801646,134371369
2023-03-11,1.801505,1.853691,1.714247,1.809252,1.809252,131758334
2023-03-12,1.809132,1.956193,1.780592,1.949002,1.949002,102471192
2023-03-13,1.949269,2.051660,1.902618,2.042299,2.042299,166736609
2023-03-14,2.042401,2.210876,1.988073,2.121476,2.121476,173917335
2023-03-15,2.122410,2.156561,1.878386,1.926483,1.926483,161471815
2023-03-16,1.926980,1.982350,1.905537,1.969264,1.969264,93579090
2023-03-17,1.969328,2.164696,1.943518,2.164696,2.164696,105141549
2023-03-18,2.164767,2.210996,2.076950,2.080994,2.080994,118033392
2023-03-19,2.080986,2.195660,2.080986,2.139902,2.139902,138394263
2023-03-20,2.139108,2.164485,1.982837,1.995489,1.995489,147819846
2023-03-21,1.995856,2.079564,1.936833,2.075113,2.075113,132189804
2023-03-22,2.074444,2.077652,1.891937,1.951644,1.951644,139337490
2023-03-23,1.951135,2.073256,1.926714,2.047607,2.047607,102467994
2023-03-24,2.047362,2.050422,1.939662,1.965802,1.965802,109117101
2023-03-25,1.965881,1.997213,1.899561,1.925053,1.925053,55990320
2023-03-26,1.925120,1.981466,1.917897,1.960756,1.960756,47862481
2023-03-27,1.960757,1.964532,1.818993,1.846497,1.846497,73976080
2023-03-28,1.846495,1.897770,1.813835,1.885977,1.885977,62205756
2023-03-29,1.885884,2.003637,1.880166,2.000603,2.000603,86022382
2023-03-30,2.000730,2.032381,1.908652,1.926225,1.926225,86755881
2023-03-31,1.926598,2.007516,1.893609,1.992150,1.992150,78871887
2023-04-01,1.991674,2.008184,1.962443,1.980423,1.980423,51843441
2023-04-02,1.988632,2.007977,1.896584,1.920489,1.920489,62984807
2023-04-03,1.920533,2.006910,1.865659,1.949150,1.949150,101370281
2023-04-04,1.949066,2.009747,1.918756,1.995279,1.995279,72664804
2023-04-05,1.995356,2.073701,1.990624,2.026716,2.026716,92128056
2023-04-06,2.026828,2.028166,1.950059,1.987000,1.987000,67371236
2023-04-07,1.987340,2.027182,1.955191,2.018572,2.018572,65542691
2023-04-08,2.018437,2.019626,1.955858,1.971328,1.971328,47283721
2023-04-09,1.971502,2.034514,1.934762,2.009909,2.009909,55992980
2023-04-10,2.009724,2.069162,1.969701,2.064467,2.064467,69204227
2023-04-11,2.064543,2.105061,2.044727,2.054643,2.054643,92440628
2023-04-12,2.054788,2.242520,1.975666,2.182623,2.182623,256515005
2023-04-13,2.226761,2.226761,2.162373,2.205723,2.205723,134400325
2023-04-14,2.205904,2.270523,2.157919,2.224053,2.224053,150427522
2023-04-15,2.224082,2.404381,2.179417,2.318843,2.318843,208460355
2023-04-16,2.318756,2.353249,2.270989,2.326128,2.326128,108720977
2023-04-17,2.325635,2.330863,2.246129,2.287198,2.287198,141704573
2023-04-18,2.287509,2.398457,2.249177,2.346395,2.346395,125909993
2023-04-19,2.346147,2.396640,2.125499,2.151523,2.151523,167894385
2023-04-20,2.151118,2.195938,2.025842,2.047061,2.047061,125243331
2023-04-21,2.047068,2.062947,1.894754,1.926617,1.926617,102038195
2023-04-22,1.926711,1.948895,1.900279,1.947094,1.947094,55625749
2023-04-23,1.947078,1.948088,1.855839,1.913986,1.913986,64035997
2023-04-24,1.913878,1.940673,1.854859,1.886756,1.886756,66183542
2023-04-25,1.886596,1.984134,1.846231,1.964224,1.964224,75431462
2023-04-26,1.964019,2.022331,1.800924,1.891046,1.891046,106165630
