Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,6.185538,7.266540,6.136419,7.157254,7.157254,49369202
2022-11-11,7.155099,7.185919,6.607451,6.800114,6.800114,44733597
2022-11-12,6.801437,6.815231,6.472988,6.560564,6.560564,19951897
2022-11-13,6.561646,7.083192,6.321424,6.647975,6.647975,71717197
2022-11-14,6.648350,6.793354,6.224779,6.700972,6.700972,48581863
2022-11-15,6.700796,6.959664,6.654810,6.787993,6.787993,27204636
2022-11-16,6.788177,6.853083,6.572614,6.646803,6.646803,19840774
2022-11-17,6.647609,6.712086,6.538194,6.584864,6.584864,18231225
2022-11-18,6.584791,6.714983,6.566664,6.642029,6.642029,15656876
2022-11-19,6.640924,6.793177,6.579195,6.771823,6.771823,15463398
2022-11-20,6.772753,6.898080,6.474455,6.481452,6.481452,23173520
2022-11-21,6.481470,6.556919,6.304637,6.436064,6.436064,36237322
2022-11-22,6.434067,6.655638,6.264643,6.639532,6.639532,23098120
2022-11-23,6.639668,6.988032,6.619230,6.975621,6.975621,26573694
2022-11-24,6.975822,7.039606,6.789229,6.853725,6.853725,27628855
2022-11-25,6.853788,6.914743,6.690644,6.876379,6.876379,18326782
2022-11-26,6.876663,7.049935,6.876641,6.987487,6.987487,20676528
2022-11-27,6.986614,7.019239,6.831875,6.836417,6.836417,14421414
2022-11-28,6.836728,6.894377,6.519031,6.614754,6.614754,24898657
2022-11-29,6.614324,6.766803,6.546955,6.690141,6.690141,33721160
2022-11-30,6.690356,7.019075,6.689109,6.993107,6.993107,21545384
2022-12-01,6.993706,7.007980,6.767523,6.781002,6.781002,16972707
2022-12-02,6.782558,7.005355,6.729192,6.994955,6.994955,24636188
2022-12-03,6.995245,7.010984,6.808447,6.813908,6.813908,25703540
2022-12-04,6.816319,6.938143,6.814759,6.910993,6.910993,28222997
2022-12-05,6.910937,7.041139,6.858319,6.935167,6.935167,17268063
2022-12-06,6.934993,7.158965,6.934610,7.147669,7.147669,26470284
2022-12-07,7.147876,7.147876,6.750498,6.853564,6.853564,23188410
2022-12-08,6.853299,7.086429,6.838071,7.078073,7.078073,23726624
2022-12-09,7.078417,7.134747,7.001102,7.034867,7.034867,19048413
2022-12-10,7.035270,7.369782,7.033070,7.171267,7.171267,91435040
2022-12-11,7.170941,7.349039,7.169079,7.230304,7.230304,90583951
2022-12-12,7.230002,7.475641,7.058437,7.443700,7.443700,70534725
2022-12-13,7.444009,7.455972,7.102978,7.298938,7.298938,70213861
2022-12-14,7.298903,7.345958,7.153406,7.175352,7.175352,45153665
2022-12-15,7.175156,7.304844,7.060720,7.272094,7.272094,33587439
2022-12-16,7.270833,7.461013,6.687438,6.717875,6.717875,45572254
2022-12-17,6.718777,6.720686,6.431051,6.698201,6.698201,27974500
2022-12-18,6.698437,6.786956,6.628808,6.733691,6.733691,15536628
2022-12-19,6.734683,6.792926,6.190781,6.298835,6.298835,20422174
2022-12-20,6.299275,6.566872,6.280585,6.554175,6.554175,17358923
2022-12-21,6.552824,6.552824,6.405728,6.454132,6.454132,14069119
2022-12-22,6.455934,6.481442,6.270543,6.439921,6.439921,15053912
2022-12-23,6.440332,6.498554,6.393646,6.418316,6.418316,14864031
2022-12-24,6.418459,6.439037,6.363975,6.390992,6.390992,10481691
2022-12-25,6.390677,6.406942,6.203990,6.261424,6.261424,14019925
2022-12-26,6.261193,6.295790,6.176343,6.250278,6.250278,14638512
2022-12-27,6.250390,6.297471,6.162759,6.190435,6.190435,16271356
2022-12-28,6.190682,6.224890,5.990222,6.061984,6.061984,21471560
2022-12-29,6.062336,6.210072,5.994316,6.174787,6.174787,19177466
2022-12-30,6.174280,6.176682,5.977782,6.081079,6.081079,18075015
2022-12-31,6.082409,6.188014,6.078270,6.129880,6.129880,11922786
2023-01-01,6.130007,6.428373,6.120348,6.396228,6.396228,29704094
2023-01-02,6.396401,6.533218,6.323454,6.519654,6.519654,21429617
2023-01-03,6.519863,6.583349,6.393297,6.440632,6.440632,26527547
2023-01-04,6.440552,6.632084,6.416981,6.589066,6.589066,29814428
2023-01-05,6.589033,6.768993,6.506918,6.518587,6.518587,28542979
2023-01-06,6.518608,6.574815,6.323899,6.560135,6.560135,26517045
