Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.725122,0.853492,0.713501,0.833620,0.833620,14152275
2022-11-11,0.833797,0.836564,0.695636,0.700276,0.700276,17656978
2022-11-12,0.700019,0.740491,0.664101,0.715006,0.715006,11814611
2022-11-13,0.715325,0.743304,0.678535,0.682474,0.682474,8500115
2022-11-14,0.682452,0.717135,0.641005,0.712200,0.712200,8917576
2022-11-15,0.712119,0.732814,0.702837,0.714594,0.714594,7136873
2022-11-16,0.714762,0.726395,0.671719,0.686130,0.686130,8951145
2022-11-17,0.686152,0.712177,0.679159,0.702079,0.702079,9434730
2022-11-18,0.702283,0.710225,0.683327,0.697143,0.697143,6067445
2022-11-19,0.696981,0.719091,0.694402,0.712079,0.712079,5264234
2022-11-20,0.712040,0.718328,0.677896,0.679907,0.679907,4058985
2022-11-21,0.679955,0.715617,0.652712,0.663297,0.663297,8782837
2022-11-22,0.663342,0.689171,0.654828,0.685302,0.685302,5088890
2022-11-23,0.685421,0.704322,0.682099,0.696628,0.696628,4588240
2022-11-24,0.696665,0.713996,0.691766,0.693600,0.693600,3782573
2022-11-25,0.693484,0.714099,0.687307,0.708396,0.708396,5382832
2022-11-26,0.708304,0.730652,0.694452,0.712687,0.712687,7863284
2022-11-27,0.712528,0.728334,0.690199,0.690199,0.690199,6148135
2022-11-28,0.690148,0.694630,0.653701,0.660931,0.660931,6530490
2022-11-29,0.660965,0.671832,0.637190,0.645195,0.645195,7600531
2022-11-30,0.645238,0.661035,0.636912,0.649205,0.649205,6348977
2022-12-01,0.649366,0.655633,0.634512,0.641415,0.641415,4642431
2022-12-02,0.641439,0.646845,0.635148,0.646078,0.646078,3917651
2022-12-03,0.646029,0.739893,0.640040,0.676495,0.676495,16116924
2022-12-04,0.676000,0.737685,0.674200,0.689258,0.689258,15407621
2022-12-05,0.689156,0.704872,0.647640,0.660009,0.660009,8440229
2022-12-06,0.660267,0.674342,0.641831,0.653725,0.653725,14260503
2022-12-07,0.653746,0.663055,0.612324,0.660345,0.660345,11367793
2022-12-08,0.660171,0.686730,0.658694,0.670997,0.670997,10271634
2022-12-09,0.670946,0.672495,0.662230,0.667776,0.667776,5324722
2022-12-10,0.667858,0.863099,0.664624,0.666432,0.666432,22947452
2022-12-11,0.666337,0.689691,0.663728,0.664443,0.664443,6208948
2022-12-12,0.664638,0.664638,0.647448,0.651163,0.651163,5176746
2022-12-13,0.651199,0.669159,0.641060,0.656120,0.656120,10939721
2022-12-14,0.656038,0.676308,0.650947,0.658518,0.658518,5820900
2022-12-15,0.658528,0.667291,0.647426,0.648295,0.648295,14221956
2022-12-16,0.648346,0.667380,0.607816,0.617531,0.617531,5698593
2022-12-17,0.617641,0.646776,0.615963,0.641646,0.641646,7831744
2022-12-18,0.641595,0.645785,0.635375,0.636547,0.636547,3144744
2022-12-19,0.636485,0.645368,0.622364,0.629690,0.629690,3636480
2022-12-20,0.630062,0.652396,0.628672,0.651713,0.651713,3480359
2022-12-21,0.651723,0.652352,0.634832,0.650750,0.650750,9352703
2022-12-22,0.650805,0.666319,0.640043,0.652372,0.652372,8465678
2022-12-23,0.652328,0.660094,0.642457,0.645891,0.645891,3068010
2022-12-24,0.645871,0.660523,0.643575,0.657091,0.657091,2928344
2022-12-25,0.657113,0.662959,0.648194,0.651409,0.651409,2847983
2022-12-26,0.651430,0.658639,0.646598,0.650419,0.650419,2680360
2022-12-27,0.649969,0.651358,0.626352,0.645226,0.645226,4481438
2022-12-28,0.645138,0.645491,0.624870,0.631744,0.631744,9059413
2022-12-29,0.631748,0.640050,0.626583,0.631255,0.631255,3274588
2022-12-30,0.630942,0.631302,0.618465,0.621881,0.621881,5289542
2022-12-31,0.621960,0.711389,0.616188,0.655650,0.655650,15629221
2023-01-01,0.656159,0.722543,0.655411,0.671644,0.671644,16079546
2023-01-02,0.671557,0.689095,0.666168,0.673133,0.673133,6918358
2023-01-03,0.673206,0.689106,0.669727,0.689106,0.689106,7128447
2023-01-04,0.689074,0.759148,0.688031,0.737663,0.737663,12510806
2023-01-05,0.737645,0.743033,0.698727,0.707262,0.707262,9037267
2023-01-06,0.707250,0.736396,0.706321,0.726283,0.726283,9143721
2023-01-07,0.726269,0.731844,0.711414,0.716122,0.716122,6866329
2023-01-08,0.716093,0.723830,0.701179,0.718261,0.718261,6987574
2023-01-09,0.718218,0.749108,0.718112,0.724804,0.724804,8434556
2023-01-10,0.724819,0.741754,0.719817,0.732728,0.732728,6484408
2023-01-11,0.732820,0.740730,0.717178,0.738173,0.738173,5577644
2023-01-12,0.745873,0.758570,0.702774,0.715819,0.715819,37844134
2023-01-13,0.715695,0.735632,0.698065,0.727986,0.727986,20855652
2023-01-14,0.728284,0.763952,0.716577,0.732668,0.732668,17842131
2023-01-15,0.732562,0.753360,0.721421,0.734685,0.734685,7116259
2023-01-16,0.734904,0.741922,0.708904,0.726292,0.726292,11172507
2023-01-17,0.726262,0.740138,0.711606,0.736946,0.736946,8362416
2023-01-18,0.737054,0.780950,0.710383,0.720461,0.720461,11497847
2023-01-19,0.720439,0.798485,0.706397,0.797766,0.797766,13446365
2023-01-20,0.797062,0.854047,0.794615,0.818939,0.818939,18311147
2023-01-21,0.819078,0.848400,0.795130,0.817887,0.817887,17564157
2023-01-22,0.818446,0.837324,0.818446,0.837282,0.837282,8178611
2023-01-23,0.837181,0.849923,0.813320,0.830190,0.830190,14300841
2023-01-24,0.830145,0.830145,0.793270,0.800854,0.800854,38199396
2023-01-25,0.801595,0.848057,0.781926,0.841264,0.841264,11388042
2023-01-26,0.841301,0.862417,0.822858,0.841639,0.841639,10157894
2023-01-27,0.841672,0.849620,0.816219,0.842777,0.842777,7623529
2023-01-28,0.842934,0.852872,0.829122,0.836090,0.836090,6708907
2023-01-29,0.836040,0.858526,0.834041,0.852592,0.852592,5796438
2023-01-30,0.852660,0.857794,0.801418,0.819850,0.819850,7358614
2023-01-31,0.819863,0.826601,0.809540,0.820286,0.820286,6613354
2023-02-01,0.820238,0.826702,0.795481,0.823924,0.823924,9034276
2023-02-02,0.823660,0.892709,0.806358,0.807457,0.807457,17752611
2023-02-03,0.807478,0.819413,0.799412,0.811074,0.811074,6852642
2023-02-04,0.811189,0.815762,0.781653,0.784749,0.784749,7773551
2023-02-05,0.784713,0.796676,0.763383,0.766337,0.766337,6295987
2023-02-06,0.766172,0.777915,0.754712,0.754993,0.754993,5246229
2023-02-07,0.754899,0.774520,0.750285,0.773080,0.773080,6393951
2023-02-08,0.773029,0.779112,0.746872,0.748153,0.748153,6097254
2023-02-09,0.748420,0.751243,0.715812,0.723037,0.723037,7374158
2023-02-10,0.723026,0.750301,0.717301,0.721003,0.721003,9934574
2023-02-11,0.721048,0.730883,0.712160,0.716957,0.716957,4903040
2023-02-12,0.716785,0.722436,0.703503,0.706933,0.706933,6830378
2023-02-13,0.707300,0.729143,0.687506,0.717796,0.717796,9993463
2023-02-14,0.717936,0.733258,0.700915,0.729957,0.729957,7775902
2023-02-15,0.729915,0.741682,0.709932,0.739042,0.739042,7920215
2023-02-16,0.739136,0.761158,0.724097,0.724568,0.724568,8807747
2023-02-17,0.724315,0.761111,0.722275,0.753252,0.753252,6275811
2023-02-18,0.753261,0.759227,0.744844,0.752805,0.752805,5687210
2023-02-19,0.752436,0.757104,0.727242,0.727242,0.727242,5559513
2023-02-20,0.727431,0.747127,0.724706,0.739019,0.739019,6762641
2023-02-21,0.739066,0.747428,0.726190,0.729420,0.729420,5342213
2023-02-22,0.729450,0.742597,0.715461,0.742215,0.742215,7444984
2023-02-23,0.742350,0.784774,0.736602,0.748370,0.748370,11315304
2023-02-24,0.748357,0.749855,0.714655,0.717566,0.717566,4952668
2023-02-25,0.717514,0.724311,0.695170,0.706220,0.706220,4381631
2023-02-26,0.706318,0.724782,0.705000,0.718644,0.718644,3754868
2023-02-27,0.718632,0.722822,0.697791,0.707417,0.707417,4375006
2023-02-28,0.707516,0.711385,0.687339,0.689633,0.689633,3972058
