Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.075864,0.090619,0.074219,0.087429,0.087429,12905080
2022-11-11,0.087386,0.089503,0.079159,0.082851,0.082851,7358248
2022-11-12,0.082732,0.082993,0.076447,0.076811,0.076811,4073664
2022-11-13,0.076584,0.078798,0.074194,0.077121,0.077121,5374628
2022-11-14,0.077126,0.078933,0.072835,0.078036,0.078036,5838847
2022-11-15,0.078026,0.082257,0.077101,0.081243,0.081243,4208090
2022-11-16,0.081353,0.087249,0.076654,0.077426,0.077426,5643356
2022-11-17,0.077410,0.078874,0.075803,0.076985,0.076985,3274690
2022-11-18,0.077009,0.078456,0.075783,0.077036,0.077036,2538441
2022-11-19,0.077025,0.078788,0.075580,0.078153,0.078153,2489264
2022-11-20,0.078174,0.079481,0.074248,0.074916,0.074916,2966561
2022-11-21,0.074908,0.077267,0.071966,0.076261,0.076261,5679819
2022-11-22,0.076234,0.077950,0.071582,0.077771,0.077771,3601617
2022-11-23,0.077798,0.082970,0.077194,0.079900,0.079900,3894300
2022-11-24,0.079836,0.081522,0.077034,0.078633,0.078633,2335483
2022-11-25,0.078616,0.079610,0.076854,0.078853,0.078853,4803934
2022-11-26,0.078854,0.081734,0.078763,0.080356,0.080356,2822731
2022-11-27,0.080357,0.084382,0.079655,0.079812,0.079812,3919195
2022-11-28,0.079817,0.080645,0.076845,0.078764,0.078764,2746583
2022-11-29,0.078771,0.081438,0.077442,0.080028,0.080028,2875499
2022-11-30,0.080262,0.083656,0.080128,0.083388,0.083388,2990284
2022-12-01,0.083364,0.090135,0.081669,0.084374,0.084374,6857447
2022-12-02,0.084380,0.084880,0.082012,0.083582,0.083582,2882998
2022-12-03,0.083578,0.094790,0.083578,0.085892,0.085892,21686393
2022-12-04,0.085904,0.087410,0.083736,0.084296,0.084296,3746880
2022-12-05,0.084281,0.087156,0.082308,0.083622,0.083622,3943195
2022-12-06,0.083619,0.085670,0.083364,0.084512,0.084512,2549701
2022-12-07,0.084501,0.085201,0.080344,0.080847,0.080847,3098027
2022-12-08,0.080869,0.083237,0.079777,0.082699,0.082699,2246280
2022-12-09,0.082704,0.086820,0.082577,0.085147,0.085147,3830808
2022-12-10,0.085144,0.087214,0.084390,0.084900,0.084900,2948563
2022-12-11,0.084889,0.085063,0.081345,0.081976,0.081976,2629612
2022-12-12,0.081973,0.081973,0.079016,0.080832,0.080832,2210156
2022-12-13,0.080829,0.090947,0.077450,0.085390,0.085390,9780579
2022-12-14,0.085360,0.085983,0.082707,0.084731,0.084731,3598591
2022-12-15,0.084602,0.084604,0.081402,0.082041,0.082041,2261785
2022-12-16,0.082035,0.084984,0.077271,0.078303,0.078303,7139124
2022-12-17,0.078276,0.080224,0.076147,0.080169,0.080169,2509549
2022-12-18,0.080128,0.082198,0.079120,0.079486,0.079486,2169436
2022-12-19,0.079490,0.081479,0.078170,0.078391,0.078391,2507833
2022-12-20,0.078386,0.082169,0.078166,0.081092,0.081092,2195743
2022-12-21,0.081058,0.081159,0.079579,0.080844,0.080844,2096756
2022-12-22,0.080908,0.081299,0.079085,0.080747,0.080747,1759663
2022-12-23,0.080745,0.081742,0.080434,0.080697,0.080697,1785002
2022-12-24,0.080698,0.082125,0.080698,0.081081,0.081081,1679957
