Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,18.089703,20.463484,17.613419,20.165878,20.165878,27112275
2022-11-11,20.162466,20.393608,18.834887,19.292395,19.292395,24090770
2022-11-12,19.295273,19.385962,18.414925,18.444691,18.444691,17792080
2022-11-13,18.447369,18.641426,17.721300,17.750978,17.750978,15310979
2022-11-14,17.746284,18.702351,17.374338,18.698395,18.698395,18003234
2022-11-15,18.758480,19.138088,18.651709,18.694248,18.694248,14100666
2022-11-16,18.698215,19.962873,18.687496,19.333279,19.333279,14554984
2022-11-17,19.342030,19.484306,18.702566,18.937347,18.937347,13254469
2022-11-18,18.930937,19.879646,18.930937,19.879646,19.879646,14824726
2022-11-19,19.894297,20.804552,19.763987,20.538862,20.538862,18086890
2022-11-20,20.518291,20.841213,20.091484,20.108639,20.108639,15062000
2022-11-21,20.111696,20.111696,19.551107,19.831898,19.831898,17038186
2022-11-22,19.820498,20.240353,19.572346,20.139311,20.139311,13601404
2022-11-23,20.149584,21.662107,20.136465,21.406504,21.406504,21713456
2022-11-24,21.401863,21.634279,20.786509,21.115461,21.115461,16210576
2022-11-25,21.102974,21.162071,20.524647,20.960997,20.960997,15026317
2022-11-26,20.960197,21.257973,20.808786,21.035364,21.035364,14346822
2022-11-27,21.043564,21.165730,20.849047,20.870272,20.870272,13118968
2022-11-28,20.872053,21.032806,20.198809,20.356667,20.356667,14209776
2022-11-29,20.359158,20.713972,20.243866,20.520008,20.520008,14125943
2022-11-30,20.520718,21.605806,20.519527,21.487103,21.487103,17260823
2022-12-01,21.480339,22.279634,21.455433,21.885223,21.885223,20070083
2022-12-02,21.885263,22.207352,21.756123,22.196770,22.196770,14635805
2022-12-03,22.197437,22.210030,21.665478,21.688992,21.688992,13137058
2022-12-04,21.658657,21.827475,21.535738,21.758068,21.758068,13839805
2022-12-05,21.750713,22.076447,21.203844,21.292740,21.292740,13723420
2022-12-06,21.299925,21.421862,20.964422,21.064981,21.064981,11194789
2022-12-07,21.063704,21.222151,20.548161,20.824263,20.824263,13094183
2022-12-08,20.832308,20.907394,20.670469,20.858532,20.858532,12637377
2022-12-09,20.860884,21.435415,20.753906,21.320711,21.320711,14470923
2022-12-10,21.331102,21.813408,21.248798,21.280331,21.280331,14872217
2022-12-11,21.285162,21.425556,21.071081,21.076443,21.076443,13521558
2022-12-12,21.068338,21.387821,20.350327,21.134113,21.134113,16364153
2022-12-13,21.144585,23.298780,21.024830,22.932058,22.932058,27686823
2022-12-14,22.931185,23.447090,22.792603,22.807419,22.807419,18258532
2022-12-15,22.807570,22.970203,22.549934,22.827566,22.827566,15845087
2022-12-16,22.819624,24.501827,22.199739,22.199739,22.199739,40300010
2022-12-17,22.193069,23.300314,21.511129,22.046930,22.046930,24973704
2022-12-18,22.047611,22.802298,21.651262,21.672916,21.672916,7710483
2022-12-19,21.687275,22.095129,21.252609,21.264172,21.264172,17989748
2022-12-20,21.271940,23.185991,21.271940,22.737219,22.737219,22912380
2022-12-21,22.749996,22.844654,22.294081,22.683466,22.683466,18574895
2022-12-22,22.682095,22.902431,21.597546,21.730932,21.730932,19435015
2022-12-23,21.733536,22.274681,21.685390,22.168713,22.168713,15195962
2022-12-24,22.177137,22.247011,21.682905,21.800318,21.800318,12432713
2022-12-25,21.804356,23.246264,21.796068,23.149010,23.149010,19457592
2022-12-26,23.154749,23.251204,22.963207,23.158543,23.158543,13561022
2022-12-27,23.153442,24.188343,22.955687,23.989487,23.989487,18427096
2022-12-28,23.995516,24.053022,23.531183,23.884985,23.884985,16696715
2022-12-29,23.884853,24.232571,23.646240,24.152515,24.152515,14603556
2022-12-30,24.140999,25.318972,23.797981,25.318972,25.318972,23423960
2022-12-31,25.326315,26.505020,25.270620,26.004736,26.004736,23048443
2023-01-01,26.008539,27.534401,25.913496,27.453880,27.453880,24291869
2023-01-02,27.456949,31.009014,26.149519,29.198105,29.198105,59061315
2023-01-03,29.199215,30.368359,28.295847,28.486441,28.486441,32231371
2023-01-04,28.486332,28.959002,27.282846,27.396877,27.396877,32821966
2023-01-05,27.374933,27.478662,26.713085,27.250887,27.250887,25669941
2023-01-06,27.148199,27.148199,26.409517,26.851543,26.851543,20059735
2023-01-07,26.852810,27.486675,26.851967,27.051451,27.051451,18385757
2023-01-08,27.059036,27.907309,26.436056,26.800655,26.800655,22738808
2023-01-09,26.797277,27.427925,26.680998,26.701431,26.701431,20853365
2023-01-10,26.686834,27.802479,26.479111,27.154394,27.154394,21109182
2023-01-11,27.155233,27.837950,27.120010,27.743122,27.743122,19117200
2023-01-12,28.424454,29.617697,28.129656,29.595263,29.595263,26931896
2023-01-13,29.513075,30.822281,29.040827,30.614443,30.614443,22288257
2023-01-14,30.580694,32.702129,30.310616,32.322601,32.322601,30865516
2023-01-15,32.367619,32.367619,31.164700,31.316193,31.316193,21526974
2023-01-16,31.309256,32.281281,31.122791,31.635185,31.635185,23409119
2023-01-17,31.646011,32.255196,31.250772,32.091751,32.091751,20220481
2023-01-18,32.117733,33.092922,30.674496,30.799923,30.799923,23913178
2023-01-19,30.794495,31.116055,30.240171,30.999786,30.999786,19181726
2023-01-20,31.005777,34.121624,30.881109,33.978863,33.978863,26386194
2023-01-21,34.032631,36.135509,33.761238,35.276817,35.276817,34065417
2023-01-22,35.251385,38.728794,35.239426,36.680882,36.680882,37581984
2023-01-23,36.792286,36.792286,35.383289,36.180012,36.180012,28087155
2023-01-24,36.151474,36.644096,34.899544,35.154293,35.154293,33184493
2023-01-25,35.074100,36.632938,34.827248,36.513783,36.513783,26086932
2023-01-26,36.482227,36.495075,35.489491,35.991077,35.991077,22488351
2023-01-27,35.951862,36.525642,35.493965,36.279957,36.279957,20354039
2023-01-28,36.287605,39.561775,36.205166,39.288342,39.288342,33938612
2023-01-29,39.275597,40.229752,38.946690,39.770004,39.770004,28778923
2023-01-30,39.753963,39.753963,36.928684,37.406643,37.406643,29890838
2023-01-31,37.428883,38.299313,37.068230,37.623962,37.623962,24166253
2023-02-01,37.609325,38.242172,35.802174,37.921486,37.921486,26012931
2023-02-02,37.817108,40.866035,37.817108,39.737324,39.737324,36381938
2023-02-03,39.715759,41.733215,38.852760,41.043148,41.043148,29073797
2023-02-04,41.062828,41.849453,40.931286,41.131310,41.131310,24590444
2023-02-05,41.125603,44.762413,40.452229,44.762413,44.762413,41252990
2023-02-06,44.775578,45.200481,43.654671,43.654671,43.654671,22663999
2023-02-07,43.666611,45.792664,43.666611,45.627834,45.627834,43119376
2023-02-08,45.657318,45.945934,43.513889,45.158241,45.158241,52641900
2023-02-09,45.165779,45.389751,38.926918,39.123116,39.123116,70203737
2023-02-10,39.120373,41.362007,38.976563,41.297726,41.297726,55752904
2023-02-11,41.307930,41.745548,40.516998,41.292076,41.292076,44091322
2023-02-12,41.287483,41.491909,40.780182,40.836544,40.836544,36987163
2023-02-13,40.787205,41.042130,39.344177,40.665901,40.665901,54008740
2023-02-14,40.672108,42.270355,40.060120,42.159290,42.159290,55849438
2023-02-15,41.970932,45.377548,41.560028,45.372211,45.372211,57274070
2023-02-16,45.362793,52.310921,45.095535,47.290051,47.290051,129363079
2023-02-17,47.311890,57.764473,47.201504,57.764473,57.764473,121413234
2023-02-18,57.730858,58.460213,50.858887,52.793686,52.793686,121869090
2023-02-19,52.869896,54.423481,51.516296,52.236404,52.236404,77878672
2023-02-20,52.183025,54.437706,51.825188,52.829933,52.829933,70936679
2023-02-21,52.826267,53.250832,49.838242,50.291832,50.291832,64854410
2023-02-22,50.297970,52.562996,48.326569,52.440239,52.440239,66667367
2023-02-23,52.464878,52.635986,50.555679,52.273411,52.273411,60088157
2023-02-24,52.263622,52.914452,47.397018,49.262226,49.262226,64824156
2023-02-25,49.275135,51.167484,48.683739,50.840748,50.840748,54381351
2023-02-26,50.813648,53.495926,50.533424,53.000168,53.000168,57784282
2023-02-27,53.007679,53.106800,51.577778,52.044243,52.044243,54602637
2023-02-28,52.042999,52.046425,50.674175,51.723392,51.723392,47697120
2023-03-01,51.728130,52.317638,50.600834,51.279556,51.279556,45090608
2023-03-02,51.290112,51.424294,49.381458,50.610023,50.610023,39737691
