Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.788628,1.094074,0.773532,1.043221,1.043221,244791283
2022-11-11,1.042166,1.055503,0.927279,1.017825,1.017825,178500586
2022-11-12,1.017999,1.020100,0.910883,0.918770,0.918770,75295836
2022-11-13,0.918912,0.951356,0.873284,0.900596,0.900596,83170005
2022-11-14,0.901392,0.978582,0.839915,0.923663,0.923663,113419349
2022-11-15,0.924036,0.949951,0.905125,0.933607,0.933607,66106596
2022-11-16,0.934069,0.957690,0.876205,0.899654,0.899654,62779252
2022-11-17,0.899814,0.904679,0.868803,0.888979,0.888979,49999447
2022-11-18,0.888897,0.924386,0.882043,0.916427,0.916427,56054805
2022-11-19,0.915696,0.937725,0.889626,0.931196,0.931196,38627963
2022-11-20,0.931121,0.940573,0.843799,0.847666,0.847666,47076829
2022-11-21,0.847687,0.850686,0.805127,0.845643,0.845643,69512555
2022-11-22,0.845370,0.872130,0.809003,0.859126,0.859126,54545842
2022-11-23,0.859203,0.946099,0.844565,0.930725,0.930725,71125568
2022-11-24,0.930878,0.961906,0.917748,0.946705,0.946705,64723936
2022-11-25,0.946683,0.946683,0.907869,0.921508,0.921508,33333855
2022-11-26,0.921418,0.944556,0.897708,0.907127,0.907127,35273909
2022-11-27,0.907021,0.923142,0.882719,0.884106,0.884106,28846463
2022-11-28,0.883950,0.889935,0.844013,0.871528,0.871528,37178569
2022-11-29,0.871512,0.904287,0.863205,0.891186,0.891186,32159186
2022-11-30,0.891253,1.013103,0.891253,1.002905,1.002905,74429967
2022-12-01,1.003063,1.082224,1.001285,1.055407,1.055407,97445845
2022-12-02,1.056492,1.131444,1.038798,1.107343,1.107343,88758155
2022-12-03,1.107488,1.113576,1.039371,1.041077,1.041077,44125833
2022-12-04,1.040917,1.070239,1.015957,1.070239,1.070239,49591171
2022-12-05,1.070068,1.090480,1.005860,1.028005,1.028005,54516493
2022-12-06,1.028023,1.065965,1.016446,1.059667,1.059667,42452326
2022-12-07,1.059753,1.068177,0.992773,1.022955,1.022955,51980883
2022-12-08,1.023071,1.089604,1.005345,1.079722,1.079722,56232225
2022-12-09,1.079710,1.113841,1.060750,1.068678,1.068678,80510076
2022-12-10,1.068522,1.084524,1.041216,1.047048,1.047048,38520308
2022-12-11,1.047184,1.065174,1.014708,1.015600,1.015600,32619770
2022-12-12,1.015478,1.043699,0.990223,1.043699,1.043699,48130598
2022-12-13,1.043770,1.143999,1.001850,1.134808,1.134808,103794185
2022-12-14,1.135460,1.188807,1.130998,1.149509,1.149509,108751311
2022-12-15,1.149493,1.162955,1.045683,1.065879,1.065879,71839839
2022-12-16,1.065869,1.085394,0.928417,0.944026,0.944026,109872455
2022-12-17,0.944376,0.956414,0.903315,0.945149,0.945149,64329747
2022-12-18,0.945250,0.957949,0.923584,0.926552,0.926552,34814464
2022-12-19,0.926646,0.944234,0.873945,0.883035,0.883035,47180620
2022-12-20,0.883373,0.978545,0.881020,0.972705,0.972705,71928975
2022-12-21,0.972477,0.976713,0.950473,0.961794,0.961794,46530818
2022-12-22,0.961897,0.964378,0.901967,0.949891,0.949891,52967040
2022-12-23,0.949925,0.964353,0.946011,0.954147,0.954147,34340044
2022-12-24,0.954170,0.958983,0.928786,0.932718,0.932718,24509421
2022-12-25,0.932726,0.936940,0.907736,0.932602,0.932602,29568219
2022-12-26,0.932949,0.948965,0.922816,0.948847,0.948847,24709650
2022-12-27,0.948871,0.961293,0.925431,0.939755,0.939755,43907956
2022-12-28,0.939793,0.942299,0.892029,0.895891,0.895891,58115911
2022-12-29,0.896025,0.920117,0.883531,0.914536,0.914536,39535782
2022-12-30,0.914517,0.915195,0.899530,0.912491,0.912491,44822602
2022-12-31,0.912337,0.930472,0.907333,0.917185,0.917185,26060037
2023-01-01,0.917129,0.929462,0.910184,0.923119,0.923119,21844459
2023-01-02,0.923100,0.972011,0.911050,0.957858,0.957858,47937792
2023-01-03,0.957888,0.981120,0.947056,0.956446,0.956446,51385425
2023-01-04,0.956440,1.052065,0.954195,1.029816,1.029816,79166866
2023-01-05,1.029728,1.039669,1.011195,1.023539,1.023539,60672298
2023-01-06,1.023535,1.095647,0.986274,1.085900,1.085900,122175345
2023-01-07,1.085859,1.126321,1.081033,1.095470,1.095470,113663377
2023-01-08,1.095481,1.262512,1.072312,1.260857,1.260857,154748335
2023-01-09,1.260728,1.348194,1.236988,1.254069,1.254069,200241183
2023-01-10,1.253868,1.287094,1.221883,1.266481,1.266481,117951542
2023-01-11,1.266294,1.291080,1.209279,1.280020,1.280020,112077174
2023-01-12,1.378449,1.412979,1.252465,1.392710,1.392710,235553975
2023-01-13,1.392609,1.642516,1.366560,1.591749,1.591749,251765925
2023-01-14,1.591635,1.775066,1.524932,1.725040,1.725040,376203405
2023-01-15,1.725901,1.878035,1.620396,1.823836,1.823836,241386717
2023-01-16,1.823775,1.866916,1.726881,1.790414,1.790414,211229972
2023-01-17,1.790981,1.890021,1.732864,1.734703,1.734703,178838725
2023-01-18,1.734827,1.790241,1.618829,1.665501,1.665501,214200020
2023-01-19,1.664708,1.752356,1.631348,1.750463,1.750463,131055218
2023-01-20,1.749728,2.153093,1.720283,2.151573,2.151573,249358452
2023-01-21,2.152543,2.463562,2.075592,2.204627,2.204627,505349615
2023-01-22,2.202980,2.477434,2.128589,2.182641,2.182641,309663530
2023-01-23,2.182320,2.304073,2.116910,2.175455,2.175455,258282434
2023-01-24,2.173887,2.345879,1.955757,1.993794,1.993794,253365955
2023-01-25,1.994118,2.522706,1.944929,2.382783,2.382783,542812633
2023-01-26,2.382091,2.476457,2.158264,2.219405,2.219405,321279558
2023-01-27,2.219536,2.371781,2.119114,2.271117,2.271117,280630205
2023-01-28,2.271662,2.363086,2.126840,2.187365,2.187365,199917462
2023-01-29,2.187766,2.443736,2.137233,2.376976,2.376976,229996458
2023-01-30,2.377568,2.383102,2.067017,2.127364,2.127364,287886010
2023-01-31,2.127280,2.251219,2.079811,2.169502,2.169502,178396562
2023-02-01,2.169136,2.777721,2.124215,2.722159,2.722159,539163261
2023-02-02,2.721261,3.106632,2.673541,2.788865,2.788865,562996376
