Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.000005,0.000006,0.000005,0.000006,0.000006,0
2022-11-11,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-12,0.000006,0.000006,0.000006,0.000006,0.000006,86
2022-11-13,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-14,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-15,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-16,0.000006,0.000006,0.000006,0.000006,0.000006,16
2022-11-17,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-18,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-19,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-20,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-21,0.000006,0.000006,0.000005,0.000005,0.000005,212
2022-11-22,0.000005,0.000006,0.000005,0.000006,0.000006,0
2022-11-23,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-24,0.000006,0.000006,0.000006,0.000006,0.000006,5
2022-11-25,0.000006,0.000006,0.000006,0.000006,0.000006,1
2022-11-26,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-27,0.000006,0.000006,0.000006,0.000006,0.000006,6
2022-11-28,0.000006,0.000006,0.000006,0.000006,0.000006,158
2022-11-29,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-11-30,0.000006,0.000006,0.000006,0.000006,0.000006,1
2022-12-01,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-12-02,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-12-03,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-12-04,0.000006,0.000006,0.000006,0.000006,0.000006,6
2022-12-05,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-12-06,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-12-07,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-12-08,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-12-09,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-12-10,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-12-11,0.000006,0.000006,0.000006,0.000006,0.000006,0
2022-12-12,null,null,null,null,null,null
2022-12-13,null,null,null,null,null,null
2022-12-14,null,null,null,null,null,null
2022-12-15,null,null,null,null,null,null
2022-12-16,null,null,null,null,null,null
2022-12-17,null,null,null,null,null,null
2022-12-18,null,null,null,null,null,null
2022-12-19,null,null,null,null,null,null
2022-12-20,null,null,null,null,null,null
2022-12-21,null,null,null,null,null,null
2022-12-22,null,null,null,null,null,null
2022-12-23,null,null,null,null,null,null
2022-12-24,null,null,null,null,null,null
2022-12-25,null,null,null,null,null,null
2022-12-26,null,null,null,null,null,null
2022-12-27,null,null,null,null,null,null
2022-12-28,null,null,null,null,null,null
2022-12-29,null,null,null,null,null,null
2022-12-30,null,null,null,null,null,null
2022-12-31,null,null,null,null,null,null
2023-01-01,null,null,null,null,null,null
2023-01-02,null,null,null,null,null,null
2023-01-03,null,null,null,null,null,null
2023-01-04,null,null,null,null,null,null
2023-01-05,null,null,null,null,null,null
2023-01-06,null,null,null,null,null,null
2023-01-07,null,null,null,null,null,null
2023-01-08,null,null,null,null,null,null
2023-01-09,null,null,null,null,null,null
2023-01-10,null,null,null,null,null,null
2023-01-11,null,null,null,null,null,null
2023-01-12,null,null,null,null,null,null
2023-01-13,null,null,null,null,null,null
2023-01-14,null,null,null,null,null,null
2023-01-15,null,null,null,null,null,null
2023-01-16,null,null,null,null,null,null
2023-01-17,null,null,null,null,null,null
2023-01-18,null,null,null,null,null,null
2023-01-19,null,null,null,null,null,null
2023-01-20,null,null,null,null,null,null
2023-01-21,null,null,null,null,null,null
2023-01-22,null,null,null,null,null,null
2023-01-23,null,null,null,null,null,null
2023-01-24,null,null,null,null,null,null
2023-01-25,null,null,null,null,null,null
2023-01-26,null,null,null,null,null,null
2023-01-27,null,null,null,null,null,null
2023-01-28,null,null,null,null,null,null
2023-01-29,null,null,null,null,null,null
2023-01-30,null,null,null,null,null,null
2023-01-31,null,null,null,null,null,null
2023-02-01,null,null,null,null,null,null
2023-02-02,null,null,null,null,null,null
2023-02-03,null,null,null,null,null,null
2023-02-04,null,null,null,null,null,null
2023-02-05,null,null,null,null,null,null
2023-02-06,null,null,null,null,null,null
2023-02-07,null,null,null,null,null,null
2023-02-08,null,null,null,null,null,null
2023-02-09,null,null,null,null,null,null
2023-02-10,null,null,null,null,null,null
2023-02-11,null,null,null,null,null,null
2023-02-12,null,null,null,null,null,null
2023-02-13,null,null,null,null,null,null
2023-02-14,null,null,null,null,null,null
2023-02-15,null,null,null,null,null,null
2023-02-16,null,null,null,null,null,null
2023-02-17,null,null,null,null,null,null
