Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,1.032266,1.245900,1.023554,1.228327,1.228327,66629312
2022-11-11,1.228021,1.231890,1.120168,1.154816,1.154816,33683230
2022-11-12,1.154838,1.158041,1.100017,1.111067,1.111067,14731412
2022-11-13,1.111216,1.154526,1.094787,1.132658,1.132658,27587902
2022-11-14,1.132603,1.207816,1.079852,1.192546,1.192546,45957595
2022-11-15,1.192508,1.278304,1.187694,1.233759,1.233759,45759699
2022-11-16,1.233749,1.248837,1.176326,1.197082,1.197082,25744489
2022-11-17,1.197284,1.206246,1.168994,1.189550,1.189550,18474785
2022-11-18,1.189421,1.215301,1.188008,1.199525,1.199525,12952810
2022-11-19,1.199148,1.232335,1.177778,1.224708,1.224708,14361837
2022-11-20,1.224554,1.233976,1.146342,1.155022,1.155022,18119564
2022-11-21,1.155011,1.155011,1.091654,1.109675,1.109675,27666366
2022-11-22,1.108719,1.125913,1.059058,1.123121,1.123121,19613565
2022-11-23,1.126059,1.178825,1.124676,1.177456,1.177456,17090482
2022-11-24,1.177518,1.197210,1.169837,1.181136,1.181136,13255042
2022-11-25,1.180959,1.192399,1.151995,1.190927,1.190927,13135859
2022-11-26,1.190672,1.225070,1.183589,1.189862,1.189862,11949830
2022-11-27,1.189517,1.207675,1.180559,1.182472,1.182472,9126211
2022-11-28,1.182335,1.187006,1.135145,1.168670,1.168670,18762761
2022-11-29,1.169830,1.243553,1.158732,1.228615,1.228615,21393427
2022-11-30,1.228709,1.295572,1.228709,1.292648,1.292648,22814422
2022-12-01,1.292898,1.333963,1.262089,1.325090,1.325090,23864263
2022-12-02,1.325189,1.379290,1.313104,1.378314,1.378314,30498453
2022-12-03,1.378369,1.395368,1.322045,1.325895,1.325895,21243236
2022-12-04,1.325872,1.381151,1.325307,1.377556,1.377556,25628100
2022-12-05,1.377327,1.417435,1.352339,1.375718,1.375718,20684366
2022-12-06,1.375733,1.396474,1.364018,1.387940,1.387940,15688734
2022-12-07,1.388691,1.389750,1.327234,1.375889,1.375889,19931680
2022-12-08,1.376080,1.431668,1.359822,1.425586,1.425586,39195258
2022-12-09,1.425588,1.434144,1.376691,1.381160,1.381160,29519100
2022-12-10,1.381156,1.424612,1.380151,1.413665,1.413665,21265214
2022-12-11,1.413812,1.426437,1.379135,1.379923,1.379923,18942616
2022-12-12,1.379733,1.393306,1.356226,1.389086,1.389086,29593766
2022-12-13,1.389069,1.428938,1.339683,1.417172,1.417172,46367764
2022-12-14,1.417163,1.492751,1.417163,1.467504,1.467504,62419671
2022-12-15,1.467586,1.486748,1.440722,1.448481,1.448481,41475832
2022-12-16,1.448413,1.478691,1.311415,1.319752,1.319752,60439571
2022-12-17,1.319609,1.328144,1.277669,1.307228,1.307228,40777955
2022-12-18,1.307203,1.325777,1.293928,1.320043,1.320043,21057259
2022-12-19,1.320135,1.350980,1.299457,1.299638,1.299638,38518185
2022-12-20,1.299769,1.370088,1.291472,1.359430,1.359430,37913694
2022-12-21,1.359416,1.388045,1.347977,1.376283,1.376283,28888027
2022-12-22,1.376397,1.386936,1.339519,1.386410,1.386410,28488843
2022-12-23,1.386330,1.411914,1.381912,1.395172,1.395172,22008986
2022-12-24,1.395118,1.406683,1.391613,1.395275,1.395275,13105866
2022-12-25,1.395315,1.400183,1.365748,1.384079,1.384079,15636977
2022-12-26,1.383999,1.390421,1.366518,1.388468,1.388468,13385736
2022-12-27,1.388411,1.396346,1.372473,1.378862,1.378862,15660030
2022-12-28,1.378849,1.383197,1.312410,1.316241,1.316241,22358468
2022-12-29,1.316202,1.324348,1.277010,1.301419,1.301419,30155918
2022-12-30,1.301215,1.301215,1.258722,1.273070,1.273070,21761274
2022-12-31,1.273124,1.289664,1.265573,1.274761,1.274761,13247284
2023-01-01,1.274752,1.285871,1.266998,1.285871,1.285871,9456467
2023-01-02,1.285822,1.325573,1.275886,1.315161,1.315161,19736600
2023-01-03,1.315137,1.328790,1.303620,1.322248,1.322248,18569248
2023-01-04,1.322218,1.367832,1.320799,1.354845,1.354845,30262007
2023-01-05,1.354867,1.362953,1.337752,1.346350,1.346350,21269859
2023-01-06,1.346324,1.376296,1.330456,1.375624,1.375624,19051992
2023-01-07,1.375623,1.383138,1.361577,1.371485,1.371485,13152116
2023-01-08,1.371373,1.418397,1.358381,1.417076,1.417076,17058721
2023-01-09,1.417121,1.487141,1.417121,1.439522,1.439522,48041020
2023-01-10,1.439522,1.474518,1.420838,1.462842,1.462842,29829047
2023-01-11,1.462925,1.469674,1.406297,1.469674,1.469674,38233624
2023-01-12,1.505721,1.582821,1.492729,1.566187,1.566187,72974072
2023-01-13,1.566105,1.679000,1.541580,1.679000,1.679000,52897449
2023-01-14,1.678475,1.805655,1.674119,1.761337,1.761337,111960820
2023-01-15,1.761522,1.804079,1.700947,1.749522,1.749522,74884270
2023-01-16,1.749410,1.820021,1.687963,1.765211,1.765211,80371438
2023-01-17,1.765374,1.775171,1.704645,1.704645,1.704645,44511343
2023-01-18,1.704303,1.746314,1.595953,1.598419,1.598419,64376369
2023-01-19,1.597982,1.654828,1.595814,1.646829,1.646829,31540783
2023-01-20,1.646825,1.793090,1.631798,1.792689,1.792689,45536684
2023-01-21,1.792581,1.844470,1.754193,1.754742,1.754742,59616778
2023-01-22,1.754503,1.828751,1.728697,1.757390,1.757390,54408571
2023-01-23,1.757341,1.788788,1.734871,1.749003,1.749003,27164397
2023-01-24,1.748131,1.867835,1.671453,1.683081,1.683081,59701453
2023-01-25,1.683158,1.802273,1.647525,1.763100,1.763100,65265634
2023-01-26,1.762761,1.792854,1.731308,1.767297,1.767297,53552255
2023-01-27,1.767223,1.914668,1.721788,1.887612,1.887612,90452253
2023-01-28,1.887685,1.907605,1.817064,1.834908,1.834908,50882316
2023-01-29,1.834920,1.935743,1.823840,1.916383,1.916383,54945467
2023-01-30,1.916268,1.917373,1.728028,1.753765,1.753765,68068533
2023-01-31,1.754275,1.799801,1.747339,1.770343,1.770343,38370124
2023-02-01,1.770141,1.837481,1.690304,1.832238,1.832238,58682849
2023-02-02,1.832120,1.966295,1.832120,1.848196,1.848196,76815937
2023-02-03,1.847783,1.914564,1.832162,1.898401,1.898401,55982821
2023-02-04,1.898387,1.917893,1.872681,1.875814,1.875814,30621491
2023-02-05,1.875850,1.878653,1.745787,1.777374,1.777374,38732449
2023-02-06,1.777382,1.836077,1.751454,1.767532,1.767532,41226968
2023-02-07,1.767214,1.953993,1.764104,1.953722,1.953722,70471968
2023-02-08,1.953420,1.965452,1.850175,1.885537,1.885537,65105471
2023-02-09,1.885693,1.892653,1.640246,1.659728,1.659728,71491429
2023-02-10,1.659873,1.702623,1.650182,1.670201,1.670201,43367882
2023-02-11,1.670147,1.721929,1.660170,1.716678,1.716678,25428901
2023-02-12,1.716735,1.736413,1.666084,1.680682,1.680682,26915290
2023-02-13,1.680675,1.691001,1.598049,1.647374,1.647374,52928839
2023-02-14,1.647246,1.703960,1.625452,1.701657,1.701657,40380885
2023-02-15,1.701659,1.809519,1.689020,1.809439,1.809439,40672726
2023-02-16,1.809376,1.832510,1.664443,1.665907,1.665907,58842599
2023-02-17,1.666138,1.773983,1.662412,1.743777,1.743777,45853863
2023-02-18,1.743815,1.789058,1.743338,1.775314,1.775314,37458235
2023-02-19,1.775340,1.818590,1.730837,1.738113,1.738113,46038495
2023-02-20,1.738333,1.826778,1.708374,1.819410,1.819410,62108639
2023-02-21,1.819640,1.849474,1.746027,1.762971,1.762971,54460184
2023-02-22,1.763209,1.769425,1.663103,1.712719,1.712719,50887063
2023-02-23,1.712737,1.757526,1.698457,1.720646,1.720646,38389075
2023-02-24,1.720554,1.732979,1.623817,1.640855,1.640855,36540735
2023-02-25,1.640915,1.641107,1.574396,1.604175,1.604175,24775366
2023-02-26,1.604140,1.653820,1.597167,1.649312,1.649312,18619572
2023-02-27,1.649343,1.656523,1.592695,1.615558,1.615558,29166803
2023-02-28,1.615552,1.619800,1.567674,1.569594,1.569594,32024444
2023-03-01,1.569614,1.678066,1.562373,1.678066,1.678066,40330622
2023-03-02,1.678220,1.693461,1.603836,1.633718,1.633718,39371627
2023-03-03,1.633757,1.635199,1.482030,1.507040,1.507040,44654402
2023-03-04,1.507085,1.515215,1.444405,1.462992,1.462992,25713650
2023-03-05,1.463159,1.498241,1.461914,1.479774,1.479774,29622925
2023-03-06,1.479684,1.503935,1.456122,1.494239,1.494239,29206807
2023-03-07,1.494133,1.512780,1.445456,1.464634,1.464634,30525455
2023-03-08,1.464621,1.469420,1.367484,1.367484,1.367484,33647860
2023-03-09,1.367601,1.390023,1.256635,1.271292,1.271292,44419152
2023-03-10,1.271562,1.271781,1.205051,1.235127,1.235127,56054211
2023-03-11,1.235131,1.270965,1.177534,1.220313,1.220313,51407677
2023-03-12,1.220266,1.338302,1.210829,1.338239,1.338239,43682308
2023-03-13,1.338360,1.427511,1.301263,1.409750,1.409750,76617377
2023-03-14,1.409766,1.523296,1.385160,1.455938,1.455938,93431926
2023-03-15,1.456687,1.467937,1.329740,1.343061,1.343061,57075366
2023-03-16,1.343247,1.373570,1.331972,1.362710,1.362710,40989433
2023-03-17,1.362789,1.471984,1.350702,1.468274,1.468274,52425358
2023-03-18,1.468255,1.492867,1.419080,1.421818,1.421818,51858613
2023-03-19,1.421815,1.492979,1.421815,1.453695,1.453695,36364146
2023-03-20,1.453777,1.465182,1.398728,1.401155,1.401155,47889419
2023-03-21,1.401136,1.453823,1.378393,1.450829,1.450829,44561234
2023-03-22,1.450920,1.450920,1.342895,1.365452,1.365452,49113222
2023-03-23,1.365475,1.449279,1.359720,1.443596,1.443596,37955904
2023-03-24,1.443471,1.445352,1.364277,1.383635,1.383635,35953348
2023-03-25,1.383627,1.397250,1.364419,1.378159,1.378159,22147091
2023-03-26,1.378123,1.419052,1.376859,1.402841,1.402841,19914628
2023-03-27,1.402728,1.405988,1.317686,1.332742,1.332742,34949138
2023-03-28,1.332667,1.349473,1.305111,1.341908,1.341908,34283408
2023-03-29,1.341751,1.426521,1.340952,1.418472,1.418472,35121240
2023-03-30,1.418503,1.446184,1.377999,1.395656,1.395656,32387500
2023-03-31,1.395833,1.435665,1.382105,1.432880,1.432880,31242492
2023-04-01,1.432806,1.478362,1.432144,1.471695,1.471695,32010116
2023-04-02,1.466967,1.478362,1.419527,1.435142,1.435142,26471230
2023-04-03,1.435057,1.501880,1.401910,1.485093,1.485093,51840347
2023-04-04,1.485123,1.590131,1.482214,1.587744,1.587744,65281891
