Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.659143,0.787064,0.659044,0.758192,0.758192,5186855
2022-11-11,0.758047,0.760162,0.669783,0.692061,0.692061,5628683
2022-11-12,0.692451,0.693492,0.660105,0.675827,0.675827,2983090
2022-11-13,0.674740,0.682570,0.647170,0.654592,0.654592,4055776
2022-11-14,0.654714,0.656779,0.573122,0.616875,0.616875,4797779
2022-11-15,0.616728,0.653872,0.615252,0.640271,0.640271,3160452
2022-11-16,0.640407,1.147082,0.639415,0.843267,0.843267,85116489
2022-11-17,0.843279,0.948036,0.760297,0.861692,0.861692,30255921
2022-11-18,0.861397,0.894618,0.778596,0.781390,0.781390,10494233
2022-11-19,0.782856,0.782856,0.721000,0.723088,0.723088,7033369
2022-11-20,0.723247,0.725675,0.667376,0.668458,0.668458,5754472
2022-11-21,0.668196,0.672077,0.593454,0.612651,0.612651,5620638
2022-11-22,0.612401,0.796375,0.584885,0.700413,0.700413,16183504
2022-11-23,0.700467,0.738187,0.666982,0.687162,0.687162,7327894
2022-11-24,0.687649,0.708253,0.659131,0.667248,0.667248,4540488
2022-11-25,0.667119,0.754720,0.652298,0.692741,0.692741,6077973
2022-11-26,0.692579,0.922682,0.688568,0.804875,0.804875,35598912
2022-11-27,0.807071,0.814082,0.741843,0.769268,0.769268,6201951
2022-11-28,0.769250,0.835898,0.736442,0.788815,0.788815,11059575
2022-11-29,0.788898,0.841253,0.771001,0.778071,0.778071,5816099
2022-11-30,0.777886,0.815718,0.777886,0.804562,0.804562,4693407
2022-12-01,0.804588,0.837136,0.801716,0.808117,0.808117,3686643
2022-12-02,0.808259,0.858255,0.808259,0.847867,0.847867,3873276
2022-12-03,0.847723,0.854434,0.819274,0.819333,0.819333,2633660
2022-12-04,0.819310,0.841858,0.816900,0.829246,0.829246,2413606
2022-12-05,0.829090,0.853398,0.803609,0.807680,0.807680,3004980
2022-12-06,0.807671,0.811817,0.795397,0.801144,0.801144,1743745
2022-12-07,0.801464,0.811776,0.774346,0.785372,0.785372,4406987
2022-12-08,0.785301,0.802452,0.774269,0.790017,0.790017,2248619
2022-12-09,0.790054,0.807230,0.789744,0.791273,0.791273,3371645
2022-12-10,0.791264,0.834996,0.785316,0.796170,0.796170,3548417
2022-12-11,0.796154,0.802079,0.777320,0.780990,0.780990,5391375
2022-12-12,0.780954,0.780954,0.726949,0.728957,0.728957,2083531
