Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,1.709535,2.045847,1.690528,1.946471,1.946471,64909115
2022-11-11,1.945735,1.951455,1.799237,1.862976,1.862976,37866716
2022-11-12,1.863880,1.866080,1.602452,1.610349,1.610349,57261319
2022-11-13,1.610594,1.708467,1.557002,1.577350,1.577350,43375345
2022-11-14,1.575349,1.860715,1.552402,1.811172,1.811172,60921564
2022-11-15,1.811335,1.855891,1.747041,1.790594,1.790594,46639182
2022-11-16,1.791149,1.849714,1.736211,1.801256,1.801256,34707433
2022-11-17,1.801547,1.824226,1.718075,1.725556,1.725556,26379586
2022-11-18,1.725728,1.757857,1.708993,1.756773,1.756773,18456128
2022-11-19,1.756391,1.756391,1.702190,1.744338,1.744338,13507596
2022-11-20,1.744467,1.789463,1.666032,1.669942,1.669942,17983133
2022-11-21,1.670282,1.679377,1.555742,1.596693,1.596693,26349552
2022-11-22,1.596626,1.690886,1.574815,1.684963,1.684963,21416049
2022-11-23,1.685496,1.750727,1.672985,1.736249,1.736249,25391039
2022-11-24,1.736481,1.796674,1.724549,1.731936,1.731936,22453299
2022-11-25,1.731696,1.731896,1.656903,1.703313,1.703313,21212372
2022-11-26,1.703538,1.767388,1.648700,1.658980,1.658980,21004737
2022-11-27,1.658961,1.713093,1.658961,1.675453,1.675453,13905040
2022-11-28,1.675206,1.689433,1.611443,1.662074,1.662074,19016948
2022-11-29,1.662140,1.700463,1.636101,1.644122,1.644122,17406672
2022-11-30,1.644236,1.742023,1.644017,1.736616,1.736616,21998655
2022-12-01,1.736452,1.768946,1.713337,1.720022,1.720022,19494086
2022-12-02,1.720129,1.801879,1.698029,1.792572,1.792572,25331834
2022-12-03,1.792792,1.792792,1.706797,1.711396,1.711396,12962231
2022-12-04,1.711396,1.768848,1.711396,1.768640,1.768640,16220488
2022-12-05,1.768341,1.918823,1.761887,1.918004,1.918004,48295998
2022-12-06,1.918049,2.011916,1.884026,1.901981,1.901981,47713458
2022-12-07,1.901868,2.012143,1.850549,1.966678,1.966678,61653917
2022-12-08,1.966709,1.977623,1.915757,1.934993,1.934993,24140912
2022-12-09,1.934846,1.973441,1.879115,1.893046,1.893046,26481255
2022-12-10,1.892997,1.924673,1.892997,1.916435,1.916435,14358006
2022-12-11,1.916611,1.978152,1.916611,1.931360,1.931360,15369925
2022-12-12,1.931245,1.931245,1.827321,1.883621,1.883621,28170816
2022-12-13,1.883356,1.897503,1.813792,1.857742,1.857742,30695516
2022-12-14,1.858122,1.924485,1.850110,1.867607,1.867607,18334428
2022-12-15,1.867542,1.878228,1.802914,1.808742,1.808742,13541611
2022-12-16,1.809004,1.823552,1.541197,1.551790,1.551790,29129013
2022-12-17,1.552893,1.608057,1.521778,1.607043,1.607043,17306636
2022-12-18,1.607126,1.622454,1.593623,1.612313,1.612313,15055940
2022-12-19,1.612301,1.632909,1.527266,1.537824,1.537824,17950558
2022-12-20,1.537892,1.646084,1.534431,1.621006,1.621006,14870346
2022-12-21,1.620885,1.621275,1.546906,1.550060,1.550060,15012134
2022-12-22,1.550525,1.573171,1.531158,1.571321,1.571321,16822198
2022-12-23,1.571459,1.591124,1.543940,1.544313,1.544313,14331033
2022-12-24,1.544272,1.545586,1.514942,1.520702,1.520702,13950095
2022-12-25,1.520662,1.520662,1.457775,1.480176,1.480176,20350337
2022-12-26,1.480432,1.502229,1.451611,1.483664,1.483664,17572228
2022-12-27,1.483510,1.516336,1.465808,1.489600,1.489600,18802489
2022-12-28,1.489609,1.498323,1.440198,1.440618,1.440618,17675890
2022-12-29,1.441092,1.454701,1.413462,1.429944,1.429944,16699773
2022-12-30,1.429823,1.455486,1.402759,1.451609,1.451609,16767573
2022-12-31,1.451598,1.478667,1.442518,1.442518,1.442518,18283645
2023-01-01,1.442390,1.475023,1.428818,1.475023,1.475023,14430463
2023-01-02,1.475020,1.526355,1.455864,1.510254,1.510254,18234407
2023-01-03,1.510561,1.537289,1.502521,1.529932,1.529932,16342307
