Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,1.014586,1.171501,1.008548,1.168075,1.168075,2664768
2022-11-11,1.169164,1.216648,1.138473,1.182548,1.182548,1683115
2022-11-12,1.182600,1.203142,1.146252,1.163281,1.163281,2248063
2022-11-13,1.163290,1.183915,1.130148,1.160302,1.160302,1100310
2022-11-14,1.159357,1.162828,1.055801,1.121279,1.121279,1231605
2022-11-15,1.121272,1.188441,1.118758,1.181274,1.181274,2572631
2022-11-16,1.180872,1.195322,1.133307,1.144658,1.144658,4158188
2022-11-17,1.144724,1.153262,1.111814,1.116794,1.116794,1057504
2022-11-18,1.116892,1.142096,1.116892,1.141163,1.141163,901801
2022-11-19,1.141003,1.210400,1.115735,1.185473,1.185473,5866789
2022-11-20,1.186360,1.224218,1.156858,1.159416,1.159416,4657240
2022-11-21,1.159414,1.204227,1.152476,1.171064,1.171064,9281556
2022-11-22,1.170041,1.201956,1.142591,1.201956,1.201956,2154432
2022-11-23,1.200826,1.252528,1.195617,1.246252,1.246252,4013592
2022-11-24,1.246266,1.257274,1.213590,1.220103,1.220103,2966320
2022-11-25,1.220122,1.224069,1.200931,1.214765,1.214765,1396060
2022-11-26,1.214760,1.221572,1.204681,1.209714,1.209714,849121
2022-11-27,1.209709,1.219725,1.201151,1.218921,1.218921,1290492
2022-11-28,1.220109,1.224500,1.178754,1.182969,1.182969,1037901
2022-11-29,1.182997,1.200159,1.176145,1.196413,1.196413,503039
2022-11-30,1.196400,1.215228,1.189515,1.206133,1.206133,956042
2022-12-01,1.206147,1.235346,1.200726,1.208452,1.208452,1872829
2022-12-02,1.209640,1.246102,1.197771,1.202910,1.202910,675654
2022-12-03,1.202903,1.217908,1.201694,1.210499,1.210499,379892
2022-12-04,1.212820,1.222258,1.205210,1.211238,1.211238,2141467
2022-12-05,1.210080,1.222619,1.202807,1.206564,1.206564,730164
2022-12-06,1.206606,1.217234,1.198403,1.207623,1.207623,819740
2022-12-07,1.205229,1.213770,1.172917,1.191260,1.191260,779728
2022-12-08,1.192477,1.205859,1.184884,1.197924,1.197924,502072
2022-12-09,1.197928,1.224969,1.197928,1.213808,1.213808,3070190
2022-12-10,1.213812,1.247221,1.204735,1.244171,1.244171,1557581
2022-12-11,1.245337,1.260191,1.226028,1.228156,1.228156,4642066
2022-12-12,1.228162,1.233396,1.199481,1.217631,1.217631,648319
2022-12-13,1.217634,1.231351,1.191858,1.228544,1.228544,3593140
2022-12-14,1.225090,1.268362,1.222491,1.241013,1.241013,5417620
2022-12-15,1.241015,1.265607,1.230979,1.238103,1.238103,1147609
2022-12-16,1.239400,1.246283,1.139198,1.143919,1.143919,1145176
2022-12-17,1.146500,1.153286,1.067023,1.087371,1.087371,728881
2022-12-18,1.087352,1.093851,1.079163,1.083519,1.083519,537739
2022-12-19,1.083515,1.091492,1.048800,1.054630,1.054630,1812627
2022-12-20,1.054624,1.074019,1.040993,1.071587,1.071587,5656470
2022-12-21,1.072423,1.094396,1.056368,1.091235,1.091235,2204808
2022-12-22,1.091237,1.094342,1.073311,1.080233,1.080233,614175
2022-12-23,1.080226,1.095606,1.078418,1.080852,1.080852,1876990
2022-12-24,1.081722,1.093810,1.079513,1.088558,1.088558,740092
2022-12-25,1.088555,1.092960,1.069192,1.084210,1.084210,636112
2022-12-26,1.084203,1.087447,1.069893,1.079125,1.079125,555625
2022-12-27,1.079099,1.084658,1.064507,1.069156,1.069156,1235363
2022-12-28,1.070105,1.074481,1.044389,1.046379,1.046379,680821
2022-12-29,1.046374,1.066493,1.030754,1.065921,1.065921,594343
2022-12-30,1.065918,1.066024,1.035554,1.048384,1.048384,500879
2022-12-31,1.049406,1.079654,1.045149,1.073033,1.073033,1280841
2023-01-01,1.073043,1.074576,1.052585,1.059733,1.059733,356257
2023-01-02,1.058733,1.064375,1.051700,1.060018,1.060018,646689
2023-01-03,1.059049,1.063759,1.051844,1.058663,1.058663,756559
2023-01-04,1.058657,1.066236,1.052180,1.059235,1.059235,663890
2023-01-05,1.059182,1.076371,1.054475,1.072343,1.072343,911240
2023-01-06,1.072350,1.098396,1.070413,1.084543,1.084543,4432415
2023-01-07,1.086396,1.086658,1.079064,1.082479,1.082479,637876
2023-01-08,1.082478,1.097843,1.079966,1.095198,1.095198,1404417
2023-01-09,1.095189,1.113765,1.087204,1.108401,1.108401,1524808
2023-01-10,1.108399,1.154711,1.094899,1.150178,1.150178,1417398
2023-01-11,1.150173,1.191931,1.144251,1.190952,1.190952,1733006
2023-01-12,1.185627,1.224519,1.175968,1.217841,1.217841,1357542
2023-01-13,1.217867,1.228000,1.208640,1.222977,1.222977,1219559
2023-01-14,1.222971,1.247723,1.219738,1.230879,1.230879,7820752
2023-01-15,1.231747,1.250823,1.210286,1.232578,1.232578,7264335
2023-01-16,1.233428,1.242402,1.207861,1.214166,1.214166,2200557
2023-01-17,1.214166,1.275956,1.201243,1.267885,1.267885,2462286
2023-01-18,1.268413,1.277508,1.235343,1.240200,1.240200,2815251
2023-01-19,1.237246,1.268664,1.237246,1.252939,1.252939,10685895
2023-01-20,1.252935,1.283088,1.241109,1.283088,1.283088,1897277
2023-01-21,1.283703,1.305225,1.267360,1.291714,1.291714,7049499
2023-01-22,1.290820,1.304726,1.283389,1.295401,1.295401,1493850
2023-01-23,1.295388,1.313980,1.290035,1.309078,1.309078,7906810
2023-01-24,1.309925,1.348030,1.298636,1.304681,1.304681,10900226
2023-01-25,1.305601,1.319810,1.285248,1.319776,1.319776,3631986
2023-01-26,1.318001,1.328234,1.302649,1.317360,1.317360,3411226
2023-01-27,1.316491,1.341237,1.301003,1.332788,1.332788,8513316
2023-01-28,1.332781,1.335743,1.311507,1.327680,1.327680,2514203
2023-01-29,1.327688,1.354437,1.317036,1.352063,1.352063,1376035
2023-01-30,1.352053,1.357126,1.328417,1.342223,1.342223,2332697
2023-01-31,1.345021,1.347621,1.325078,1.339518,1.339518,1320066
2023-02-01,1.339539,1.407773,1.323872,1.403709,1.403709,1991925
2023-02-02,1.403699,1.435163,1.402085,1.431444,1.431444,2477610
2023-02-03,1.432685,1.555462,1.426849,1.537281,1.537281,27814895
2023-02-04,1.537259,1.556595,1.526983,1.543622,1.543622,6203326
2023-02-05,1.543615,4.418215,1.543615,2.022671,2.022671,769467567
2023-02-06,2.025379,2.110041,1.674116,1.818666,1.818666,127817100
2023-02-07,1.818649,1.820592,1.437257,1.445594,1.445594,13736330
2023-02-08,1.445571,1.985784,1.402185,1.408376,1.408376,9018280
2023-02-09,1.408404,1.475334,1.390044,1.397307,1.397307,37817660
2023-02-10,1.396675,1.710898,1.386883,1.596043,1.596043,39588976
2023-02-11,1.592658,1.747561,1.451075,1.720264,1.720264,11209312
2023-02-12,1.720246,1.918491,1.453181,1.481830,1.481830,22256993
2023-02-13,1.482826,1.508626,1.460560,1.505239,1.505239,5557630
2023-02-14,1.507490,1.555092,1.428670,1.537079,1.537079,4380421
2023-02-15,1.538719,1.961586,1.536010,1.883009,1.883009,106897820
2023-02-16,1.879175,2.391639,1.875633,2.061684,2.061684,241910579
2023-02-17,2.061736,2.347974,2.061736,2.166593,2.166593,94034342
2023-02-18,2.168455,2.316710,2.089045,2.118960,2.118960,14010042
2023-02-19,2.118959,2.118959,2.027647,2.039227,2.039227,6933689
2023-02-20,2.041155,2.139923,1.647210,1.745678,1.745678,7239816
2023-02-21,1.746593,2.163359,1.582933,1.901340,1.901340,18858422
2023-02-22,1.900193,2.379162,1.582104,1.740311,1.740311,12474844
2023-02-23,1.740193,2.012486,1.676229,1.893948,1.893948,13512166
2023-02-24,1.894473,2.389692,1.622243,1.889501,1.889501,8718887
2023-02-25,1.889529,1.972947,1.854531,1.930625,1.930625,28528548
2023-02-26,1.938755,1.939482,1.896621,1.905732,1.905732,3282385
2023-02-27,1.905723,1.907983,1.841915,1.891215,1.891215,3844345
2023-02-28,1.891172,1.918375,1.834847,1.877624,1.877624,5106721
2023-03-01,1.875823,1.904275,1.762746,1.836159,1.836159,2391823
2023-03-02,1.837245,1.901270,1.532501,1.832114,1.832114,4959214
2023-03-03,1.831399,1.869091,1.524285,1.745917,1.745917,5841133
2023-03-04,1.747203,1.786429,1.747203,1.775576,1.775576,5655274
2023-03-05,1.775582,1.777803,1.746929,1.769729,1.769729,2009476
2023-03-06,1.773408,1.773408,1.729826,1.738107,1.738107,2170359
2023-03-07,1.739142,1.741585,1.698190,1.707924,1.707924,2161346
2023-03-08,1.709298,1.765580,1.617539,1.699175,1.699175,7545694
2023-03-09,1.699181,1.783674,1.652701,1.680842,1.680842,35688596
2023-03-10,1.682101,1.856847,1.578653,1.608899,1.608899,11124964
2023-03-11,1.610057,1.648751,1.431009,1.610186,1.610186,2724457
2023-03-12,1.611264,1.651003,1.493363,1.590055,1.590055,4297695
2023-03-13,1.588931,1.643446,1.579272,1.638550,1.638550,5829979
2023-03-14,1.640651,1.774197,1.640651,1.725563,1.725563,16868142
2023-03-15,1.727856,1.923362,1.724600,1.823342,1.823342,5696680
2023-03-16,1.823390,1.850189,1.773268,1.826964,1.826964,5827850
2023-03-17,1.826922,1.896401,1.821236,1.879578,1.879578,5668102
2023-03-18,1.879522,1.882513,1.827817,1.835094,1.835094,4613416
2023-03-19,1.842240,1.910030,1.822659,1.902191,1.902191,8115491
2023-03-20,1.903390,1.956298,1.862260,1.953245,1.953245,11370769
2023-03-21,1.953277,1.963297,1.889867,1.911874,1.911874,15050639
2023-03-22,1.910500,1.911939,1.805573,1.833332,1.833332,5059300
