Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,1.045288,1.190833,1.036324,1.181246,1.181246,25288300
2022-11-11,1.180916,1.198235,1.122728,1.192492,1.192492,19318165
2022-11-12,1.193175,1.447651,1.136558,1.444777,1.444777,71376910
2022-11-13,1.445104,2.313735,1.393380,1.903141,1.903141,607394629
2022-11-14,1.905898,2.709171,1.826354,2.268125,2.268125,581138847
2022-11-15,2.268530,2.419738,1.944855,1.949815,1.949815,274420358
2022-11-16,1.952961,2.394864,1.833593,2.191417,2.191417,387444597
2022-11-17,2.190832,2.339118,2.067876,2.118353,2.118353,203962167
2022-11-18,2.118446,2.374940,2.118446,2.312806,2.312806,191664421
2022-11-19,2.312930,2.438584,2.149223,2.183167,2.183167,139150318
2022-11-20,2.182962,2.182969,1.907356,1.940324,1.940324,140619079
2022-11-21,1.940744,2.082020,1.859423,1.980010,1.980010,116133301
2022-11-22,1.978546,2.301110,1.915725,2.197583,2.197583,138259095
2022-11-23,2.197303,2.230930,2.106234,2.183032,2.183032,66580381
2022-11-24,2.183004,2.250975,2.130608,2.152703,2.152703,55212158
2022-11-25,2.153400,2.337507,2.072974,2.087862,2.087862,89782130
2022-11-26,2.087624,2.135309,2.010668,2.010668,2.010668,37229890
2022-11-27,2.010574,2.045967,1.880819,1.987546,1.987546,65803120
2022-11-28,1.987946,2.149654,1.899619,2.014066,2.014066,74945154
2022-11-29,2.014131,2.084636,1.994946,2.084636,2.084636,42564970
2022-11-30,2.085153,2.133588,2.011226,2.098381,2.098381,50554486
2022-12-01,2.098733,2.283090,2.040179,2.244390,2.244390,100269445
2022-12-02,2.244649,2.493913,2.184117,2.449019,2.449019,151033245
2022-12-03,2.449749,2.515767,2.282022,2.377077,2.377077,74862991
2022-12-04,2.377095,2.497306,2.355206,2.426164,2.426164,64735726
2022-12-05,2.425300,2.445573,2.282991,2.327196,2.327196,51533757
2022-12-06,2.325559,2.375031,2.277284,2.340984,2.340984,34410387
2022-12-07,2.341015,2.461543,2.310264,2.453556,2.453556,66306378
2022-12-08,2.453554,2.694126,2.391399,2.613956,2.613956,136853905
2022-12-09,2.614728,2.711795,2.550270,2.568534,2.568534,75835400
2022-12-10,2.568500,2.616074,2.537969,2.538496,2.538496,42439110
2022-12-11,2.539098,2.717765,2.531502,2.653922,2.653922,71640634
2022-12-12,2.653038,2.705278,2.199171,2.354196,2.354196,158177590
2022-12-13,2.353846,2.356650,2.074713,2.239090,2.239090,148631390
2022-12-14,2.239707,2.322889,2.200045,2.212846,2.212846,74540077
2022-12-15,2.213031,2.220359,2.107258,2.141933,2.141933,50769204
2022-12-16,2.142205,2.158788,1.670782,1.727120,1.727120,117328457
2022-12-17,1.727362,1.735510,1.316590,1.689918,1.689918,181847110
2022-12-18,1.688467,1.741805,1.615449,1.707122,1.707122,90786793
2022-12-19,1.707102,1.718697,1.440102,1.466733,1.466733,73997010
2022-12-20,1.466711,1.629056,1.466711,1.628324,1.628324,67523952
2022-12-21,1.628060,1.628060,1.499230,1.526991,1.526991,38752986
2022-12-22,1.526993,1.534995,1.456199,1.495193,1.495193,31321715
2022-12-23,1.495245,1.529671,1.479312,1.487798,1.487798,25606881
2022-12-24,1.488069,1.502057,1.427962,1.443646,1.443646,25292199
2022-12-25,1.443528,1.443528,1.280550,1.365608,1.365608,80475783
2022-12-26,1.365751,1.430053,1.333418,1.358555,1.358555,47277755
2022-12-27,1.357624,1.383279,1.312123,1.342889,1.342889,30009500
2022-12-28,1.342907,1.348637,1.248443,1.252718,1.252718,32091226
2022-12-29,1.252682,1.377598,1.241879,1.341009,1.341009,64537386
2022-12-30,1.340375,1.360748,1.287907,1.352766,1.352766,33422960
2022-12-31,1.353200,1.444777,1.349936,1.422939,1.422939,55320363
2023-01-01,1.422753,1.453847,1.390574,1.418106,1.418106,25956414
2023-01-02,1.418028,1.499906,1.416055,1.483983,1.483983,39614107
2023-01-03,1.483713,1.501576,1.422557,1.448692,1.448692,29895148
2023-01-04,1.448570,1.489105,1.431442,1.448471,1.448471,29950155
2023-01-05,1.448371,1.449098,1.401225,1.401426,1.401426,20346492
2023-01-06,1.401380,1.443605,1.359408,1.409092,1.409092,36360135
2023-01-07,1.409080,1.426435,1.404650,1.410302,1.410302,14876519
2023-01-08,1.410341,1.421228,1.388505,1.421228,1.421228,22965851
2023-01-09,1.421010,1.541737,1.418681,1.482695,1.482695,70464155
2023-01-10,1.482679,1.497182,1.447540,1.494377,1.494377,42265782
2023-01-11,1.494217,1.494912,1.424603,1.489039,1.489039,31712595
2023-01-12,1.485485,1.488498,1.438316,1.481837,1.481837,39856734
2023-01-13,1.481967,1.553556,1.472074,1.537861,1.537861,54021674
2023-01-14,1.537596,1.704681,1.528866,1.584640,1.584640,106383266
2023-01-15,1.584433,1.584433,1.514955,1.556703,1.556703,51026592
2023-01-16,1.556322,1.607501,1.518430,1.539170,1.539170,57263649
2023-01-17,1.539269,1.564026,1.521557,1.521557,1.521557,31015169
2023-01-18,1.522308,1.547635,1.363021,1.407738,1.407738,53322010
2023-01-19,1.407774,1.476410,1.387277,1.449185,1.449185,29976869
2023-01-20,1.448992,1.522564,1.427134,1.519313,1.519313,33839107
2023-01-21,1.519414,1.582190,1.500909,1.512880,1.512880,38037626
2023-01-22,1.513281,1.544087,1.483290,1.514311,1.514311,32124419
2023-01-23,1.514327,1.556645,1.513032,1.527493,1.527493,26442275
2023-01-24,1.527430,1.576757,1.459515,1.483454,1.483454,27784144
2023-01-25,1.483959,1.529325,1.447499,1.514822,1.514822,24940124
2023-01-26,1.513438,1.541676,1.490011,1.509756,1.509756,26905903
2023-01-27,1.509755,1.814093,1.482495,1.705310,1.705310,158029317
2023-01-28,1.704901,1.797798,1.688761,1.772437,1.772437,91127952
2023-01-29,1.772687,1.868827,1.721631,1.755287,1.755287,69186631
2023-01-30,1.754909,1.762526,1.596992,1.641340,1.641340,110583992
2023-01-31,1.641692,1.723443,1.616206,1.658542,1.658542,69829742
2023-02-01,1.658474,1.764811,1.597492,1.687708,1.687708,82345243
2023-02-02,1.687456,1.731640,1.641721,1.641792,1.641792,59643876
2023-02-03,1.641750,1.684365,1.625617,1.684365,1.684365,34314910
2023-02-04,1.684034,1.726321,1.660110,1.692363,1.692363,48652841
2023-02-05,1.691954,1.698281,1.589830,1.601556,1.601556,40102994
2023-02-06,1.601675,1.624657,1.544633,1.570767,1.570767,42267630
2023-02-07,1.570717,1.615337,1.562807,1.605722,1.605722,33304426
2023-02-08,1.605185,1.613564,1.527532,1.535393,1.535393,36289433
2023-02-09,1.535652,1.550579,1.368496,1.389824,1.389824,43811910
2023-02-10,1.389941,1.452661,1.389523,1.412604,1.412604,24975610
2023-02-11,1.413320,1.439518,1.401087,1.435655,1.435655,13200223
2023-02-12,1.435625,1.514802,1.420553,1.447863,1.447863,27386215
2023-02-13,1.447825,1.459169,1.341393,1.372973,1.372973,34596616
2023-02-14,1.372852,1.499330,1.363259,1.432910,1.432910,52262878
2023-02-15,1.432871,1.503249,1.405579,1.497206,1.497206,39446885
2023-02-16,1.497302,1.522528,1.406558,1.406702,1.406702,50991434
2023-02-17,1.406930,1.490444,1.405230,1.469022,1.469022,32682243
2023-02-18,1.469185,1.489904,1.451475,1.468155,1.468155,20777194
2023-02-19,1.468221,1.492540,1.437338,1.441495,1.441495,25496971
2023-02-20,1.441204,1.488032,1.432458,1.481538,1.481538,30901741
2023-02-21,1.481751,1.557528,1.449615,1.490610,1.490610,82631032
2023-02-22,1.490395,1.497295,1.395042,1.436311,1.436311,37478099
2023-02-23,1.436332,1.453451,1.406744,1.424656,1.424656,24343164
2023-02-24,1.424692,1.429122,1.370587,1.389608,1.389608,28007328
2023-02-25,1.389631,1.392914,1.318754,1.357856,1.357856,23289265
2023-02-26,1.357468,1.428025,1.351544,1.398377,1.398377,28060876
2023-02-27,1.398353,1.398628,1.352266,1.357607,1.357607,17897066
2023-02-28,1.357652,1.358672,1.298392,1.315843,1.315843,23612583
2023-03-01,1.315928,1.347368,1.308479,1.337759,1.337759,19918962
2023-03-02,1.337774,1.342308,1.279499,1.296064,1.296064,19083760
2023-03-03,1.296319,1.331205,1.237767,1.315613,1.315613,65471942
2023-03-04,1.315602,1.441992,1.287449,1.375685,1.375685,111847034
2023-03-05,1.375767,1.392970,1.327502,1.328260,1.328260,32775547
2023-03-06,1.327627,1.337811,1.272539,1.281794,1.281794,24728602
2023-03-07,1.282048,1.320699,1.220319,1.254648,1.254648,33985635
2023-03-08,1.254603,1.257394,1.168274,1.186932,1.186932,19978500
2023-03-09,1.187003,1.195233,1.090007,1.131221,1.131221,25182900
2023-03-10,1.131390,1.131576,1.013566,1.111840,1.111840,41598051
2023-03-11,1.111571,1.278673,1.100297,1.219441,1.219441,73598870
2023-03-12,1.219486,1.262213,1.187709,1.251849,1.251849,62811234
2023-03-13,1.252069,1.309813,1.212305,1.260854,1.260854,60412278
2023-03-14,1.260991,1.313105,1.224238,1.275740,1.275740,52536407
2023-03-15,1.275735,1.290229,1.180605,1.197487,1.197487,28480528
2023-03-16,1.197840,1.224984,1.181501,1.205663,1.205663,20691713
2023-03-17,1.205652,1.253891,1.197033,1.244120,1.244120,26223769
2023-03-18,1.244164,1.320259,1.221899,1.222842,1.222842,39417444
2023-03-19,1.222852,1.279295,1.219219,1.255269,1.255269,21579715
2023-03-20,1.254122,1.274584,1.199398,1.199444,1.199444,23898568
2023-03-21,1.199431,1.237653,1.177420,1.235548,1.235548,17116438
2023-03-22,1.235591,1.245129,1.149582,1.187014,1.187014,24995774
2023-03-23,1.186118,1.207906,1.166372,1.200916,1.200916,19615828
2023-03-24,1.200908,1.204648,1.164307,1.186524,1.186524,15589786
2023-03-25,1.187372,1.214094,1.168170,1.180985,1.180985,20577956
2023-03-26,1.180956,1.196325,1.171630,1.183462,1.183462,13380337
2023-03-27,1.183556,1.192432,1.090538,1.098320,1.098320,23459521
2023-03-28,1.098317,1.151612,1.076575,1.133571,1.133571,23568357
2023-03-29,1.133490,1.186865,1.129573,1.153574,1.153574,20895238
2023-03-30,1.153712,1.249538,1.152118,1.176001,1.176001,47028508
2023-03-31,1.175990,1.204875,1.154705,1.189652,1.189652,22148455
2023-04-01,1.189239,1.199335,1.165820,1.187806,1.187806,14350904
2023-04-02,1.178538,1.193840,1.151311,1.161276,1.161276,14886583
2023-04-03,1.161279,1.161823,1.126577,1.143653,1.143653,18091138
2023-04-04,1.143630,1.189330,1.135986,1.182431,1.182431,18740501
2023-04-05,1.182492,1.302773,1.180051,1.282809,1.282809,104426643
2023-04-06,1.282422,1.364072,1.230182,1.237312,1.237312,71125162
2023-04-07,1.237518,1.244301,1.202687,1.204041,1.204041,19231837
2023-04-08,1.203953,1.273756,1.201862,1.228473,1.228473,25053279
2023-04-09,1.228376,1.270468,1.218706,1.253617,1.253617,24314290
2023-04-10,1.253572,1.258456,1.218196,1.240403,1.240403,18210786
2023-04-11,1.240394,1.251605,1.225104,1.230740,1.230740,20639783
2023-04-12,1.230743,1.232250,1.192002,1.208970,1.208970,15059723
2023-04-13,1.212709,1.238416,1.205294,1.237727,1.237727,15083856
2023-04-14,1.237736,1.272410,1.222671,1.270912,1.270912,24482629
2023-04-15,1.270904,1.271079,1.234598,1.240859,1.240859,16711358
2023-04-16,1.240818,1.268499,1.230214,1.258473,1.258473,16830261
2023-04-17,1.258462,1.344155,1.239034,1.312193,1.312193,74261938
2023-04-18,1.312199,1.351671,1.290556,1.344221,1.344221,41647398
2023-04-19,1.344226,1.347925,1.258067,1.266590,1.266590,31374369
2023-04-20,1.266403,1.317715,1.231973,1.238910,1.238910,25236978
2023-04-21,1.238934,1.276194,1.191417,1.198169,1.198169,26443304
2023-04-22,1.198235,1.237564,1.188698,1.232033,1.232033,18962286
2023-04-23,1.232053,1.233835,1.175402,1.192494,1.192494,15183669
2023-04-24,1.192463,1.199506,1.162971,1.174247,1.174247,15818275
2023-04-25,1.174143,1.181450,1.129273,1.180825,1.180825,14807887
2023-04-26,1.180830,1.215529,1.120290,1.160637,1.160637,23978984
2023-04-27,1.160625,1.186202,1.159935,1.176970,1.176970,13578710
2023-04-28,1.176967,1.177700,1.163788,1.165110,1.165110,8498531
2023-04-29,1.165086,1.182217,1.155603,1.170781,1.170781,9470013
2023-04-30,1.170734,1.221605,1.165515,1.184665,1.184665,22297110
2023-05-01,1.184295,1.189547,1.137245,1.148735,1.148735,13648714
2023-05-02,1.148757,1.156171,1.131166,1.155743,1.155743,9562254
2023-05-03,1.155765,1.174010,1.124632,1.163646,1.163646,13997482
2023-05-04,1.163925,1.212899,1.151969,1.165138,1.165138,21638559
2023-05-05,1.165056,1.186970,1.160003,1.173382,1.173382,10700808
2023-05-06,1.173427,1.179435,1.136095,1.139179,1.139179,9711823
2023-05-07,1.139084,1.164825,1.133266,1.136162,1.136162,8704095
2023-05-08,1.136128,1.141933,1.065575,1.094051,1.094051,14240130
2023-05-09,1.094159,1.110012,1.084571,1.090121,1.090121,7790345
2023-05-10,1.090124,1.133313,1.086706,1.101188,1.101188,10788384
2023-05-11,1.101229,1.101553,1.059119,1.075469,1.075469,8380843
2023-05-12,1.075465,1.125233,1.054634,1.118991,1.118991,15607186
2023-05-13,1.118952,1.120628,1.106216,1.114980,1.114980,5950329
2023-05-14,1.115068,1.123500,1.106322,1.116386,1.116386,6483032
2023-05-15,1.116370,1.136661,1.108368,1.113617,1.113617,7070717
2023-05-16,1.113654,1.118689,1.086459,1.094426,1.094426,7313892
2023-05-17,1.094416,1.115279,1.079768,1.110785,1.110785,9816630
2023-05-18,1.110785,1.131004,1.093474,1.108841,1.108841,11184008
2023-05-19,1.108843,1.108843,1.083259,1.083415,1.083415,10067971
2023-05-20,1.083473,1.097017,1.081369,1.091235,1.091235,6410132
