Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.118475,0.140048,0.117507,0.136524,0.136524,28492184
2022-11-11,0.136519,0.137345,0.124145,0.131541,0.131541,19894016
2022-11-12,0.131546,0.131890,0.120802,0.122216,0.122216,14689760
2022-11-13,0.122233,0.126590,0.116454,0.120242,0.120242,17726687
2022-11-14,0.120236,0.126714,0.111647,0.126263,0.126263,22945959
2022-11-15,0.126272,0.133877,0.126272,0.131080,0.131080,19146314
2022-11-16,0.131101,0.133414,0.124596,0.127329,0.127329,10428253
2022-11-17,0.127339,0.129358,0.123521,0.123728,0.123728,12215499
2022-11-18,0.123723,0.127720,0.123677,0.127674,0.127674,9511556
2022-11-19,0.127668,0.127706,0.124049,0.127163,0.127163,7487724
2022-11-20,0.127160,0.128652,0.109341,0.110269,0.110269,18620613
2022-11-21,0.110275,0.112280,0.104163,0.106304,0.106304,18229439
2022-11-22,0.106289,0.110613,0.102111,0.110527,0.110527,13769005
2022-11-23,0.110531,0.117675,0.109327,0.117675,0.117675,16296399
2022-11-24,0.117681,0.119780,0.114679,0.118736,0.118736,12459271
2022-11-25,0.118746,0.118808,0.113912,0.115841,0.115841,9606807
2022-11-26,0.115822,0.120430,0.115822,0.117005,0.117005,12158762
2022-11-27,0.117010,0.123500,0.116641,0.120284,0.120284,11256841
2022-11-28,0.120235,0.120722,0.113803,0.118311,0.118311,10678201
2022-11-29,0.118336,0.124612,0.116822,0.121668,0.121668,13278575
2022-11-30,0.121667,0.128434,0.121664,0.126711,0.126711,18025249
2022-12-01,0.126710,0.127477,0.123562,0.124293,0.124293,11618814
2022-12-02,0.124323,0.125949,0.121851,0.125929,0.125929,8822264
2022-12-03,0.125920,0.126727,0.121691,0.121953,0.121953,7317626
2022-12-04,0.121935,0.123671,0.120953,0.122980,0.122980,9122831
2022-12-05,0.122981,0.125670,0.120797,0.122395,0.122395,7964124
2022-12-06,0.122402,0.123549,0.121289,0.122104,0.122104,7159372
2022-12-07,0.122099,0.122379,0.114774,0.115373,0.115373,9504713
2022-12-08,0.115379,0.126235,0.114974,0.124364,0.124364,12949239
2022-12-09,0.124384,0.127261,0.121741,0.122689,0.122689,12920380
2022-12-10,0.122684,0.127186,0.122280,0.125335,0.125335,10727274
2022-12-11,0.125338,0.129553,0.124619,0.125536,0.125536,10927966
2022-12-12,0.125520,0.129227,0.118804,0.128202,0.128202,16798783
2022-12-13,0.128181,0.138242,0.123458,0.135930,0.135930,25114997
2022-12-14,0.135962,0.139610,0.134276,0.135103,0.135103,16086587
2022-12-15,0.135101,0.139939,0.131951,0.137184,0.137184,15910847
2022-12-16,0.137200,0.138798,0.121957,0.122475,0.122475,17156043
2022-12-17,0.122455,0.127885,0.115258,0.123659,0.123659,16391193
2022-12-18,0.123651,0.123889,0.120174,0.122362,0.122362,7260940
2022-12-19,0.122366,0.123918,0.111129,0.113166,0.113166,9584331
2022-12-20,0.113174,0.117162,0.113049,0.114660,0.114660,8292506
2022-12-21,0.114642,0.115682,0.111937,0.115593,0.115593,7819601
2022-12-22,0.115608,0.116612,0.113203,0.116612,0.116612,8031383
2022-12-23,0.116613,0.117751,0.115402,0.116544,0.116544,6934891
2022-12-24,0.116543,0.117389,0.115810,0.116100,0.116100,5871191
2022-12-25,0.116099,0.116830,0.112142,0.114458,0.114458,6565122
2022-12-26,0.114419,0.119221,0.113502,0.119008,0.119008,8320426
2022-12-27,0.119020,0.121702,0.118175,0.119516,0.119516,9875678
2022-12-28,0.119535,0.121008,0.117382,0.119602,0.119602,9306007
2022-12-29,0.119592,0.123680,0.119592,0.122470,0.122470,10674362
2022-12-30,0.122482,0.122512,0.117631,0.120330,0.120330,13005149
2022-12-31,0.120350,0.121669,0.118902,0.119981,0.119981,13179345
2023-01-01,0.119999,0.125377,0.119952,0.125123,0.125123,14598260
2023-01-02,0.125136,0.126154,0.123213,0.124634,0.124634,14697673
2023-01-03,0.124631,0.125428,0.121932,0.124057,0.124057,14037937
2023-01-04,0.124071,0.131995,0.124057,0.131255,0.131255,21522645
2023-01-05,0.131226,0.132522,0.129532,0.131139,0.131139,20510676
2023-01-06,0.131143,0.134977,0.127611,0.134797,0.134797,11370281
2023-01-07,0.134798,0.139007,0.134550,0.136239,0.136239,10564905
2023-01-08,0.136215,0.151838,0.134244,0.151247,0.151247,19681055
2023-01-09,0.151193,0.159064,0.146780,0.148157,0.148157,25645994
2023-01-10,0.148155,0.187673,0.148062,0.169386,0.169386,102947981
2023-01-11,0.169377,0.171740,0.162802,0.168058,0.168058,36113871
2023-01-12,0.167311,0.171503,0.158261,0.171175,0.171175,37418123
2023-01-13,0.171159,0.178991,0.168681,0.178864,0.178864,31499763
2023-01-14,0.178840,0.190731,0.169562,0.188700,0.188700,55200564
2023-01-15,0.188686,0.207496,0.178498,0.204326,0.204326,48220530
2023-01-16,0.204337,0.207811,0.188640,0.193897,0.193897,36665899
2023-01-17,0.193935,0.201368,0.190137,0.190137,0.190137,24637130
2023-01-18,0.190215,0.193305,0.174234,0.184067,0.184067,34124712
