Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,0.279428,0.301746,0.235603,0.271980,0.271980,12432
2022-11-11,0.271974,0.294079,0.257897,0.291400,0.291400,12379
2022-11-12,0.291394,0.300706,0.276889,0.286173,0.286173,19347
2022-11-13,0.287642,0.289615,0.220093,0.271721,0.271721,28034
2022-11-14,0.271720,0.282474,0.199864,0.274219,0.274219,51118
2022-11-15,0.274221,0.299762,0.264635,0.280196,0.280196,17625
2022-11-16,0.280198,0.352923,0.255183,0.274948,0.274948,12280
2022-11-17,0.274948,0.279876,0.267312,0.272847,0.272847,5834
2022-11-18,0.273125,0.312122,0.268163,0.304125,0.304125,12151
2022-11-19,0.304129,0.307868,0.268160,0.273814,0.273814,16193
2022-11-20,0.273810,0.278439,0.261072,0.264221,0.264221,19475
2022-11-21,0.264224,0.276942,0.259675,0.262341,0.262341,23475
2022-11-22,0.262339,0.268018,0.259711,0.261609,0.261609,10944
2022-11-23,0.261612,0.285362,0.259758,0.280344,0.280344,1401
2022-11-24,0.280343,0.283186,0.259830,0.259850,0.259850,2021
2022-11-25,0.259848,0.278238,0.249863,0.270536,0.270536,21442
2022-11-26,0.270536,0.274215,0.252197,0.263948,0.263948,9929
2022-11-27,0.263946,0.279885,0.256967,0.263535,0.263535,8398
2022-11-28,0.263535,0.267401,0.249910,0.252345,0.252345,12276
2022-11-29,0.253354,0.259924,0.249936,0.256614,0.256614,7629
2022-11-30,0.256981,0.279974,0.247797,0.250504,0.250504,9514
2022-12-01,0.250007,0.265005,0.241373,0.250901,0.250901,5286
2022-12-02,0.250900,0.260016,0.250005,0.253176,0.253176,3938
2022-12-03,0.253174,0.312389,0.253130,0.275967,0.275967,8358
2022-12-04,0.275967,0.312589,0.250029,0.250030,0.250030,7128
2022-12-05,0.250831,0.277438,0.248431,0.249464,0.249464,10277
2022-12-06,0.249469,0.277388,0.249459,0.252719,0.252719,9661
2022-12-07,0.252717,0.272835,0.250023,0.256231,0.256231,15797
2022-12-08,0.256234,0.269720,0.250002,0.264694,0.264694,15521
2022-12-09,0.264692,0.315644,0.258710,0.265855,0.265855,9355
2022-12-10,0.265856,0.307060,0.255206,0.302354,0.302354,9663
2022-12-11,0.296980,0.634245,0.276019,0.284792,0.284792,39179
2022-12-12,0.285304,0.334001,0.276578,0.290011,0.290011,17213
2022-12-13,0.290012,0.356541,0.288257,0.307965,0.307965,15553
2022-12-14,0.312619,0.330003,0.301092,0.308583,0.308583,13055
2022-12-15,0.310564,0.326274,0.286718,0.287862,0.287862,14240
2022-12-16,0.289042,0.329064,0.286353,0.321050,0.321050,17943
2022-12-17,0.318114,0.322518,0.273437,0.289347,0.289347,13735
2022-12-18,0.287578,0.293823,0.260312,0.260920,0.260920,12009
2022-12-19,0.260919,0.296754,0.250051,0.281192,0.281192,14595
2022-12-20,0.280690,0.303664,0.250811,0.264670,0.264670,5223
2022-12-21,0.264665,0.292255,0.264661,0.284722,0.284722,7679
2022-12-22,0.283662,0.326423,0.273241,0.314343,0.314343,13437
2022-12-23,0.313601,0.374011,0.305322,0.334754,0.334754,18461
2022-12-24,0.335044,0.372225,0.300066,0.331478,0.331478,14840
2022-12-25,0.331476,0.389836,0.318907,0.362819,0.362819,18185
2022-12-26,0.362816,0.426961,0.355320,0.387158,0.387158,13462
2022-12-27,0.391526,0.472484,0.380709,0.443604,0.443604,13936
2022-12-28,0.446105,0.487385,0.441280,0.469052,0.469052,17280
2022-12-29,0.468730,0.499857,0.466229,0.494129,0.494129,23104
2022-12-30,0.492688,0.538017,0.412769,0.427964,0.427964,30833
