Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,1.019914,1.155455,1.010489,1.142940,1.142940,41238721
2022-11-11,1.142688,1.148509,1.039599,1.067614,1.067614,28824625
2022-11-12,1.067946,1.070645,1.024613,1.038167,1.038167,18850823
2022-11-13,1.038259,1.058773,0.998341,1.010737,1.010737,25548503
2022-11-14,1.010833,1.028984,0.942394,1.013593,1.013593,29786727
2022-11-15,1.013635,1.045325,1.003036,1.023929,1.023929,18548026
2022-11-16,1.023942,1.031219,0.971862,0.986687,0.986687,22866748
2022-11-17,0.986694,0.988563,0.964848,0.974875,0.974875,13289827
2022-11-18,0.974950,0.994011,0.966164,0.981508,0.981508,16980882
2022-11-19,0.981479,1.007001,0.968943,0.998696,0.998696,15611009
2022-11-20,0.998609,1.013198,0.972986,0.974338,0.974338,19530257
2022-11-21,0.974481,0.974481,0.929199,0.937380,0.937380,23703068
2022-11-22,0.937283,0.967977,0.917480,0.966656,0.966656,25658416
2022-11-23,0.966857,1.001512,0.965235,1.000509,1.000509,19652635
2022-11-24,1.000691,1.016853,0.993055,1.005854,1.005854,21553664
2022-11-25,1.005922,1.006645,0.977130,0.988234,0.988234,14940805
2022-11-26,0.988163,1.010467,0.980543,0.986488,0.986488,25567280
2022-11-27,0.986553,1.010601,0.982201,0.990803,0.990803,13301502
2022-11-28,0.990644,0.999167,0.954724,0.976795,0.976795,16104111
2022-11-29,0.976842,0.992691,0.971168,0.977874,0.977874,21086692
2022-11-30,0.977902,1.023166,0.977842,1.019615,1.019615,20224574
2022-12-01,1.019674,1.022562,0.996430,1.001844,1.001844,15882169
2022-12-02,1.001966,1.037854,0.995214,1.028709,1.028709,19600348
2022-12-03,1.028769,1.030847,0.996159,0.996159,0.996159,11979927
2022-12-04,0.996059,1.007080,0.994544,1.006146,1.006146,12303558
2022-12-05,1.006012,1.028721,1.001687,1.005119,1.005119,14963493
2022-12-06,1.005262,1.024702,1.005262,1.013558,1.013558,15844619
2022-12-07,1.013499,1.017234,0.972722,0.984641,0.984641,17317840
2022-12-08,0.984648,1.004679,0.976464,1.001507,1.001507,12545478
2022-12-09,1.001460,1.002266,0.982416,0.984310,0.984310,12354617
2022-12-10,0.984364,1.003254,0.984267,0.997566,0.997566,9244037
2022-12-11,0.997583,1.007599,0.989131,0.989489,0.989489,11249459
2022-12-12,0.989429,0.989446,0.952847,0.960222,0.960222,16132353
2022-12-13,0.959987,0.978015,0.920520,0.969865,0.969865,23686611
2022-12-14,0.970072,0.980261,0.949941,0.951451,0.951451,17450550
2022-12-15,0.951403,0.969945,0.925170,0.955419,0.955419,31461406
2022-12-16,0.955595,0.961443,0.835145,0.838299,0.838299,25809323
2022-12-17,0.838587,0.864055,0.831188,0.844273,0.844273,24721740
2022-12-18,0.844245,0.848509,0.831950,0.837665,0.837665,12370717
2022-12-19,0.837724,0.844813,0.770296,0.777251,0.777251,18698227
2022-12-20,0.777357,0.809297,0.776982,0.806816,0.806816,12710518
2022-12-21,0.806764,0.808085,0.793469,0.805912,0.805912,12636133
2022-12-22,0.805983,0.808989,0.781566,0.804668,0.804668,13033685
2022-12-23,0.804724,0.814998,0.798599,0.802727,0.802727,11132304
