Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,35.222515,40.127724,34.470898,39.364780,39.364780,74410123
2022-11-11,39.350910,39.807487,37.814835,39.360687,39.360687,56823060
2022-11-12,39.377174,40.449474,36.874500,40.050259,40.050259,46001341
2022-11-13,40.045731,40.878399,38.899395,40.665813,40.665813,49160619
2022-11-14,40.662449,41.861534,38.894966,40.485676,40.485676,51670342
2022-11-15,40.496441,41.700211,40.319466,40.808975,40.808975,36442015
2022-11-16,40.814106,41.215893,38.676666,39.019444,39.019444,40368699
2022-11-17,39.018250,40.320709,38.588688,39.710758,39.710758,36986611
2022-11-18,39.714912,40.209560,38.834126,39.188011,39.188011,31954117
2022-11-19,39.187725,39.802601,38.486217,39.793526,39.793526,31616618
2022-11-20,39.794353,40.843349,37.992710,38.162125,38.162125,35721659
2022-11-21,38.156166,38.695591,37.131920,37.648174,37.648174,54094476
2022-11-22,37.642189,39.817501,37.276634,39.804310,39.804310,56006191
2022-11-23,39.815308,44.007648,39.741276,43.155453,43.155453,83285579
2022-11-24,43.158691,43.666737,42.454903,43.666737,43.666737,48363609
2022-11-25,43.659031,43.686218,41.303391,41.435005,41.435005,44551934
2022-11-26,41.435589,42.447781,41.241692,41.367966,41.367966,49540642
2022-11-27,41.365181,42.172516,40.613480,40.676304,40.676304,29360889
2022-11-28,40.673454,40.922478,38.982533,39.537876,39.537876,35179066
2022-11-29,39.536209,40.714886,39.331760,40.030071,40.030071,34624218
2022-11-30,40.035885,43.900108,40.027229,43.335194,43.335194,46103646
2022-12-01,43.335831,45.137436,42.892788,44.864185,44.864185,49577377
2022-12-02,44.865837,46.507523,44.505161,46.113106,46.113106,40343363
2022-12-03,46.117805,46.493816,45.211254,45.455898,45.455898,34327128
2022-12-04,45.454353,46.009533,44.882122,45.863201,45.863201,35955070
2022-12-05,45.857189,47.108650,45.393360,46.381710,46.381710,38042485
2022-12-06,46.382607,46.586948,45.236206,46.156021,46.156021,36848334
2022-12-07,46.154545,46.293922,43.463608,43.651356,43.651356,40753462
2022-12-08,43.652592,45.084667,43.541161,44.948620,44.948620,34949441
2022-12-09,44.949486,45.987873,44.804268,45.561462,45.561462,26220930
2022-12-10,45.562057,46.131645,45.460308,45.539177,45.539177,26442194
2022-12-11,45.539825,46.008690,44.946457,44.955791,44.955791,34588736
2022-12-12,44.943405,46.440567,43.854122,45.946449,45.946449,44688932
2022-12-13,45.945805,47.418011,45.329525,46.273678,46.273678,50138959
2022-12-14,46.278473,47.542397,46.277229,46.382229,46.382229,38296818
2022-12-15,46.380337,47.455261,45.821903,45.923069,45.923069,39808539
2022-12-16,45.923489,46.091797,40.466679,40.979053,40.979053,47743808
2022-12-17,40.991867,43.081470,40.209354,43.025936,43.025936,38463962
2022-12-18,43.026123,43.893188,42.621758,43.506489,43.506489,34845788
2022-12-19,43.507526,45.026230,41.865601,42.230324,42.230324,45951348
2022-12-20,42.228741,42.801311,41.651505,42.240425,42.240425,35488312
2022-12-21,42.229885,42.736916,41.261642,41.338177,41.338177,37489794
2022-12-22,41.342648,41.698132,38.755367,39.396957,39.396957,47871250
2022-12-23,39.402973,40.076138,39.125122,39.368710,39.368710,36792022
2022-12-24,39.369915,39.972832,39.087437,39.748718,39.748718,33190487
2022-12-25,39.749672,40.295368,39.494064,39.954639,39.954639,34293133
2022-12-26,39.952675,40.407681,39.827381,40.343113,40.343113,35794643
2022-12-27,40.344112,40.439667,38.205612,38.744732,38.744732,35383851
2022-12-28,38.738964,38.945629,37.177094,37.450596,37.450596,40210321
2022-12-29,37.448662,38.309269,37.371010,38.039841,38.039841,38553001
